ID	name	weight_g	seeds	seed_prop
7521	Lp2-6	0.3051	16898.0	0.0022472298616393687
8214	Gy-0	0.3009	16666.0	0.002216376664343811
8230	Algutsrum	0.3044	16859.0	0.00224204333278365
8231	Bro1-6	0.2977	16488.0	0.002192704814694633
8240	Kulturen-1	0.3031	16787.0	0.002232468202588477
8247	San-2	0.3246	17978.0	0.002390856814566965
8249	Vimmerby	0.3117	17264.0	0.0022959034401314983
8311	In-0	0.3063	16965.0	0.0022561400522376545
8312	Is-0	0.2989	16555.0	0.0022016150052929194
8351	Ost-0	0.3049	16887.0	0.002245766994526217
8354	Per-1	0.3035	16810.0	0.002235526924734157
8357	Pla-0	0.3051	16898.0	0.0022472298616393687
8376	Sanna-2	0.3015	16699.0	0.0022207652656832653
8387	St-0	0.3218	17823.0	0.002370243687063467
9057	Vinslov	0.2968	16438.0	0.002186055418725763
9058	Vastervik	0.3028	16771.0	0.0022303403958784385
9323	Adal 3	0.2075	11493.0	0.0015284301574045014
9371	FaL	0.2905	16090.0	0.0021397756227824263
9394	Hag-2	0.2956	16372.0	0.0021772782160468544
9416	Kru-3	0.2929	16222.0	0.002157330028140244
9427	Nas	0.3016	16704.0	0.002221430205280152
9470	Tur-4	0.3009	16666.0	0.002216376664343811
9481	Yst-1	0.2996	16594.0	0.002206801534148638
9506	IP-Alo-0	0.2989	16555.0	0.0022016150052929194
9507	IP-Coa-0	0.3011	16677.0	0.0022178395314569623
9510	IP-Rei-0	0.3008	16660.0	0.0022155787368275466
9512	IP-Vid-1	0.3004	16638.0	0.0022126530026012436
9517	IP-All-0	0.3287	18205.0	0.0024210450722656355
9518	IP-Alm-0	0.305	16893.0	0.002246564922042482
9521	IP-Bar-1	0.303	16782.0	0.00223180326299159
9522	IP-Bea-0	0.3009	16666.0	0.002216376664343811
9523	IP-Ben-0	0.304	16837.0	0.002239117598557347
9524	IP-Ber-0	0.3136	17369.0	0.002309867171666126
9526	IP-Cab-3	0.2994	16582.0	0.0022052056791161093
9527	IP-Cad-0	0.3021	16732.0	0.00222515386702272
9528	IP-Cal-0	0.3021	16732.0	0.00222515386702272
9529	IP-Cap-1	0.3049	16887.0	0.002245766994526217
9534	IP-Cmo-3	0.306	16948.0	0.002253879257608239
9535	IP-Coc-1	0.3052	16904.0	0.0022480277891556333
9537	IP-Cum-1	0.3015	16699.0	0.0022207652656832653
9539	IP-Deh-1	0.2992	16571.0	0.0022037428120029578
9542	IP-Fun-0	0.3983	22060.0	0.0029337135014655268
9544	IP-Gua-1	0.2997	16599.0	0.002207466473745525
9547	IP-Hor-0	0.2982	16516.0	0.0021964284764372003
9548	IP-Hoy-0	0.2996	16594.0	0.002206801534148638
9549	IP-Hum-2	0.3016	16704.0	0.002221430205280152
9555	IP-Mar-1	0.325	18000.0	0.0023937825487932675
9557	IP-Moa-0	0.3369	18659.0	0.0024814215876629766
9559	IP-Mon-5	0.328	18167.0	0.002415991531329294
9560	IP-Mot-0	0.2996	16594.0	0.002206801534148638
9562	IP-Mur-0	0.2983	16522.0	0.002197226403953465
9564	IP-Nog-17	0.3021	16732.0	0.00222515386702272
9565	IP-Orb-10	0.294	16283.0	0.0021654422912222655
9574	IP-Rel-0	0.3016	16704.0	0.002221430205280152
9577	IP-Ria-0	0.2992	16571.0	0.0022037428120029578
9579	IP-San-10	0.3044	16859.0	0.00224204333278365
9584	IP-Stp-0	0.2979	16499.0	0.0021941676818077846
9586	IP-Tam-0	0.2119	11736.0	0.0015607462218132104
9587	IP-Tdc-0	0.3433	19014.0	0.002528632299041955
9591	IP-Vad-0	0.3023	16743.0	0.0022266167341358713
9594	IP-Vdm-0	0.3052	16904.0	0.0022480277891556333
9595	IP-Vdt-0	0.2954	16361.0	0.002175815348933703
9596	IP-Ver-5	0.3029	16776.0	0.0022310053354753254
9597	IP-Vig-1	0.3024	16749.0	0.0022274146616521355
9598	IP-Vim-0	0.3005	16643.0	0.0022133179421981305
9600	IP-Vis-0	0.3017	16710.0	0.002222228132796417
9602	IP-Vpa-1	0.3198	17712.0	0.0023554820280125752
9606	Aitba-1	0.2903	16078.0	0.0021381797677498975
9612	Lesno-2	0.2992	16571.0	0.0022037428120029578
9619	Basta-1	0.3009	16666.0	0.002216376664343811
9625	Kolyv-2	0.2984	16527.0	0.002197891343550352
9629	K-oze-1	0.3027	16765.0	0.002229542468362174
9632	Lebja-2	0.3027	16765.0	0.002229542468362174
9634	Masl-1	0.2998	16605.0	0.0022082644012617896
9637	Noveg-2	0.3066	16981.0	0.0022582678589476934
9640	Rakit-1	0.3065	16976.0	0.002257602919350806
9643	Sever-1	0.2981	16510.0	0.002195630548920936
9649	Bivio-1	0.301	16671.0	0.002217041603940698
9653	Giffo-1	0.3007	16654.0	0.002214780809311282
9657	Melic-1	0.3026	16760.0	0.002228877528765287
9659	Pigna-1	0.3004	16638.0	0.0022126530026012436
9697	Dolen-1	0.3037	16821.0	0.0022369897918473086
9698	Goced-1	0.3077	17042.0	0.002266380122029715
9699	Kolar-1	0.3098	17158.0	0.0022818067206774937
9713	Stara-1	0.3048	16882.0	0.0022451020549293303
9716	Leska-1	0.302	16726.0	0.002224355939506455
9719	Koren-1	0.2998	16605.0	0.0022082644012617896
9723	Slavi-2	0.3033	16798.0	0.0022339310697016283
9726	Faneronemi-3	0.3002	16627.0	0.002211190135488092
9736	Teiu-2	0.3022	16738.0	0.002225951794538984
9737	Ulies-1	0.2988	16549.0	0.002200817077776655
9739	Toc-1	0.3033	16798.0	0.0022339310697016283
9741	Orast-1	0.2999	16610.0	0.0022089293408586765
9743	Furni-1	0.3031	16787.0	0.002232468202588477
9748	Zagub-1	0.3017	16710.0	0.002222228132796417
9749	Knjas-1	0.3038	16826.0	0.0022376547314441955
9758	Altai-5	0.3011	16677.0	0.0022178395314569623
9759	Anz-0	0.3053	16909.0	0.00224869272875252
9761	Bilk-1	0.301	16671.0	0.002217041603940698
9764	Qar-8a	0.2398	13281.0	0.0017662125572512992
9766	Westkar-4	0.3028	16771.0	0.0022303403958784385
9769	HE-1	0.2978	16494.0	0.0021935027422108977
9774	Alt-1	0.3112	17236.0	0.002292179778388931
9775	Berg-1	0.2994	16582.0	0.0022052056791161093
9779	Bai-10	0.309	17114.0	0.0022759552522248878
9781	Kus2-2	0.3082	17070.0	0.002270103783772282
9782	Lu3-30	0.3002	16627.0	0.002211190135488092
9784	Erg2-6	0.3045	16865.0	0.002242841260299914
9803	Muh-2	0.3033	16798.0	0.0022339310697016283
9804	Obe1-15	0.31	17170.0	0.0022834025757100225
9813	BI-4	0.3329	18438.0	0.0024520312574805706
9814	Fell1-10	0.3095	17142.0	0.0022796789139674554
9820	Are-0	0.3158	17491.0	0.0023260916978301693
9837	Con-0	0.30437	16858.0	0.0022419103448642727
9857	Leg-0	0.3089	17109.0	0.002275290312628001
9879	Per-0	0.3028	16771.0	0.0022303403958784385
9910	BRI-2	0.3094	17136.0	0.0022788809864511908
9920	DIR-9	0.3059	16942.0	0.0022530813300919742
9921	FOR-23	0.3075	17031.0	0.0022649172549165635
9925	RUM-20	0.3031	16787.0	0.002232468202588477
9933	VED-10	0.3034	16804.0	0.0022347289972178925
9940	Toufl-1	0.3031	16787.0	0.002232468202588477
9941	Fei-0	0.2987	16544.0	0.002200152138179768
9944	Don-0	0.301	16671.0	0.002217041603940698
9947	Ped-0	0.3021	16732.0	0.00222515386702272
9965	Mammo-2	0.2454	13592.0	0.001807571800177672
9966	Monte-1	0.1615	8945.0	0.0011895769388308767
9977	Vezzano2-1	0.1004	5561.0	0.0007395458196577423
9978	Vezzano2-2	0.066	3655.0	0.00048607084532441074
9985	Slavi-1	0.2487	13774.0	0.0018317756015043592
9992	Dog-4	0.3007	16654.0	0.002214780809311282
10002	TueWa1-2	0.2338	12949.0	0.0017220605680180012
10006	Kastel-1	0.3075	17031.0	0.0022649172549165635
10011	Yeg-1	0.0489	2708.0	0.0003601312856740094
10013	Lerik1-3	0.1704	9438.0	0.0012551399830839367
10014	Xan-1	0.3026	16760.0	0.002228877528765287
100001	Ziv-24208	0.1032	5716.0	0.0007601589471612399
100002	Her-	0.0611	3384.0	0.0004500311191731343
		67.88297	3759740.0	0.5
				
