sample_id	reads_path	reads_path2
MLFH040620180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620180306_CKDL210006836-1a-7UDI1539-AK8944_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620180306_CKDL210006836-1a-7UDI1539-AK8944_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040620180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620180321_CKDL210006836-1a-7UDI1971-AK8944_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620180321_CKDL210006836-1a-7UDI1971-AK8944_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040620190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620190208_CKDL210006836-1a-AK28238-AK8965_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620190208_CKDL210006836-1a-AK28238-AK8965_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040620190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620190221_CKDL210006836-1a-AK9787-AK8965_HFH7VCCX2_L7_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040620190221_CKDL210006836-1a-AK9787-AK8965_HFH7VCCX2_L7_2P_dedup.fq.gz
MLFH040720180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720180306_CKDL210007514-1a-AK34068-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720180306_CKDL210007514-1a-AK34068-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040720180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720180321_CKDL210007514-1a-AK31398-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720180321_CKDL210007514-1a-AK31398-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040720190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720190208_CKDL210007514-1a-AK34070-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720190208_CKDL210007514-1a-AK34070-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040720190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720190221_CKDL210007514-1a-7UDI1539-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040720190221_CKDL210007514-1a-7UDI1539-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040820180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820180306_CKDL210007514-1a-AK7838-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820180306_CKDL210007514-1a-AK7838-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040820180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820180321_CKDL210007514-1a-AK34069-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820180321_CKDL210007514-1a-AK34069-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040820190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820190208_CKDL210007514-1a-7UDI1971-AK8965_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820190208_CKDL210007514-1a-7UDI1971-AK8965_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040820190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820190221_CKDL210007514-1a-AK11638-AK24534_HFWH5CCX2_L2_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040820190221_CKDL210007514-1a-AK11638-AK24534_HFWH5CCX2_L2_2P_dedup.fq.gz
MLFH040920180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920180306_CKDL210007517-1a-7UDI1539-AK8944_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920180306_CKDL210007517-1a-7UDI1539-AK8944_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH040920180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920180321_CKDL210007517-1a-7UDI1971-AK8944_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920180321_CKDL210007517-1a-7UDI1971-AK8944_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH040920190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920190208_CKDL210007517-1a-AK28238-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920190208_CKDL210007517-1a-AK28238-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH040920190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920190221_CKDL210007517-1a-AK9787-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH040920190221_CKDL210007517-1a-AK9787-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH041020180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020180306_CKDL210007517-1a-AK11638-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020180306_CKDL210007517-1a-AK11638-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH041020180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020180321_CKDL210007517-1a-AK33987-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020180321_CKDL210007517-1a-AK33987-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH041020190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020190208_CKDL210007517-1a-AK10689-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020190208_CKDL210007517-1a-AK10689-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH041020190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020190221_CKDL210007517-1a-AK34068-AK8965_HFWH5CCX2_L5_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041020190221_CKDL210007517-1a-AK34068-AK8965_HFWH5CCX2_L5_2P_dedup.fq.gz
MLFH041120180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120180306_CKDL210008891-1a-AK28238-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120180306_CKDL210008891-1a-AK28238-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041120180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120180321_CKDL210008891-1a-AK9787-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120180321_CKDL210008891-1a-AK9787-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041120190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120190208_CKDL210008891-1a-AK31398-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120190208_CKDL210008891-1a-AK31398-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041120190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120190221_CKDL210008891-1a-AK7838-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041120190221_CKDL210008891-1a-AK7838-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041220180306	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220180306_CKDL210008891-1a-AK10689-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220180306_CKDL210008891-1a-AK10689-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041220180321	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220180321_CKDL210008891-1a-AK34068-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220180321_CKDL210008891-1a-AK34068-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041220190208	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220190208_CKDL210008891-1a-AK34069-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220190208_CKDL210008891-1a-AK34069-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH041220190221	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220190221_CKDL210008891-1a-AK34070-AK24534_HFVKHCCX2_L3_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH041220190221_CKDL210008891-1a-AK34070-AK24534_HFVKHCCX2_L3_2P_dedup.fq.gz
MLFH540120180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180115_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180115_2.fq.gz
MLFH540120180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180314_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180314_2.fq.gz
MLFH540120180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180412_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180412_2.fq.gz
MLFH540120180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180427_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540120180427_2.fq.gz
MLFH540220180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180115_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180115_2.fq.gz
MLFH540220180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180314_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180314_2.fq.gz
MLFH540220180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180328_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180328_2.fq.gz
MLFH540220180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180412_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180412_2.fq.gz
MLFH540220180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180427_1.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/trimmed_dedup/MLFH540220180427_2.fq.gz
MLFH540320180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180115_CKDL210006835-1a-AK28238-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180115_CKDL210006835-1a-AK28238-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540320180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180314_CKDL210006835-1a-AK9787-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180314_CKDL210006835-1a-AK9787-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540320180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180328_CKDL210006835-1a-AK10689-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180328_CKDL210006835-1a-AK10689-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540320180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180412_CKDL210006835-1a-AK34068-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180412_CKDL210006835-1a-AK34068-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540320180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180427_CKDL210006835-1a-AK31398-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540320180427_CKDL210006835-1a-AK31398-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540420180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180115_CKDL210006835-1a-AK7838-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180115_CKDL210006835-1a-AK7838-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540420180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180314_CKDL210006835-1a-AK34069-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180314_CKDL210006835-1a-AK34069-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540420180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180328_CKDL210006835-1a-AK34070-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180328_CKDL210006835-1a-AK34070-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540420180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180412_CKDL210006835-1a-7UDI1539-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180412_CKDL210006835-1a-7UDI1539-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540420180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180427_CKDL210006835-1a-7UDI1971-AK8965_HFH7VCCX2_L6_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540420180427_CKDL210006835-1a-7UDI1971-AK8965_HFH7VCCX2_L6_2P_dedup.fq.gz
MLFH540520180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180115_CKDL210007513-1a-AK7838-AK8965_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180115_CKDL210007513-1a-AK7838-AK8965_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540520180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180314_CKDL210007513-1a-AK34069-AK8965_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180314_CKDL210007513-1a-AK34069-AK8965_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540520180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180328_CKDL210007513-1a-AK34070-AK8965_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180328_CKDL210007513-1a-AK34070-AK8965_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540520180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180412_CKDL210007513-1a-7UDI1539-AK8965_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180412_CKDL210007513-1a-7UDI1539-AK8965_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540520180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180427_CKDL210007513-1a-7UDI1971-AK8965_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540520180427_CKDL210007513-1a-7UDI1971-AK8965_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540620180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180115_CKDL210007513-1a-AK11638-AK24534_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180115_CKDL210007513-1a-AK11638-AK24534_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540620180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180314_CKDL210007513-1a-AK33987-AK24534_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180314_CKDL210007513-1a-AK33987-AK24534_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540620180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180328_CKDL210007513-1a-AK28238-AK24534_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180328_CKDL210007513-1a-AK28238-AK24534_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540620180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180412_CKDL210007513-1a-AK9787-AK24534_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180412_CKDL210007513-1a-AK9787-AK24534_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540620180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180427_CKDL210007513-1a-AK10689-AK24534_HFWH5CCX2_L1_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540620180427_CKDL210007513-1a-AK10689-AK24534_HFWH5CCX2_L1_2P_dedup.fq.gz
MLFH540720180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180115_CKDL210007516-1a-AK31398-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180115_CKDL210007516-1a-AK31398-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
MLFH540720180314	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180314_CKDL210007516-1a-AK7838-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180314_CKDL210007516-1a-AK7838-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
MLFH540720180328	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180328_CKDL210007516-1a-AK34069-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180328_CKDL210007516-1a-AK34069-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
MLFH540720180412	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180412_CKDL210007516-1a-AK34070-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180412_CKDL210007516-1a-AK34070-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
MLFH540720180427	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180427_CKDL210007516-1a-7UDI1539-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540720180427_CKDL210007516-1a-7UDI1539-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
MLFH540820180115	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540820180115_CKDL210007516-1a-7UDI1971-AK24534_HFWH5CCX2_L4_1P_dedup.fq.gz	/global/scratch/users/tbellg/pang/grenenet_reads/grenenet-phase1/dedup/MLFH540820180115_CKDL210007516-1a-7UDI1971-AK24534_HFWH5CCX2_L4_2P_dedup.fq.gz
