blockdef,model,cls,maxN,support_to,n_past_support,target,empirical_tail,deg2_clamp,deg5_clamp,deg7_clamp,deg10_clamp,deg15_clamp,deg20_clamp,deg2,deg7,isotonic_auto,const,interp,neg_deg2_clamp,neg_deg5_clamp,neg_deg7_clamp,neg_deg10_clamp,neg_deg15_clamp,neg_deg20_clamp,neg_deg2,neg_deg7,isotonic,neg_isotonic
clq0.9 tile,binomial,sv,318,62,8,sd,,1.7588426413764426,1.693216192199289,1.9995422093307815,1.9347246634669832,1.9282474243554033,1.9282590593808941,-30.553355948152017,20492526.280913208,,,,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,1.9282711467243914,0.0
clq0.9 tile,binomial,smallindel,3309,719,14,mean,1.9267684691689821,2.9880991976906612,1.0806771762437535,2.224659359761169,1.753001460548361,1.691268892578979,1.6918441987040873,59.237533793834196,34705563.07926011,-0.10171255663107481,-0.09743561185710205,1.692109289940892,,,,,,,,,,
clq0.9 tile,binomial,smallindel,3309,719,14,sd,,-4.443213395305409,7.459518841639738,7.022081545164523,6.649504529499422,6.6015068079322266,6.6010524879283805,-639.6919525843695,40179323.07480999,,,,17.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,6.737285542683895,0.0
clq0.9 tile,binomial,nonsnp,3613,773,14,mean,2.0549369060801275,3.599059029369101,1.116085570768066,2.4609051153889254,1.9044247703889634,1.8396182203593743,1.8395850017085789,75.77635342782975,38516086.82384919,-0.10760131343753349,-0.10365314925007624,1.8397695334386912,,,,,,,,,,
clq0.9 tile,binomial,nonsnp,3613,773,14,sd,,-5.388989134261179,7.601204109793134,7.165023432652861,6.7665189492242614,6.7298949059262885,6.729917598530102,-703.0194188949287,50196834.99827165,,,,16.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,6.763454025302182,0.0
clq0.5 tile,kendall,snp,20365,4044,12,mean,-8.674039512633838,-8.22686314262124,-5.694952790350847,-8.98534011052404,-7.6010065127465385,-7.677728939028621,-7.6770067865635365,-180.10665136595702,-295178048.729119,-7.676897479228242,-0.2384620648932538,-7.676897479228242,,,,,,,,,,
clq0.5 tile,kendall,snp,20365,4044,12,sd,,-17.31743556498168,16.57300189925657,11.533946769544176,10.206957541894674,10.339909520749828,10.335867928987462,-1865.1813530854522,373266182.5337034,,,,17.0,0.0,0.0,0.0,2.0,2.0,17.0,0.0,11.891346554291887,0.0
clq0.5 tile,kendall,sv,331,72,11,mean,-1.6424847671519673,-0.28864675352873076,-0.3734336650545284,-0.6943152949972429,-0.6126604922200232,-0.6264725545048369,-0.626199992062943,-2.4543933184064475,-7272619.960530186,-0.6262044673537499,-0.10372009039512703,-0.6262044673537499,,,,,,,,,,
clq0.5 tile,kendall,sv,331,72,11,sd,,1.676973741152734,1.8074714341305085,1.8919391318491532,1.9005636916275366,1.8988143189148956,1.8987986413297167,-24.05688539997663,-6216593.508326248,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.898801050790802,0.0
clq0.5 tile,kendall,smallindel,3309,947,15,mean,-5.116490760739654,0.029463136807597157,-3.2574399485818235,-2.054270140621083,-1.8678515951774102,-1.743351919879765,-1.7463962952610965,12.73637027909514,-3594133.7502555135,-1.7460885835026039,-0.1847973409692628,-1.7460885835026039,,,,,,,,,,
clq0.5 tile,kendall,smallindel,3309,947,15,sd,4.869355054655672,-2.5179079538446896,7.096499142905085,6.436754961037529,6.12380440665777,5.958423369997722,5.964697827951997,-292.3735491359159,-63837.84097595699,,,,17.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,6.799018573625494,0.0
clq0.5 tile,kendall,nonsnp,3613,1009,15,mean,-5.561387611692883,-0.11972250705964645,-3.5869337545268247,-2.2993589329884796,-2.076737263690876,-1.9849871014543605,-1.9893645983578525,11.629194774804251,-4727259.576084124,-1.9892827396559136,-0.19326659897194493,-1.9892827396559136,,,,,,,,,,
clq0.5 tile,kendall,nonsnp,3613,1009,15,sd,5.298545642335183,-2.7853435609450417,7.2775061829421865,6.624739614296658,6.247407650537533,6.103392398068639,6.109322048374785,-318.6657996788626,740856.4274041674,,,,17.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,6.882660664449964,0.0
clq0.5 tile,lfmm,snp,20365,4044,12,mean,4.523532612868855,-0.027520375730879676,0.46313302283009683,-0.22369345527234202,-0.40955744601989796,-0.5336284193793746,-0.5345223453569254,-40.89403462436707,-51720350.519397184,1.3285568818165432,0.02860267261904006,-0.5345933712905796,,,,,,,,,,
clq0.5 tile,lfmm,snp,20365,4044,12,sd,,-13.044980557765202,19.74259398415971,15.510560347068218,13.803460410635319,13.914564672142049,13.911470769888123,-1766.0876353413337,550599655.6818765,,,,14.0,0.0,0.0,0.0,2.0,2.0,14.0,0.0,14.198456370049415,0.0
clq0.5 tile,lfmm,sv,331,72,11,mean,0.6368670097157954,-0.01934372545408978,0.329438701297373,0.25298374641143484,0.3001939527203502,0.3056627799290527,0.30569618064267373,-19.74359459133706,-6134588.895177029,0.3057080953984059,-0.027336547657214293,0.3057080953984059,,,,,,,,,,
clq0.5 tile,lfmm,sv,331,72,11,sd,,2.5529785551217636,2.1958563869937113,2.1106793289905332,2.1683436542834587,2.1833401730179967,2.183283671197424,-3.881882675551462,-15326833.42345289,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,2.200096508068355,0.0
clq0.5 tile,lfmm,smallindel,3309,947,15,mean,0.09794590981470185,-1.2332387015872557,-0.264008982033564,-0.05875857856717541,0.04766330450071887,-0.14599708672004863,-0.15145573032126738,-27.093495492710236,1499474.586668709,0.21988862693310623,0.023886719310157234,-0.15132456666809915,,,,,,,,,,
clq0.5 tile,lfmm,smallindel,3309,947,15,sd,6.093505236667373,-1.150006975935654,9.713479929903665,7.2900775324619085,7.173994109735004,7.060786492702759,7.05724967662419,-274.25015034644383,3336624.856733705,,,,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.06714682319684,0.0
clq0.5 tile,lfmm,nonsnp,3613,1009,15,mean,-0.3116822368696406,-1.10792790669587,0.058089063622623976,0.40184005321206734,0.442623700499387,0.28509620292032123,0.2797373059376351,-26.991735822676507,1429065.221547954,0.2801372780213958,0.01999215668748962,0.2801372780213958,,,,,,,,,,
clq0.5 tile,lfmm,nonsnp,3613,1009,15,sd,6.000128376435573,-1.4978129696098268,9.615360182490592,7.600844829945634,7.282803626966394,7.14275259065442,7.138154546060731,-303.5148696820468,5036788.983670887,,,,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.229850834920212,0.0
clq0.5 tile,binomial,snp,20365,4044,12,mean,4.110041822721417,3.610926907056071,-0.3025579461908386,1.0155741358246342,0.9562843633565166,0.8942814021037206,0.8950013728956994,135.35000796154176,-74105634.19979358,-0.3403635553942322,-0.18063635876116263,0.8951674618323716,,,,,,,,,,
clq0.5 tile,binomial,snp,20365,4044,12,sd,,-11.351455328924756,19.127742400338402,16.2348370264815,14.555138300074457,14.628118713242841,14.627650075912882,-1658.6453800341703,405643170.6216488,,,,14.0,0.0,0.0,0.0,1.0,2.0,14.0,0.0,14.627539596463496,0.0
clq0.5 tile,binomial,sv,331,72,11,mean,0.6563770914702874,-0.6736805981867936,-0.08303114294511546,-0.05928420022652878,0.018709355624385055,0.01714970030110978,0.0172765935046916,-39.5640834052352,-9600952.180297703,0.1251036475361506,-0.08498933793878388,0.01728102449408702,,,,,,,,,,
clq0.5 tile,binomial,sv,331,72,11,sd,,1.4651820118894299,1.8741654351349493,1.8677723484291797,1.9034546851958403,1.9044672113193823,1.904548729403058,-31.229272160969654,-3737800.6892762035,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.9045496861410884,0.0
clq0.5 tile,binomial,smallindel,3309,947,15,mean,0.5995356467076133,-0.03400228683001727,-0.03479656282348502,-0.8994464281072032,-0.5051326147944356,-0.49179969753626895,-0.48833193255214724,2.487124390403088,-771239.2706751752,-0.4881628617350695,-0.10361922621774032,-0.4881628617350695,,,,,,,,,,
clq0.5 tile,binomial,smallindel,3309,947,15,sd,5.878300586170777,-1.0962383309456327,9.004336272375413,7.302715654015419,6.771039772630102,6.916818960946641,6.912794436846129,-261.5391213241561,4771021.495115778,,,,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.912128673820764,0.0
clq0.5 tile,binomial,nonsnp,3613,1009,15,mean,0.9848379115882352,0.23395224956428448,0.44643920623078126,-0.27767018660341125,0.04205271456580442,0.05494111580545569,0.057171136823390784,6.79708568764239,-885560.3644483731,-0.31962754673522886,-0.11205561062745426,0.0572574936060078,,,,,,,,,,
clq0.5 tile,binomial,nonsnp,3613,1009,15,sd,5.994752516244041,-1.5536756917374497,8.819540982812573,7.0065613972788015,6.51631224643672,6.678534573501144,6.674259950625376,-291.19902592140596,6047708.971674476,,,,16.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,6.858817386382274,0.0
