chrom,pos,size,vclass,tier,region,gene,symbol,protein_name,themes,best_axis,best_nlp,n_axes,MAF,snp_cosig_2kb,block_gene_mismatch
Chr5,23204156,2,smallindel,3_promoter,promoter,AT5G57270,MJB24.8,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",climate_temp,bio10,8.973272328998169,1,0.3339538140730424,False,False
Chr1,4461656,15,smallindel,3_promoter,promoter,AT1G13090,CYP71B28,Cytochrome P450 71B28 (EC 1.14.-.-),climate_temp,bio1,8.808307479422467,2,0.0570561560717496,True,False
Chr3,1515626,17,smallindel,3_promoter,promoter,AT3G05320,OFUT23,O-fucosyltransferase 23 (O-FucT-23) (EC 2.4.1.-) (O-fucosyltransferase 1) (AtOFT1) (O-fucosyltransferase family protein),climate_temp,bio15,8.62103409174722,1,0.2633084600622004,False,False
Chr3,7979137,2,smallindel,3_promoter,promoter,AT3G22530,AT3G22530,Heat shock protein,climate_temp,bio15,8.574328272610344,3,0.0771016695282676,True,False
Chr4,17596255,1,smallindel,3_promoter,promoter,AT4G37430,CYP81F1,Cytochrome P450 81F1 (EC 1.14.-.-),climate_temp,bio15,8.18096031653571,1,0.0642543976957147,False,False
Chr5,23203984,2,smallindel,3_promoter,promoter,AT5G57270,MJB24.8,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",climate_temp,bio1,8.14687784123226,4,0.0508691289208152,False,False
Chr3,7029008,1,smallindel,3_promoter,promoter,AT3G20140,CYP705A23,Cytochrome P450 family protein,climate_temp,bio15,8.010647930109632,1,0.177743066440929,False,False
Chr1,27865798,1,smallindel,3_promoter,promoter,AT1G74100,SOT16,Cytosolic sulfotransferase 16 (AtSOT16) (EC 2.8.2.24) (Aromatic desulfoglucosinolate sulfotransferase) (Desulfoglucosinolate sulfotransferase A) (AtST5a) (Protein CORONATINE INDUCED 7),climate_temp,bio15,7.804716952460661,1,0.1168981465426358,False,False
Chr1,20268185,295,sv,3_promoter,promoter,AT1G54280,ALA6,Phospholipid-transporting ATPase 6 (AtALA6) (EC 7.6.2.1) (Aminophospholipid flippase 6),climate_temp,bio3,7.782321580492175,1,0.1008368730545044,False,True
Chr5,6594708,1,smallindel,3_promoter,promoter,AT5G19540,DY1,Thermosome subunit gamma,climate_temp,bio15,7.709296169682376,1,0.0755178603259,False,False
Chr5,17367388,1,smallindel,3_promoter,promoter,AT5G43280,DCI1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, peroxisomal (AtDCI1) (EC 5.3.3.21)",climate_temp,bio1,7.6575530012325235,1,0.3293705853548917,False,False
Chr1,20498951,524,sv,3_promoter,promoter,AT1G54960,ANP2,Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (Arabidopsis NPK1-related protein kinase 2),climate_temp,bio3,7.650253548900645,1,0.0807023481889204,False,False
Chr3,9634932,2,smallindel,3_promoter,promoter,AT3G26290,CYP71B26,Cytochrome P450 71B26 (EC 1.14.-.-),climate_temp,bio15,7.272619212708637,1,0.1129315224560824,True,False
Chr1,4466842,1,smallindel,3_promoter,promoter,AT1G13110,CYP71B7,Cytochrome P450 71B7 (EC 1.14.-.-),climate_temp,bio1,7.202759642565365,1,0.1780721707777543,True,False
Chr4,6322337,652,sv,3_promoter,promoter,AT4G10130,AT4G10130,DNAJ heat shock N-terminal domain-containing protein,climate_temp,bio4,6.931569495515728,1,0.0614323074167425,False,False
Chr3,13060051,418,sv,3_promoter,promoter,AT3G32047,AT3G32047,Cytochrome P450 superfamily protein,climate_temp,bio15,6.239829312109153,1,0.0837122906338084,False,False
Chr2,17831245,149,sv,3_promoter,promoter,AT2G42850,CYP718,"Cytochrome P450, family 718",climate_temp,pc1,6.175755535834907,1,0.1046634153886274,False,False
Chr4,12103235,1,smallindel,2_UTR,3'UTR,AT4G23100,GSH1,"Glutamate--cysteine ligase, chloroplastic (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase) (Protein ROOT MERISTEMLESS 1) (AtGCL) (Protein cadmium-sensitive 2) (Protein phytoalexin-deficient 2)","climate_temp,flowering",pc1,9.350884008585505,3,0.0564901828765869,True,False
Chr5,26212040,1,smallindel,2_UTR,3'UTR,AT5G65590,DOF5.7,Dof zinc finger protein DOF5.7 (AtDOF5.7),"climate_temp,stress",bio15,10.329980343862356,1,0.069115860895677,True,False
Chr5,17965664,1,smallindel,2_UTR,3'UTR,AT5G44570,PROSCOOP5,Serine rich endogenous peptide 5 (AtSCOOP5) (Phytocytokine SCOOP5) (Precursor of serine rich endogenous peptide phytocytokine 5),"climate_temp,stress",bio15,7.37396438171916,1,0.0997188633138483,False,False
Chr5,24016812,1,smallindel,3_promoter,promoter,AT5G59613,ATP6,"ATP synthase small subunit 6-B, mitochondrial (AtMtATP6) (MtATP6) (ATP synthase 6 kDa subunit, mitochondrial)","climate_temp,stress",bio15,10.21376963953857,1,0.203838131644509,True,False
Chr5,7167773,1,smallindel,3_promoter,promoter,AT5G21100,AAO,L-ascorbate oxidase (AAO) (AO) (ASO) (Ascorbase) (EC 1.10.3.3),"climate_temp,stress",bio15,8.666674426413255,1,0.1138326579874212,False,False
Chr1,9539047,3,smallindel,3_promoter,promoter,AT1G27461,DRG,DUF7950 domain-containing protein,"climate_temp,stress",bio15,8.045001652455749,1,0.319986798546531,False,False
Chr1,4611578,1,smallindel,3_promoter,promoter,AT1G13440,GAPC2,"Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic (EC 1.2.1.12) (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 2)","climate_temp,stress",bio15,7.812351612359675,1,0.1530147682536732,True,False
Chr5,18326122,7,smallindel,3_promoter,promoter,AT5G45250,RPS4,Disease resistance protein RPS4 (Probable NAD(+) hydrolase RPS4) (EC 3.2.2.6) (Resistance to Pseudomonas syringae 4) (TIR-NBS-LRR class disease resistance protein),"climate_temp,stress",bio15,7.565910917692518,1,0.1951489882035688,True,False
Chr4,7147818,5,smallindel,3_promoter,promoter,AT4G11890,CRK45,Cysteine-rich receptor-like protein kinase 45 (Cysteine-rich RLK45) (EC 2.7.11.1) (ABA- and osmotic stress-inducible receptor-like cytosolic kinase 1),"climate_temp,stress",bio1,7.523281698319844,2,0.0521985454992814,False,False
Chr1,2213049,56,sv,3_promoter,promoter,AT1G07200,SMXL6,Protein SMAX1-LIKE 6 (AtSMXL6) (Protein D53-like 2) (AtD53-like 2) (Protein D53-like SMXL 6),"climate_temp,stress",bio8,6.075683167195212,1,0.0861775008114901,False,True
Chr1,11412699,1,smallindel,2_UTR,3'UTR,AT1G31814,FRL2,Inactive FRIGIDA-like protein 2 (AtFRL2),flowering,bio15,9.525271993145042,1,0.0501844720406965,False,False
Chr4,7003757,4,smallindel,3_promoter,promoter,AT4G11560,AIPP3,ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1),flowering,bio6,10.907961929543978,4,0.101968223398382,True,False
Chr1,5929272,373,sv,3_promoter,promoter,AT1G17310,AGL100,MADS-box transcription factor family protein,flowering,bio15,10.047844771320078,2,0.058862875808369,True,False
Chr5,26056625,1,smallindel,3_promoter,promoter,AT5G65210,TGA1,Transcription factor TGA1 (DNA-binding protein TGA1a-like protein) (bZIP transcription factor 47) (AtbZIP47),flowering,bio1,9.040182120360951,2,0.1774622960524125,False,False
Chr3,2092282,1,smallindel,3_promoter,promoter,AT3G66656,AGL91,MADS-box family protein,flowering,bio8,8.807580881646446,1,0.1024096228859641,False,False
Chr1,25773046,29,smallindel,3_promoter,promoter,AT1G68640,PAN,Transcription factor PERIANTHIA (bZIP transcription factor 46) (AtbZIP46),flowering,bio17,8.532343752237427,1,0.4947682293978604,True,False
Chr4,7003747,1,smallindel,3_promoter,promoter,AT4G11560,AIPP3,ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1),flowering,bio3,8.40033371264731,1,0.1656367453661832,True,False
Chr1,25772783,1,smallindel,3_promoter,promoter,AT1G68640,PAN,Transcription factor PERIANTHIA (bZIP transcription factor 46) (AtbZIP46),flowering,bio17,8.339274193545979,1,0.477499398318204,True,False
Chr4,8524299,1,smallindel,3_promoter,promoter,AT4G14900,FRL4B,FRIGIDA-like protein 4b,flowering,bio6,8.307771966995956,1,0.0737284042618491,False,False
Chr4,16378439,11,smallindel,3_promoter,promoter,AT4G34210,ASK11,SKP1-like protein 11 (AtSK11),flowering,bio15,7.926305970406736,1,0.0581741278821771,True,False
Chr5,22429799,8,smallindel,3_promoter,promoter,AT5G55300,TOP1A,DNA topoisomerase 1 alpha (EC 5.6.2.1) (DNA topoisomerase 1) (DNA topoisomerase I) (Protein FASCIATA 5) (Protein MGOUN1),flowering,bio15,7.921310951227384,1,0.1069471944462169,True,False
Chr5,3173315,1,smallindel,3_promoter,promoter,AT5G10130,DFC,Protein DOWNSTREAM OF FLC (AtDFC) (Pollen allergen-like protein),flowering,bio6,7.809574004875989,1,0.3224589824676513,False,False
Chr4,7003703,1,smallindel,3_promoter,promoter,AT4G11560,AIPP3,ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1),flowering,bio15,7.734670161572149,1,0.0913290543989701,True,False
Chr1,11044480,1,smallindel,3_promoter,promoter,AT1G30970,SUF4,Protein SUPPRESSOR OF FRI 4,flowering,bio15,7.462474914418184,1,0.0519193465059453,False,True
Chr2,11666416,1,smallindel,3_promoter,promoter,AT2G27250,CLV3,Protein CLAVATA 3 [Cleaved into: MCLV3],flowering,bio3,7.340240238392413,1,0.419766599481756,True,False
Chr5,3046253,3,smallindel,3_promoter,promoter,AT5G09805,IDL3,Protein IDA-LIKE 3,flowering,bio8,7.275651148909618,1,0.0558828928253867,False,False
Chr3,9856500,2,smallindel,3_promoter,promoter,AT3G26790,FUS3,B3 domain-containing transcription factor FUS3 (Protein FUSCA3),"flowering,stress",bio15,7.723084023056351,1,0.3449443470348011,False,False
Chr4,5370156,39,smallindel,1_CDS,CDS,AT4G08450,AT4G08450,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),stress,bio10,9.035990315988078,1,0.2727324312383478,True,False
Chr1,6459656,2,smallindel,1_CDS,CDS,AT1G18720,AT1G18720,"ER membrane protein, putative (DUF962)",stress,bio1,7.449768355103098,1,0.2390715859153054,False,False
Chr5,17506296,485,sv,1_CDS,CDS,AT5G43570,AT5G43570,"Serine protease inhibitor, potato inhibitor I-type family protein",stress,bio1,5.8028995446917335,1,0.066032127900557,False,False
Chr3,18766791,1,smallindel,2_UTR,3'UTR,AT3G50570,AT3G50570,Hydroxyproline-rich glycoprotein family protein,stress,bio15,8.961485618823682,1,0.0783503543246876,True,False
Chr3,21299575,2,smallindel,2_UTR,5'UTR,AT3G57530,CPK32,Calcium-dependent protein kinase 32 (EC 2.7.11.1),stress,bio15,8.784696309380468,1,0.1922390027479692,False,False
Chr1,16484347,1,smallindel,2_UTR,5'UTR,AT1G43700,VIP1,Transcription factor VIP1 (Protein SULPHATE UTILIZATION EFFICIENCY 3) (VirE2-interacting protein 1) (AtVIP1) (bZIP transcription factor 51) (AtbZIP51) (bZIP protein 51),stress,bio15,8.16908467365619,1,0.0598127408461137,False,False
Chr3,23418561,6,smallindel,2_UTR,3'UTR,AT3G63420,GG1,Guanine nucleotide-binding protein subunit gamma 1 (Ggamma-subunit 1) (Heterotrimeric G protein gamma-subunit 1) (AtAGG1),stress,bio1,7.835826623776784,1,0.0626158280806108,True,False
Chr2,14639459,1,smallindel,2_UTR,3'UTR,AT2G34710,ATHB-14,Homeobox-leucine zipper protein ATHB-14 (HD-ZIP protein ATHB-14) (Homeodomain transcription factor ATHB-14) (Protein PHABULOSA),stress,bio15,7.691111140513695,1,0.0725955150344155,False,False
Chr3,9526131,9,smallindel,2_UTR,3'UTR,AT3G26060,PRXQ,"Peroxiredoxin Q, chloroplastic (EC 1.11.1.24) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Q)",stress,bio15,7.657776401459338,1,0.3425494974309748,True,False
Chr3,16011753,2,smallindel,2_UTR,3'UTR,AT3G44340,SEC24B,Protein transport protein SEC24 B (Lst1-homolog protein A) (AtLst1A) (Protein of the clone eighty-four),stress,bio10,7.490771913963207,1,0.1112673065879128,False,False
Chr3,5058186,1,smallindel,2_UTR,3'UTR,AT3G15020,mMDH2,"Malate dehydrogenase 2, mitochondrial (EC 1.1.1.37) (Mitochondrial MDH2) (mMDH2) (Mitochondrial NAD-dependent malate dehydrogenase 2) (mNAD-MDH 2) (mtNAD-MDH2)",stress,bio8,7.238575025249995,1,0.1109504482962868,False,False
Chr3,8718434,1,smallindel,3_promoter,promoter,AT3G24140,FAMA,Transcription factor FAMA (Basic helix-loop-helix protein 97) (AtbHLH97) (bHLH 97) (Transcription factor EN 14) (bHLH transcription factor bHLH097),stress,bio15,13.22357611639776,1,0.0662047212774103,False,False
Chr2,7422128,1,smallindel,3_promoter,promoter,AT2G17060,AT2G17060,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),stress,bio15,11.748951751863862,1,0.0571835853836753,False,False
Chr1,22978065,1,smallindel,3_promoter,promoter,AT1G62180,APR2,"5'-adenylylsulfate reductase 2, chloroplastic (EC 1.8.4.9) (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 43) (PAPS reductase homolog 43) (Prh-43) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 2) (APS sulfotransferase 2) (Thioredoxin-independent APS reductase 2)",stress,bio10,11.607013351055976,3,0.0610659014094959,False,False
Chr1,4713405,1,smallindel,3_promoter,promoter,AT1G13740,AFP2,Ninja-family protein AFP2 (ABI five-binding protein 2) (ABI5-binding protein 2),stress,bio15,11.488291799877318,1,0.2392690831964666,True,False
Chr4,6932116,2,smallindel,3_promoter,promoter,AT4G11393,AT4G11393,Putative defensin-like protein 202,stress,bio15,10.479680777679336,2,0.0740040649067271,False,False
Chr4,7011705,1164,sv,3_promoter,promoter,AT4G11600,GPX6,"Probable phospholipid hydroperoxide glutathione peroxidase 6, mitochondrial (AtGPX1) (PHGPx) (EC 1.11.1.12)",stress,pc1,10.153966621417808,6,0.117745887149464,True,False
Chr3,8074451,10,smallindel,3_promoter,promoter,AT3G22820,EPFL5,EPIDERMAL PATTERNING FACTOR-like protein 5 (EPF-like protein 5) [Cleaved into: CHALLAH-LIKE1],stress,bio15,9.870742398435985,1,0.060757273977453,False,False
Chr4,7195853,2,smallindel,3_promoter,promoter,AT4G12000,AT4G12000,SNARE associated Golgi protein family,stress,bio3,9.654182744307375,1,0.1285014044154774,True,False
Chr5,507788,2,smallindel,3_promoter,promoter,AT5G02380,MT2B,Metallothionein-like protein 2B (MT-2B),stress,bio8,9.275930842521468,1,0.10595026883212,False,False
Chr2,6809686,1,smallindel,3_promoter,promoter,AT2G15620,NIR1,"Ferredoxin--nitrite reductase, chloroplastic (NiR) (EC 1.7.7.1)",stress,bio15,9.029048131374983,1,0.1337429826909845,True,True
Chr2,10749317,19,smallindel,3_promoter,promoter,AT2G25230,MYB100,Myb domain protein 100,stress,bio10,8.985411232129813,2,0.2499892928383567,False,False
Chr1,2856189,1,smallindel,3_promoter,promoter,AT1G08910,PIAL1,E4 SUMO-protein ligase PIAL1 (EC 2.3.2.-) (Protein EMBRYO DEFECTIVE 3001) (Protein INHIBITOR OF ACTIVATED STAT-LIKE 1),stress,bio15,8.976710316765606,1,0.3019168376922607,True,False
Chr5,14991588,1,smallindel,3_promoter,promoter,AT5G37740,CAR1,Protein C2-DOMAIN ABA-RELATED 1,stress,bio15,8.935292575246516,1,0.0715878714214671,False,False
Chr4,11177560,2,smallindel,3_promoter,promoter,AT4G20870,FAH2,Dihydroceramide fatty acyl 2-hydroxylase FAH2 (EC 1.14.18.7) (Fatty acid 2-hydroxylase 2) (AtFAH2),stress,bio15,8.705196212475155,1,0.1999783732674338,True,False
Chr5,17203450,1,smallindel,3_promoter,promoter,AT5G42910,BZIP15,ABSCISIC ACID-INSENSITIVE 5-like protein 8 (bZIP transcription factor 15) (AtbZIP15),stress,bio1,8.566298303805372,2,0.1763618209145286,True,False
Chr5,4980464,2,smallindel,3_promoter,promoter,AT5G15330,SPX4,SPX domain-containing protein 4 (Protein SPX DOMAIN GENE 4) (AtSPX4),stress,bio15,8.481544865803013,1,0.1006583192131736,False,False
Chr5,4337749,2,smallindel,3_promoter,promoter,AT5G13500,HPAT3,Hydroxyproline O-arabinosyltransferase 3 (EC 2.4.2.58),stress,bio8,8.470788258090218,1,0.0725219358097423,False,False
Chr2,405424,1,smallindel,3_promoter,promoter,AT2G01900,IP5P9,Type IV inositol polyphosphate 5-phosphatase 9 (At5PTase9) (EC 3.1.3.36) (EC 3.1.3.86),stress,bio1,8.368156897579851,2,0.0809576619755138,False,False
Chr4,16135260,1,smallindel,3_promoter,promoter,AT4G33560,WIP5,Wound-responsive family protein,stress,bio15,8.345828604140225,1,0.3197080872275613,True,False
Chr4,16168032,2,smallindel,3_promoter,promoter,AT4G33660,CYSTM11,Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 11 (AthCYSTM11),stress,bio1,8.143597674200501,2,0.0533645749092102,False,False
Chr1,19587156,1,smallindel,3_promoter,promoter,AT1G52570,PLDALPHA2,Phospholipase D alpha 2 (AtPLDalpha2) (PLD alpha 2) (EC 3.1.4.4) (Choline phosphatase 2) (Phosphatidylcholine-hydrolyzing phospholipase D 2),stress,bio10,7.930910631160523,2,0.1694356203079223,False,False
Chr5,26933736,1,smallindel,3_promoter,promoter,AT5G67480,BT4,BTB/POZ and TAZ domain-containing protein 4 (BTB and TAZ domain protein 4),stress,bio15,7.90828646343,1,0.0724628080021251,False,False
Chr3,3299235,8,smallindel,3_promoter,promoter,AT3G10550,MTM1,"Phosphatidylinositol-3-phosphatase myotubularin-1 (AtMTM1) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",stress,bio15,7.78641691154498,1,0.0536281574856151,True,False
Chr3,2998355,11,smallindel,3_promoter,promoter,AT3G09770,LOG2,Probable E3 ubiquitin-protein ligase LOG2 (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase LOG2) (Protein LOSS OF GDU2) (RING finger protein 215),stress,bio15,7.78641691154498,1,0.0536281574856151,True,False
Chr5,13959865,1,smallindel,3_promoter,promoter,AT5G35790,G6PD1,"Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic (AtG6PD1) (G6PDH1) (EC 1.1.1.49)",stress,bio1,7.753775143895638,2,0.0969409400766546,False,False
Chr1,19426362,680,sv,3_promoter,promoter,AT1G52180,AT1G52180,Aquaporin-like superfamily protein,stress,pc1,7.684112674520581,6,0.1814039078625765,True,True
Chr1,29537801,11,smallindel,3_promoter,promoter,AT1G78510,SPS1,"Solanesyl diphosphate synthase 1, chloroplastic (AtSPS1) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 1 (geranylgeranyl-diphosphate specific)) (Geranylgeranyl diphosphate synthase) (EC 2.5.1.29)",stress,bio15,7.632984483343216,1,0.0598874959078702,False,False
Chr1,19357705,2,smallindel,3_promoter,promoter,AT1G52050,JAL8,Jacalin-related lectin 8,stress,bio10,7.62683603808029,1,0.1677368229085749,True,False
Chr2,7421842,6,smallindel,3_promoter,promoter,AT2G17060,AT2G17060,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6),stress,bio6,7.587417591888034,1,0.1230361353267322,False,False
Chr2,8984289,6,smallindel,3_promoter,promoter,AT2G20875,EPF1,Protein EPIDERMAL PATTERNING FACTOR 1 [Cleaved into: MEPF1],stress,bio4,7.578500023099012,1,0.0505647821859879,False,False
Chr4,6863482,2,smallindel,3_promoter,promoter,AT4G11280,ACS6,1-aminocyclopropane-1-carboxylate synthase 6 (ACC synthase 6) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 6),stress,bio10,7.477837143446032,2,0.1729400808160955,False,False
Chr3,9412282,29,smallindel,3_promoter,promoter,AT3G25790,HHO1,Transcription factor HHO1 (MYB-domain transcription factor HHO1) (Protein HRS1 HOMOLOG 1),stress,bio15,7.449196751023256,1,0.1119322451678189,False,True
