sample,n_records,n_sv,n_snp,finite_af_frac,af_mean,sv_af_mean,median_n_called,frac_ncalled_lt50,eff_n_founders_mean,site,plot,generation,coverage,climate
MLFH040520200206,10325364,2743030,7582334,1.0,0.0967664026459503,0.08747399608097615,218.0,0.0051778319873275165,6.670363730603858,4,5,3,4.953881,hot
MLFH040620180306,10325364,2743030,7582334,1.0,0.08223824651702351,0.07389152405916084,218.0,0.0051778319873275165,33.86235365479238,4,6,1,3.384059,hot
MLFH040620180321,10325364,2743030,7582334,1.0,0.07825480607075935,0.07014717571809276,218.0,0.0051778319873275165,52.1079930358061,4,6,1,4.677116,hot
MLFH040620190208,10325364,2743030,7582334,1.0,0.09125223324911355,0.08222253218156564,218.0,0.0051778319873275165,12.510432535792503,4,6,2,5.565827,hot
MLFH040620190221,10325364,2743030,7582334,1.0,0.08479169071618202,0.07630454880187237,218.0,0.0051778319873275165,28.758762118154955,4,6,2,5.099379,hot
MLFH040620200206,10325364,2743030,7582334,1.0,0.09608808327144688,0.0867630696820669,218.0,0.0051778319873275165,12.682051517634232,4,6,3,3.336538,hot
MLFH040720180306,10325364,2743030,7582334,1.0,0.08448067552485317,0.07650193016117213,218.0,0.0051778319873275165,35.66167445959833,4,7,1,5.425527,hot
MLFH040720180321,10325364,2743030,7582334,1.0,0.07968364577365021,0.07143238347374983,218.0,0.0051778319873275165,57.073819418022126,4,7,1,4.83483,hot
MLFH040720190208,10325364,2743030,7582334,1.0,0.08688171710072401,0.07808245307561347,218.0,0.0051778319873275165,10.205378096563283,4,7,2,4.297769,hot
MLFH040720190221,10325364,2743030,7582334,1.0,0.0887044732340671,0.07984984701953679,218.0,0.0051778319873275165,22.79905945139462,4,7,2,3.590763,hot
MLFH040720200212,10325364,2743030,7582334,1.0,0.09404461642320794,0.08458607750553221,218.0,0.0051778319873275165,7.61775715991463,4,7,3,3.326344,hot
MLFH040820180306,10325364,2743030,7582334,1.0,0.08387780629719203,0.07600999923077764,218.0,0.0051778319873275165,34.78214315404332,4,8,1,3.496817,hot
MLFH040820180321,10325364,2743030,7582334,1.0,0.08071122868210748,0.07242352498878976,218.0,0.0051778319873275165,65.81805022864117,4,8,1,4.660371,hot
MLFH040820190208,10325364,2743030,7582334,1.0,0.09086669611938136,0.08171923649030452,218.0,0.0051778319873275165,10.180635791946461,4,8,2,5.931749,hot
MLFH040820190221,10325364,2743030,7582334,1.0,0.0880905226624456,0.07927400099524978,218.0,0.0051778319873275165,17.318271529040732,4,8,2,5.948641,hot
MLFH040820200212,10325364,2743030,7582334,1.0,0.09734442289492166,0.08763584085482112,218.0,0.0051778319873275165,6.479269456042334,4,8,3,4.601433,hot
MLFH040920180306,10325364,2743030,7582334,1.0,0.08393762745119687,0.07578238695894686,218.0,0.0051778319873275165,41.45273268414824,4,9,1,2.819699,hot
MLFH040920180321,10325364,2743030,7582334,1.0,0.07979846248616514,0.07161920908994797,218.0,0.0051778319873275165,52.94147064447991,4,9,1,6.188346,hot
MLFH040920190208,10325364,2743030,7582334,1.0,0.09495617381237118,0.08539614311545991,218.0,0.0051778319873275165,5.340399427848874,4,9,2,6.270317,hot
MLFH040920190221,10325364,2743030,7582334,1.0,0.08620876086886622,0.07754085628301549,218.0,0.0051778319873275165,26.250669776206298,4,9,2,5.938752,hot
MLFH040920200206,10325364,2743030,7582334,1.0,0.09443319830177414,0.08497006932844337,218.0,0.0051778319873275165,10.545309267339293,4,9,3,4.758734,hot
MLFH041020180306,10325364,2743030,7582334,1.0,0.08386339269395249,0.0755307571189524,218.0,0.0051778319873275165,35.221125547738396,4,10,1,3.15406,hot
MLFH041020180321,10325364,2743030,7582334,1.0,0.08032689723674633,0.07202446423845163,218.0,0.0051778319873275165,63.31791693649948,4,10,1,3.999246,hot
MLFH041020190208,10325364,2743030,7582334,1.0,0.08974469004192008,0.08084317198134909,218.0,0.0051778319873275165,18.520093408861023,4,10,2,6.035288,hot
MLFH041020190221,10325364,2743030,7582334,1.0,0.08581434808593673,0.07748488585979738,218.0,0.0051778319873275165,27.09050762181365,4,10,2,5.655738,hot
MLFH041020200206,10325364,2743030,7582334,1.0,0.10162307980813075,0.09142004558098162,218.0,0.0051778319873275165,3.272426024956631,4,10,3,3.78768,hot
MLFH041120180306,10325364,2743030,7582334,1.0,0.08463785899363935,0.0762737580194165,218.0,0.0051778319873275165,37.53928590139948,4,11,1,5.182823,hot
MLFH041120180321,10325364,2743030,7582334,1.0,0.08010915523656116,0.07206985373838419,218.0,0.0051778319873275165,68.65480148037958,4,11,1,5.562338,hot
MLFH041120190208,10325364,2743030,7582334,1.0,0.09107335453549144,0.08191240768055763,218.0,0.0051778319873275165,10.091011505189595,4,11,2,5.841997,hot
MLFH041120190221,10325364,2743030,7582334,1.0,0.09118022119317053,0.08209825758741246,218.0,0.0051778319873275165,14.86176368673315,4,11,2,4.779382,hot
MLFH041120200212,10325364,2743030,7582334,1.0,0.09901870247867292,0.08936192436466243,218.0,0.0051778319873275165,10.565203475943202,4,11,3,4.639991,hot
MLFH041220180306,10325364,2743030,7582334,1.0,0.08418361647783071,0.07574237176771673,218.0,0.0051778319873275165,36.94809916931006,4,12,1,5.530869,hot
MLFH041220180321,10325364,2743030,7582334,1.0,0.08010530215593369,0.07187595810836922,218.0,0.0051778319873275165,66.83978692382264,4,12,1,6.347305,hot
MLFH041220190208,10325364,2743030,7582334,1.0,0.08853646453045141,0.0810640506702442,218.0,0.0051778319873275165,14.373476803381743,4,12,2,4.745388,hot
MLFH041220190221,10325364,2743030,7582334,1.0,0.08168399781257107,0.07352737515812806,218.0,0.0051778319873275165,17.99861486158328,4,12,2,5.053914,hot
MLFH041220200212,10325364,2743030,7582334,1.0,0.09225809805446085,0.08312553415748279,218.0,0.0051778319873275165,9.364961162434344,4,12,3,3.721006,hot
MLFH540120180115,10325364,2743030,7582334,1.0,0.08765681840950111,0.07912226252720532,218.0,0.0051778319873275165,6.393270065367772,54,1,1,10.419144,cold
MLFH540120180314,10325364,2743030,7582334,1.0,0.08533705434307207,0.07693816444588648,218.0,0.0051778319873275165,35.24740230407042,54,1,1,4.883063,cold
MLFH540120180412,10325364,2743030,7582334,1.0,0.07861536848289319,0.07055428186348672,218.0,0.0051778319873275165,53.383249716686215,54,1,1,9.416696,cold
MLFH540120180427,10325364,2743030,7582334,1.0,0.07948145342478967,0.07116142877401997,218.0,0.0051778319873275165,24.95404717553172,54,1,1,4.543005,cold
MLFH540120190330,10325364,2743030,7582334,1.0,0.079762848201768,0.071888199746266,218.0,0.0051778319873275165,13.524986435314053,54,1,2,9.635589,cold
MLFH540120190418,10325364,2743030,7582334,1.0,0.07992419260279832,0.07228071660535977,218.0,0.0051778319873275165,21.003955625916426,54,1,2,9.377026,cold
MLFH540120190524,10325364,2743030,7582334,1.0,0.07962977912158835,0.07171631346722421,218.0,0.0051778319873275165,12.611456600399404,54,1,2,6.574567,cold
MLFH540120200325,10325364,2743030,7582334,1.0,0.07933654672803786,0.07139821854299808,218.0,0.0051778319873275165,6.347080117384152,54,1,3,6.343001,cold
MLFH540120200408,10325364,2743030,7582334,1.0,0.0799586011698958,0.07161289064647487,218.0,0.0051778319873275165,12.480004045435928,54,1,3,4.463461,cold
MLFH540220180115,10325364,2743030,7582334,1.0,0.09127438683711295,0.08263553299088963,218.0,0.0051778319873275165,3.2388100132537554,54,2,1,3.832499,cold
MLFH540220180314,10325364,2743030,7582334,1.0,0.08581926235046049,0.07723384467905928,218.0,0.0051778319873275165,37.11636843282618,54,2,1,5.691221,cold
MLFH540220180328,10325364,2743030,7582334,1.0,0.08466188669474509,0.0764362625016861,218.0,0.0051778319873275165,42.320447511464764,54,2,1,11.087849,cold
MLFH540220180412,10325364,2743030,7582334,1.0,0.0793215777245238,0.071136734545375,218.0,0.0051778319873275165,66.93390255423472,54,2,1,8.847321,cold
MLFH540220180427,10325364,2743030,7582334,1.0,0.079606101196045,0.07146683539735256,218.0,0.0051778319873275165,26.605392961797186,54,2,1,9.705379,cold
MLFH540220190330,10325364,2743030,7582334,1.0,0.08035348489021792,0.07214787406626978,218.0,0.0051778319873275165,10.425173582830887,54,2,2,8.548039,cold
MLFH540220190418,10325364,2743030,7582334,1.0,0.07916489122514228,0.07091477270755334,218.0,0.0051778319873275165,20.135777750161516,54,2,2,7.168025,cold
MLFH540220190524,10325364,2743030,7582334,1.0,0.07926258372392489,0.07098608678723892,218.0,0.0051778319873275165,21.51523566788088,54,2,2,7.59356,cold
MLFH540220200325,10325364,2743030,7582334,1.0,0.08074900976372358,0.07229328460862623,218.0,0.0051778319873275165,11.795600585795592,54,2,3,8.109691,cold
MLFH540220200408,10325364,2743030,7582334,1.0,0.07976977605244716,0.0713294237029854,218.0,0.0051778319873275165,10.019360159168155,54,2,3,7.909937,cold
MLFH540320180115,10325364,2743030,7582334,1.0,0.09714180246236356,0.08807852238218321,218.0,0.0051778319873275165,2.368998470778006,54,3,1,6.550848,cold
MLFH540320180314,10325364,2743030,7582334,1.0,0.08570862017842663,0.07753804432689398,218.0,0.0051778319873275165,35.878247989508644,54,3,1,5.673604,cold
MLFH540320180328,10325364,2743030,7582334,1.0,0.08286743681481835,0.07467133244623646,218.0,0.0051778319873275165,45.43779554569961,54,3,1,7.486788,cold
MLFH540320180412,10325364,2743030,7582334,1.0,0.0783841890397278,0.07026150185014382,218.0,0.0051778319873275165,67.67230059187409,54,3,1,9.149472,cold
MLFH540320180427,10325364,2743030,7582334,1.0,0.08114135944359928,0.07273504997757953,218.0,0.0051778319873275165,20.161469881755874,54,3,1,7.785134,cold
MLFH540320190330,10325364,2743030,7582334,1.0,0.07840002345873714,0.07053970021837165,218.0,0.0051778319873275165,4.030686513784607,54,3,2,7.715295,cold
MLFH540320190418,10325364,2743030,7582334,1.0,0.07869948589996441,0.07055648988162726,218.0,0.0051778319873275165,20.546988242761024,54,3,2,7.691061,cold
MLFH540320190524,10325364,2743030,7582334,1.0,0.07887312920106254,0.07080021436513635,218.0,0.0051778319873275165,21.94115835988984,54,3,2,4.427239,cold
MLFH540320200325,10325364,2743030,7582334,1.0,0.07883049557478071,0.07166025889982974,218.0,0.0051778319873275165,3.901552594916526,54,3,3,9.99303,cold
MLFH540320200408,10325364,2743030,7582334,1.0,0.0773956588048615,0.06966563993831638,218.0,0.0051778319873275165,4.037015669013941,54,3,3,6.140166,cold
MLFH540420180115,10325364,2743030,7582334,1.0,0.08767956769369098,0.07917198742631323,218.0,0.0051778319873275165,5.228220992563847,54,4,1,6.236335,cold
MLFH540420180314,10325364,2743030,7582334,1.0,0.0835051496857641,0.07526345221160541,218.0,0.0051778319873275165,31.63411532111467,54,4,1,8.031488,cold
MLFH540420180328,10325364,2743030,7582334,1.0,0.08252614137961624,0.0742379418198124,218.0,0.0051778319873275165,41.783040519088104,54,4,1,9.623299,cold
MLFH540420180412,10325364,2743030,7582334,1.0,0.07830993995853318,0.07018656392383604,218.0,0.0051778319873275165,49.92942577819235,54,4,1,7.672823,cold
MLFH540420180427,10325364,2743030,7582334,1.0,0.07958175487469497,0.07129515424184205,218.0,0.0051778319873275165,37.31468756250716,54,4,1,13.409207,cold
MLFH540420190330,10325364,2743030,7582334,1.0,0.07862208575503972,0.07051114226967989,218.0,0.0051778319873275165,25.50583079789857,54,4,2,8.369154,cold
MLFH540420190418,10325364,2743030,7582334,1.0,0.07809390762204606,0.06997880949169348,218.0,0.0051778319873275165,11.524102420651472,54,4,2,8.442264,cold
MLFH540420190524,10325364,2743030,7582334,1.0,0.07830497137631177,0.07011846743200037,218.0,0.0051778319873275165,9.957658938237019,54,4,2,7.533324,cold
MLFH540420200325,10325364,2743030,7582334,1.0,0.07748729305426907,0.06955849388449997,218.0,0.0051778319873275165,9.974423065724826,54,4,3,6.378175,cold
MLFH540420200408,10325364,2743030,7582334,1.0,0.07685710461539177,0.06901764301156021,218.0,0.0051778319873275165,8.972304850844745,54,4,3,8.458925,cold
MLFH540520180115,10325364,2743030,7582334,1.0,0.08797259352212668,0.07941709133695221,218.0,0.0051778319873275165,5.968299260108063,54,5,1,6.547875,cold
MLFH540520180314,10325364,2743030,7582334,1.0,0.08571047395326693,0.07747684460250162,218.0,0.0051778319873275165,39.53754021750927,54,5,1,8.051729,cold
MLFH540520180328,10325364,2743030,7582334,1.0,0.0821638175409603,0.07387522677477097,218.0,0.0051778319873275165,44.47497657963985,54,5,1,7.590543,cold
MLFH540520180412,10325364,2743030,7582334,1.0,0.07804329632156311,0.06986437776108902,218.0,0.0051778319873275165,51.37764225866242,54,5,1,6.892123,cold
MLFH540520180427,10325364,2743030,7582334,1.0,0.07796032851723193,0.06985856693510462,218.0,0.0051778319873275165,24.685205342877357,54,5,1,14.497089,cold
MLFH540520190330,10325364,2743030,7582334,1.0,0.0791934851265292,0.0711970408854442,218.0,0.0051778319873275165,21.504696027597014,54,5,2,8.218076,cold
MLFH540520190418,10325364,2743030,7582334,1.0,0.07778809124404719,0.06985346565659144,218.0,0.0051778319873275165,29.540320864068594,54,5,2,8.856298,cold
MLFH540520190524,10325364,2743030,7582334,1.0,0.07730247705940439,0.06924053370178233,218.0,0.0051778319873275165,27.22940108735973,54,5,2,7.530587,cold
MLFH540520200325,10325364,2743030,7582334,1.0,0.07810461906427706,0.06997685017662948,218.0,0.0051778319873275165,23.609080973633827,54,5,3,9.182669,cold
MLFH540520200408,10325364,2743030,7582334,1.0,0.07736446169452234,0.0693109520894777,218.0,0.0051778319873275165,18.51720013507234,54,5,3,9.411289,cold
MLFH540620180115,10325364,2743030,7582334,1.0,0.09318182246843791,0.08432064750658944,218.0,0.0051778319873275165,3.6326350273688623,54,6,1,6.596522,cold
MLFH540620180314,10325364,2743030,7582334,1.0,0.0858571339179907,0.0774786823476229,218.0,0.0051778319873275165,39.150599741039926,54,6,1,4.370795,cold
MLFH540620180328,10325364,2743030,7582334,1.0,0.08305756817580476,0.07499357017969181,218.0,0.0051778319873275165,50.04313882308709,54,6,1,3.696614,cold
MLFH540620180412,10325364,2743030,7582334,1.0,0.07899471880603919,0.07085980149688484,218.0,0.0051778319873275165,61.18808563309339,54,6,1,4.253407,cold
MLFH540620180427,10325364,2743030,7582334,1.0,0.07837518418140028,0.07010392544376111,218.0,0.0051778319873275165,26.513798241825036,54,6,1,6.130738,cold
MLFH540620190330,10325364,2743030,7582334,1.0,0.07854502205636528,0.07058390556428475,218.0,0.0051778319873275165,6.5859032255353025,54,6,2,8.518558,cold
MLFH540620190418,10325364,2743030,7582334,1.0,0.07893680881661895,0.07088823287386577,218.0,0.0051778319873275165,16.724218460654757,54,6,2,7.828499,cold
MLFH540620190524,10325364,2743030,7582334,1.0,0.07885148111582313,0.0707358257693135,218.0,0.0051778319873275165,33.81488431789041,54,6,2,7.086108,cold
MLFH540620200325,10325364,2743030,7582334,1.0,0.08013846446478788,0.07299956867770312,218.0,0.0051778319873275165,14.675043619655975,54,6,3,5.657405,cold
MLFH540620200408,10325364,2743030,7582334,1.0,0.07775206234085306,0.06980420954929403,218.0,0.0051778319873275165,19.91654817432493,54,6,3,8.483374,cold
MLFH540720180115,10325364,2743030,7582334,1.0,0.0886044331415338,0.07996685388056274,218.0,0.0051778319873275165,6.920305399503259,54,7,1,5.220218,cold
MLFH540720180314,10325364,2743030,7582334,1.0,0.08502796369115896,0.07703018197394852,218.0,0.0051778319873275165,29.263951403825757,54,7,1,4.422146,cold
MLFH540720180328,10325364,2743030,7582334,1.0,0.08287000425554004,0.07441479034498347,218.0,0.0051778319873275165,39.50001506357792,54,7,1,5.392585,cold
MLFH540720180412,10325364,2743030,7582334,1.0,0.07887849052682308,0.07177451845222255,218.0,0.0051778319873275165,32.7548414211201,54,7,1,4.500957,cold
MLFH540720180427,10325364,2743030,7582334,1.0,0.07689357178206986,0.06890412444267835,218.0,0.0051778319873275165,13.79145074084226,54,7,1,5.017204,cold
MLFH540720190330,10325364,2743030,7582334,1.0,0.08796084551111225,0.0824915977295181,218.0,0.0051778319873275165,18.89632624685462,54,7,2,8.709476,cold
MLFH540720190418,10325364,2743030,7582334,1.0,0.07922995771771339,0.07203811147891201,218.0,0.0051778319873275165,2.7317257439359546,54,7,2,8.668814,cold
MLFH540720190524,10325364,2743030,7582334,1.0,0.07713099430005567,0.06882347595177596,218.0,0.0051778319873275165,4.122881809673734,54,7,2,7.074289,cold
MLFH540720200325,10325364,2743030,7582334,1.0,0.07697026300574004,0.06915458135711239,218.0,0.0051778319873275165,13.927728868588062,54,7,3,4.424959,cold
MLFH540720200408,10325364,2743030,7582334,1.0,0.07620215090625378,0.06799773643379767,218.0,0.0051778319873275165,6.197908702309975,54,7,3,4.510958,cold
MLFH540820180115,10325364,2743030,7582334,1.0,0.09186682278029133,0.08310558844052016,218.0,0.0051778319873275165,3.937979077613875,54,8,1,10.453879,cold
MLFH540820180314,10325364,2743030,7582334,1.0,0.0836696131497156,0.07537740881069475,218.0,0.0051778319873275165,34.06856285187117,54,8,1,10.256868,cold
MLFH540820180328,10325364,2743030,7582334,1.0,0.08354149160843143,0.07502349391731042,218.0,0.0051778319873275165,32.02842049860292,54,8,1,7.533038,cold
MLFH540820180412,10325364,2743030,7582334,1.0,0.0781302628168847,0.06991751136881479,218.0,0.0051778319873275165,16.6842500333643,54,8,1,7.221238,cold
MLFH540820180427,10325364,2743030,7582334,1.0,0.07947493588700602,0.07130745983820812,218.0,0.0051778319873275165,21.75159373479251,54,8,1,5.439389,cold
MLFH540820190330,10325364,2743030,7582334,1.0,0.07933258621003579,0.07115392545105231,218.0,0.0051778319873275165,6.518000510027099,54,8,2,8.80474,cold
MLFH540820190418,10325364,2743030,7582334,1.0,0.07786072960623955,0.06988115984878036,218.0,0.0051778319873275165,9.873833751487346,54,8,2,5.106623,cold
MLFH540820190524,10325364,2743030,7582334,1.0,0.07942545077636004,0.07128955743830727,218.0,0.0051778319873275165,8.634223605059763,54,8,2,3.63706,cold
MLFH540820200325,10325364,2743030,7582334,1.0,0.07779101425189465,0.06985847000215091,218.0,0.0051778319873275165,31.275627166467324,54,8,3,4.18495,cold
MLFH540820200408,10325364,2743030,7582334,1.0,0.07742449665697015,0.06955157517416871,218.0,0.0051778319873275165,41.78504632371992,54,8,3,4.826287,cold
MLFH540920180115,10325364,2743030,7582334,1.0,0.09284337275567235,0.08406242536538062,218.0,0.0051778319873275165,3.6740804412823964,54,9,1,8.936783,cold
MLFH540920180314,10325364,2743030,7582334,1.0,0.08518979512877221,0.07712666685016205,218.0,0.0051778319873275165,36.214122420448206,54,9,1,8.644528,cold
MLFH540920180328,10325364,2743030,7582334,1.0,0.08085407166081507,0.07323409546742106,218.0,0.0051778319873275165,37.73434667129173,54,9,1,7.853736,cold
MLFH540920180412,10325364,2743030,7582334,1.0,0.08116994222382862,0.07270531705449813,218.0,0.0051778319873275165,27.32689249110292,54,9,1,7.154528,cold
MLFH540920180427,10325364,2743030,7582334,1.0,0.07883290606800883,0.07056532039387102,218.0,0.0051778319873275165,16.440391115047753,54,9,1,8.546106,cold
MLFH540920190330,10325364,2743030,7582334,1.0,0.07990097700768709,0.07174281156604194,218.0,0.0051778319873275165,6.020822915932888,54,9,2,8.629797,cold
MLFH540920190418,10325364,2743030,7582334,1.0,0.0782455646503116,0.07030345916741705,218.0,0.0051778319873275165,6.935572705712367,54,9,2,7.287239,cold
MLFH540920190524,10325364,2743030,7582334,1.0,0.07814233994946812,0.07012865560712059,218.0,0.0051778319873275165,3.6931880510752593,54,9,2,7.467661,cold
MLFH540920200325,10325364,2743030,7582334,1.0,0.07822384519131723,0.07026031117778515,218.0,0.0051778319873275165,16.36809964065858,54,9,3,6.82468,cold
MLFH540920200408,10325364,2743030,7582334,1.0,0.07839212657393967,0.0703226883628688,218.0,0.0051778319873275165,6.507736346974592,54,9,3,4.289142,cold
MLFH541020180115,10325364,2743030,7582334,1.0,0.09175084425595069,0.08302336076528512,218.0,0.0051778319873275165,3.6788287294108897,54,10,1,8.44529,cold
MLFH541020180314,10325364,2743030,7582334,1.0,0.08414325211392064,0.0757591594805744,218.0,0.0051778319873275165,35.78993470554171,54,10,1,7.432472,cold
MLFH541020180328,10325364,2743030,7582334,1.0,0.0820217259759559,0.07352864779823771,218.0,0.0051778319873275165,20.830688072335516,54,10,1,6.508126,cold
MLFH541020180412,10325364,2743030,7582334,1.0,0.07928635860779339,0.0712878006511048,218.0,0.0051778319873275165,27.71758924108798,54,10,1,7.480752,cold
MLFH541020180427,10325364,2743030,7582334,1.0,0.08013620256874236,0.07176543066608823,218.0,0.0051778319873275165,22.01690528051167,54,10,1,8.000833,cold
MLFH541020190330,10325364,2743030,7582334,1.0,0.0796157485266379,0.07153834091861919,218.0,0.0051778319873275165,11.602551619063714,54,10,2,8.492083,cold
MLFH541020190418,10325364,2743030,7582334,1.0,0.07871382618569185,0.0705232055500669,218.0,0.0051778319873275165,10.828342463130124,54,10,2,7.638556,cold
MLFH541020190524,10325364,2743030,7582334,1.0,0.07887446343102288,0.07065918570704659,218.0,0.0051778319873275165,14.65589003051277,54,10,2,7.969413,cold
MLFH541020200325,10325364,2743030,7582334,1.0,0.0797614693302822,0.0717126096360594,218.0,0.0051778319873275165,13.289318944599449,54,10,3,4.504772,cold
MLFH541020200408,10325364,2743030,7582334,1.0,0.07754893425258422,0.06955079527748512,218.0,0.0051778319873275165,18.609774665010445,54,10,3,4.077883,cold
MLFH541120180115,10325364,2743030,7582334,1.0,0.09150869809916627,0.08435450053772653,218.0,0.0051778319873275165,5.269187636324266,54,11,1,8.001945,cold
MLFH541120180314,10325364,2743030,7582334,1.0,0.08766687178679608,0.07906952790891823,218.0,0.0051778319873275165,30.14346218709847,54,11,1,6.706511,cold
MLFH541120180328,10325364,2743030,7582334,1.0,0.08356112681838626,0.07527974274069187,218.0,0.0051778319873275165,32.834577865086075,54,11,1,8.21082,cold
MLFH541120180412,10325364,2743030,7582334,1.0,0.0776508339802839,0.0696743571014535,218.0,0.0051778319873275165,24.142577082107838,54,11,1,7.433291,cold
MLFH541120180427,10325364,2743030,7582334,1.0,0.07852925191886698,0.0704215158601984,218.0,0.0051778319873275165,26.343830997377495,54,11,1,9.949324,cold
MLFH541120190330,10325364,2743030,7582334,1.0,0.07901797506121817,0.07088415452255353,218.0,0.0051778319873275165,18.533587616277796,54,11,2,9.774269,cold
MLFH541120190418,10325364,2743030,7582334,1.0,0.07837094217889075,0.0701579819943639,218.0,0.0051778319873275165,11.22456741269314,54,11,2,10.842387,cold
MLFH541120190524,10325364,2743030,7582334,1.0,0.07796476559276748,0.06971715289661432,218.0,0.0051778319873275165,13.23174176592408,54,11,2,11.654017,cold
MLFH541120200325,10325364,2743030,7582334,1.0,0.07840907455369128,0.07036532186669485,218.0,0.0051778319873275165,14.413747872755376,54,11,3,6.710218,cold
MLFH541120200408,10325364,2743030,7582334,1.0,0.07767205802236124,0.0695789393809036,218.0,0.0051778319873275165,13.968036545993112,54,11,3,13.53358,cold
MLFH541220180115,10325364,2743030,7582334,1.0,0.09095062683213881,0.08222726117468639,218.0,0.0051778319873275165,4.474107789644248,54,12,1,7.345691,cold
MLFH541220180314,10325364,2743030,7582334,1.0,0.08527426613240946,0.07697797647127448,218.0,0.0051778319873275165,29.15994976261664,54,12,1,8.027052,cold
MLFH541220180328,10325364,2743030,7582334,1.0,0.08199170811702135,0.07391714325763844,218.0,0.0051778319873275165,41.35747330270756,54,12,1,6.703348,cold
MLFH541220180412,10325364,2743030,7582334,1.0,0.07913287604098024,0.07087981166447323,218.0,0.0051778319873275165,34.08074914493346,54,12,1,7.219611,cold
MLFH541220180427,10325364,2743030,7582334,1.0,0.08026840408822392,0.07185388144132583,218.0,0.0051778319873275165,41.92078492270453,54,12,1,8.080913,cold
MLFH541220190418,10325364,2743030,7582334,1.0,0.0771000418125695,0.06937891110924779,218.0,0.0051778319873275165,1.684946807448695,54,12,2,6.829981,cold
MLFH541220190524,10325364,2743030,7582334,1.0,0.07660871366084528,0.06853289798507489,218.0,0.0051778319873275165,19.293195508656602,54,12,2,8.445825,cold
MLFH541220200325,10325364,2743030,7582334,1.0,0.07993659578587253,0.0718914810774946,218.0,0.0051778319873275165,17.306754465156224,54,12,3,14.801658,cold
MLFH541220200408,10325364,2743030,7582334,1.0,0.07778530129204161,0.06969406946697629,218.0,0.0051778319873275165,17.809260034945208,54,12,3,12.100242,cold
