sampleid,site,plot,date,year,generation,weighted_mean_coverage,hot_cold
MLFH541220200325,54,12,20200325,2020,3,13.04118465,cold
MLFH540720190524,54,7,20190524,2019,2,8.272298,cold
MLFH040620180321,4,6,20180321,2018,1,4.0305875,hot
MLFH540320190418,54,3,20190418,2019,2,6.972774397,cold
MLFH541120190330,54,11,20190330,2019,2,10.45473722,cold
MLFH041220190221,4,12,20190221,2019,2,4.935250154,hot
MLFH541120200408,54,11,20200408,2020,3,11.02584867,cold
MLFH540920180427,54,9,20180427,2018,1,7.907460406,cold
MLFH540520180115,54,5,20180115,2018,1,7.869532856,cold
MLFH540120200408,54,1,20200408,2020,3,5.574098273,cold
MLFH040920180321,4,9,20180321,2018,1,4.5040225,hot
MLFH040620180306,4,6,20180306,2018,1,4.0305875,hot
MLFH541020180115,54,10,20180115,2018,1,7.22656778,cold
MLFH540420180115,54,4,20180115,2018,1,8.816785564,cold
MLFH540120180427,54,1,20180427,2018,1,7.090012789,cold
MLFH541020190330,54,10,20190330,2019,2,7.969692115,cold
MLFH040220200212,4,2,20200212,2020,3,7.741156,hot
MLFH541120180328,54,11,20180328,2018,1,7.761428614,cold
MLFH540320180412,54,3,20180412,2018,1,7.432505333,cold
MLFH540220180427,54,2,20180427,2018,1,8.420418154,cold
MLFH540820180412,54,8,20180412,2018,1,8.070455781,cold
MLFH540720200408,54,7,20200408,2020,3,4.463180778,cold
MLFH540820190524,54,8,20190524,2019,2,6.155532378,cold
MLFH540620190524,54,6,20190524,2019,2,7.49556712,cold
MLFH540520180412,54,5,20180412,2018,1,7.869532856,cold
MLFH040520180321,4,5,20180321,2018,1,3.876411,hot
MLFH540220180412,54,2,20180412,2018,1,8.420418154,cold
MLFH541120190418,54,11,20190418,2019,2,10.45473722,cold
MLFH540320200408,54,3,20200408,2020,3,7.500000353,cold
MLFH540820180314,54,8,20180314,2018,1,8.070455781,cold
MLFH540220190524,54,2,20190524,2019,2,8.023262805,cold
MLFH540620180314,54,6,20180314,2018,1,4.291134355,cold
MLFH040920200206,4,9,20200206,2020,3,4.758734,hot
MLFH540320180314,54,3,20180314,2018,1,7.432505333,cold
MLFH040320200206,4,3,20200206,2020,3,5.792649,hot
MLFH540520190330,54,5,20190330,2019,2,8.35435248,cold
MLFH540220190418,54,2,20190418,2019,2,8.023262805,cold
MLFH040820180321,4,8,20180321,2018,1,4.078594,hot
MLFH040220180306,4,2,20180306,2018,1,21.1636745,hot
MLFH041120190208,4,11,20190208,2019,2,5.145800966,hot
MLFH540720180412,54,7,20180412,2018,1,4.852478962,cold
MLFH541220180328,54,12,20180328,2018,1,7.364946851,cold
MLFH540420190330,54,4,20190330,2019,2,8.20878331,cold
MLFH540620200408,54,6,20200408,2020,3,7.08827538,cold
MLFH540720180115,54,7,20180115,2018,1,4.852478962,cold
MLFH541020200408,54,10,20200408,2020,3,4.213992536,cold
MLFH541020190524,54,10,20190524,2019,2,7.969692115,cold
MLFH041120180321,4,11,20180321,2018,1,5.3725805,hot
MLFH540820190330,54,8,20190330,2019,2,6.155532378,cold
MLFH540620180115,54,6,20180115,2018,1,4.291134355,cold
MLFH040620190208,4,6,20190208,2019,2,5.254861667,hot
MLFH540220200325,54,2,20200325,2020,3,8.011852306,cold
MLFH540220200408,54,2,20200408,2020,3,8.011852306,cold
MLFH541220180115,54,12,20180115,2018,1,7.364946851,cold
MLFH540420200325,54,4,20200325,2020,3,7.591945833,cold
MLFH540620200325,54,6,20200325,2020,3,7.08827538,cold
MLFH540920190330,54,9,20190330,2019,2,7.912588655,cold
MLFH541220180314,54,12,20180314,2018,1,7.364946851,cold
MLFH540920180314,54,9,20180314,2018,1,7.907460406,cold
MLFH541020180427,54,10,20180427,2018,1,7.22656778,cold
MLFH040820200212,4,8,20200212,2020,3,4.601433,hot
MLFH040920180306,4,9,20180306,2018,1,4.5040225,hot
MLFH541020180328,54,10,20180328,2018,1,7.22656778,cold
MLFH040120190221,4,1,20190221,2019,2,9.314159313,hot
MLFH540820200408,54,8,20200408,2020,3,4.541720252,cold
MLFH040720180306,4,7,20180306,2018,1,5.1301785,hot
MLFH540920180115,54,9,20180115,2018,1,7.907460406,cold
MLFH040120180306,4,1,20180306,2018,1,16.631347,hot
MLFH540920180412,54,9,20180412,2018,1,7.907460406,cold
MLFH040320190221,4,3,20190221,2019,2,7.886553737,hot
MLFH040520190208,4,5,20190208,2019,2,5.5527064,hot
MLFH540120190524,54,1,20190524,2019,2,9.030321858,cold
MLFH540620190418,54,6,20190418,2019,2,7.49556712,cold
MLFH040220180321,4,2,20180321,2018,1,21.1636745,hot
MLFH540220180314,54,2,20180314,2018,1,8.420418154,cold
MLFH540320180115,54,3,20180115,2018,1,7.432505333,cold
MLFH040420180306,4,4,20180306,2018,1,7.809219,hot
MLFH541120190524,54,11,20190524,2019,2,10.45473722,cold
