ecotype_id	run_accession	study_accession	fastq_ftp	fastq_md5	base_count	read_count	library_strategy	library_layout	instrument_model
6911	SRR1945758	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945758/SRR1945758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945758/SRR1945758_2.fastq.gz	5a160c6fe5f08586c678dc4c9644e8ba;3ed2692a703a4764af6b575ce1c35192	7444000172	36851486	WGS	PAIRED	Illumina HiSeq 2000
6915	SRR1945760	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945760/SRR1945760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945760/SRR1945760_2.fastq.gz	09f1cd8800542fc03cf406a234f02921;071ea46d47a600b4c7c721d70d708aba	2423975962	11999881	WGS	PAIRED	Illumina HiSeq 2000
6929	SRR1945770	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945770/SRR1945770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945770/SRR1945770_2.fastq.gz	8d842186fc9575bc124fb7065ab9bec7;eba5af85fcfffd60f737460a11b5b662	2366050240	11713120	WGS	PAIRED	Illumina HiSeq 2000
6932	SRR1945772	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945772/SRR1945772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945772/SRR1945772_2.fastq.gz	c41060d8bb7cf2c75d76f16e571555eb;979d626d86b499c35c917c8ee792d51f	5392785000	26963925	WGS	PAIRED	Illumina HiSeq 2000
6938	SRR1945774	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945774/SRR1945774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945774/SRR1945774_2.fastq.gz	15e16ef13435d99c63d9bbc3e0222afc;13091cea35989d5c7ce09e9080bd0ec9	3265640474	16166537	WGS	PAIRED	Illumina HiSeq 2000
6939	ERR2178778	PRJEB23122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2178778/ERR2178778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/008/ERR2178778/ERR2178778_2.fastq.gz	9de6037c4895e8bce4b3abdace432f10;f08a170cce10e407f6e22f294384ffb8	10110840500	20221681	WGS	PAIRED	Illumina HiSeq 2500
6945	SRR1945778	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945778/SRR1945778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945778/SRR1945778_2.fastq.gz	3635a0be55165a6261274e43dafd7684;7095db24524d05eba5449df922934282	4116765858	20380029	WGS	PAIRED	Illumina HiSeq 2000
6958	SRR1945782	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945782/SRR1945782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945782/SRR1945782_2.fastq.gz	171d52145c1024d5645ba0440cc9dfb9;a0712d3a770f1b28a47c0369b1bc062f	2897180556	14342478	WGS	PAIRED	Illumina HiSeq 2000
6963	SRR1945786	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945786/SRR1945786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945786/SRR1945786_2.fastq.gz	be7b318e420927eb8bbf5c206bae7758;14ee47725fd10b56dbdd18710a535f00	1782254282	8823041	WGS	PAIRED	Illumina HiSeq 2000
6979	SRR1945797	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945797/SRR1945797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945797/SRR1945797_2.fastq.gz	b22c814d80788f1d63fb2c251ecb8308;555fa0c15397f0947964cff8f9813f90	2895131468	14332334	WGS	PAIRED	Illumina HiSeq 2000
7000	SRR1945807	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945807/SRR1945807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945807/SRR1945807_2.fastq.gz	83539c7c0d641b1ce81822c9742b3395;115129fc063fe16193bc92766e539bf1	1828355328	9051264	WGS	PAIRED	Illumina HiSeq 2000
7002	SRR1945808	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945808/SRR1945808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945808/SRR1945808_2.fastq.gz	5b10c239056ad9a5e775a0094924715e;8fc3ce69f5f74f394a0d4ab2ee4f41e4	10393118968	51451084	WGS	PAIRED	Illumina HiSeq 2000
7003	SRR1945809	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945809/SRR1945809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945809/SRR1945809_2.fastq.gz	4ba3298e94f5f051694809a72a89ae56;1f12885f4d3951e84028e893964f42ff	2130633784	10547692	WGS	PAIRED	Illumina HiSeq 2000
7025	SRR1945813	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945813/SRR1945813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945813/SRR1945813_2.fastq.gz	21f0aa64c9bf600f207db50ab1b63e32;b1141de69081a58c5ea4e7a0c8e39d6e	2091903112	10355956	WGS	PAIRED	Illumina HiSeq 2000
7063	SRR1945822	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945822/SRR1945822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945822/SRR1945822_2.fastq.gz	c7acfe52a3ba3ca36e94cf0143106df2;12e26b251751f4d0b20d645e993bd74e	3154719444	30928622	WGS	PAIRED	Illumina Genome Analyzer II
7092	SRR1945830	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945830/SRR1945830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945830/SRR1945830_2.fastq.gz	471080c8790b6a46dce9df9f47aefd20;cae5953effc1eeb1f424ccd85e42f7e5	2278424054	11279327	WGS	PAIRED	Illumina HiSeq 2000
7127	SRR1945844	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945844/SRR1945844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945844/SRR1945844_2.fastq.gz	e944fa631ba5b2e15fce5802beaae8fb;5971bbc7fef732cee8635bee1bd58f9b	2104640424	10419012	WGS	PAIRED	Illumina HiSeq 2000
7143	SRR1945848	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945848/SRR1945848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945848/SRR1945848_2.fastq.gz	b8630025a411cb84344643dace4f7f69;8b21fef341dd9df6362477a971a9771e	3914079866	19376633	WGS	PAIRED	Illumina HiSeq 2000
7164	SRR1945855	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945855/SRR1945855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945855/SRR1945855_2.fastq.gz	a7dfd700ef0ce0c43c4375d4377c5ec5;d2b30a8bef33391ee5d009d4e1af3fa8	1965403844	9729722	WGS	PAIRED	Illumina HiSeq 2000
7186	SRR1945861	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945861/SRR1945861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945861/SRR1945861_2.fastq.gz	e3cc15707b2a1d3cf76d6318c0b236cc;eb5decd70070c54796c85a1c4deb6e11	2942793126	28850913	WGS	PAIRED	Illumina Genome Analyzer II
7217	SRR1945870	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945870/SRR1945870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945870/SRR1945870_2.fastq.gz	0a416542836607e1bad66d8adb9a7cc1;d6e7031fa1e8b2dfbcfc4c7582f83ec1	2302075426	11396413	WGS	PAIRED	Illumina HiSeq 2000
7255	SRR1945878	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945878/SRR1945878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945878/SRR1945878_2.fastq.gz	45df20097427857e5a9aff3a6ad604a1;c644815517dbf3eba1b9b07ff5edfcda	1833272614	9075607	WGS	PAIRED	Illumina HiSeq 2000
7288	SRR1945886	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945886/SRR1945886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945886/SRR1945886_2.fastq.gz	a1fded2e275fabee3c4c151286f7de9b;6194bc1eda6abc2e389f0cb313678473	3403790184	33370492	WGS	PAIRED	Illumina Genome Analyzer II
7298	SRR1945888	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945888/SRR1945888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945888/SRR1945888_2.fastq.gz	15b55bce8979759d7934a232a3810352;9f8ff567e43e47843a72d5869c2603d5	1923604186	9522793	WGS	PAIRED	Illumina HiSeq 2000
7316	SRR1945893	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945893/SRR1945893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945893/SRR1945893_2.fastq.gz	4aec20461ca87826b59e1cfef97b9bf7;c9d26a3f0cc6ab6528f86981486ecbcc	1942661876	9617138	WGS	PAIRED	Illumina HiSeq 2000
7323	SRR1945897	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945897/SRR1945897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945897/SRR1945897_2.fastq.gz	703631dd154d6e8d53a2ca1bc12fb712;a6aeb48d04c60c1c3af048325a363b55	3283937230	16257115	WGS	PAIRED	Illumina HiSeq 2000
7346	SRR1945906	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945906/SRR1945906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945906/SRR1945906_2.fastq.gz	c82fbc590f666cee179e7586de84d7fe;a5d648e6351f61e325419ce49cb6f782	2405283000	12026415	WGS	PAIRED	Illumina HiSeq 2000
7347	SRR1945907	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945907/SRR1945907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945907/SRR1945907_2.fastq.gz	b24a537b8d6e6782a9944019bc86d5be;f66634ef030de11f38b188814bdab256	2668531908	13210554	WGS	PAIRED	Illumina HiSeq 2000
7372	SRR1945915	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945915/SRR1945915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945915/SRR1945915_2.fastq.gz	84b411b66c363441d8fd31217e401ebe;413ffceba0a85dc1b8552e2df05983ec	3407897964	16870782	WGS	PAIRED	Illumina HiSeq 2000
7378	SRR1945918	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945918/SRR1945918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945918/SRR1945918_2.fastq.gz	26ab8d974e42d890df01f4df12c89e91;6dfdef5cbaccccf8ee00400cd6b2b114	1808595284	8953442	WGS	PAIRED	Illumina HiSeq 2000
7411	SRR1945926	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945926/SRR1945926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945926/SRR1945926_2.fastq.gz	a71fe02c1afc61244b45be6ef5717015;cae0ea6024b42e1b455bb19eb2aa6818	1928613180	9547590	WGS	PAIRED	Illumina HiSeq 2000
763	SRR1945463	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945463/SRR1945463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945463/SRR1945463_2.fastq.gz	f17cd7ffceeb922eec98aa822ebeeced;688cf6f0dcbc96914cd49e628ec1db38	3821593560	18918780	WGS	PAIRED	Illumina HiSeq 2000
765	SRR1945464	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945464/SRR1945464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945464/SRR1945464_2.fastq.gz	6fde3cd31e98cab859fd4fc79610b957;ee04cf9fd83684ea5c23fa0db4b2263c	1678179640	8307820	WGS	PAIRED	Illumina HiSeq 2000
766	SRR1945465	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945465/SRR1945465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945465/SRR1945465_2.fastq.gz	a7035580436d8a7102c267f0f2a6d207;4efa22725c284b5e65a44d7a59fae077	2059164164	10193882	WGS	PAIRED	Illumina HiSeq 2000
768	SRR1945466	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945466/SRR1945466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945466/SRR1945466_2.fastq.gz	a4c6009f7b5e9d2ff791a903c8534c79;0b9a6b7fb4993c9d08614f3c69812ca9	1910530948	9458074	WGS	PAIRED	Illumina HiSeq 2000
772	SRR1945467	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945467/SRR1945467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945467/SRR1945467_2.fastq.gz	d3aabe504db718882f1624163376b2e7;48518dc8d935d311c89ab0b066405caa	2765535540	13690770	WGS	PAIRED	Illumina HiSeq 2000
8214	SRR1945963	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945963/SRR1945963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945963/SRR1945963_2.fastq.gz	8d0fb074919e02aea86130a6318b63cb;7344861c7ca817196d1e5c699adb1245	1919583780	9502890	WGS	PAIRED	Illumina HiSeq 2000
8230	SRR1945966	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945966/SRR1945966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945966/SRR1945966_2.fastq.gz	3e56f0e0ec4a64286a5819a25b7ea4a1;555e63471c534f3bb9fa36f0ee7a397c	4276110664	28132307	WGS	PAIRED	Illumina Genome Analyzer IIx
8231	SRR1945967	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945967/SRR1945967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945967/SRR1945967_2.fastq.gz	9243647033f88aa2ee4567b02cdbf07a;28afe9e4e5db8b9a961f4eee3e066bda	3429045216	22559508	WGS	PAIRED	Illumina Genome Analyzer IIx
8247	SRR1945981	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945981/SRR1945981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945981/SRR1945981_2.fastq.gz	97ff63dd8f8ba46149afa67aae29d6ef;d7fc815f202f36f712e0ad15bf7f4943	2995030800	19704150	WGS	PAIRED	Illumina Genome Analyzer IIx
8249	SRR1945982	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945982/SRR1945982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945982/SRR1945982_2.fastq.gz	fc560ba37bed9bb51052f72d0df6f2b3;b1be6a6382b33e35bd1efdeb50778634	3376178096	22211698	WGS	PAIRED	Illumina Genome Analyzer IIx
8351	SRR1946001	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946001/SRR1946001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946001/SRR1946001_2.fastq.gz	e7484d5fa44d030ebebd9d65e6a030c9;480b186a55e4b832a2dba473b3bacf11	6989803800	34949019	WGS	PAIRED	Illumina Genome Analyzer IIx
8354	SRR1946002	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946002/SRR1946002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946002/SRR1946002_2.fastq.gz	c5d01f20785665cbdbabdaf37a16d84e;e9b1efa7d8ea3afea9f8a30af63d1e6c	2244413718	11110959	WGS	PAIRED	Illumina HiSeq 2000
8387	SRR1946009	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1946009/SRR1946009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1946009/SRR1946009_2.fastq.gz	d23e3d4984ca04f0974c7a3bb5db4b17;4ae0da5214e02da3a6cc37707b419c61	3195988328	21026239	WGS	PAIRED	Illumina Genome Analyzer IIx
9416	SRR1946088	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1946088/SRR1946088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1946088/SRR1946088_2.fastq.gz	e62ef8a435e8f77649324549d60c847e;7a3f862ba94abf6b0a30848dee5082b8	4179967624	27499787	WGS	PAIRED	Illumina HiSeq 2000
9470	SRR1946101	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946101/SRR1946101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946101/SRR1946101_2.fastq.gz	d97fc6fea9f6d8147f9e79e09c3e6ac1;f5efb270ea805473aa0f774443366e5c	6786588568	44648609	WGS	PAIRED	Illumina Genome Analyzer IIx
9506	SRR1946106	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946106/SRR1946106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946106/SRR1946106_2.fastq.gz	cd101aecfd65fb7bedc09577a3cc11f0;1e182152c4c9f9d181dc35fe1c4d1c06	4997339200	24986696	WGS	PAIRED	Illumina HiSeq 2000
9518	SRR1946117	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946117/SRR1946117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946117/SRR1946117_2.fastq.gz	a554b2533ca364e964146cee00407a92;511472ec9dff316644572e87f5967a8c	3570675200	17853376	WGS	PAIRED	Illumina HiSeq 2000
9537	SRR1946136	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946136/SRR1946136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946136/SRR1946136_2.fastq.gz	3ad47002cb23686678468b3994b4fa84;4fdd7d55ca771d03492c641ed4949fd1	3470751000	17353755	WGS	PAIRED	Illumina HiSeq 2000
9542	SRR1946140	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946140/SRR1946140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946140/SRR1946140_2.fastq.gz	517facb037d5343ab5ff13ffb4d25df7;94c12dbe8da6b76bed368a05fa38e183	3842588000	19212940	WGS	PAIRED	Illumina HiSeq 2000
9549	SRR1946147	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946147/SRR1946147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946147/SRR1946147_2.fastq.gz	122e7c669ea8110e522442f6b2f7e638;4cf0673a1d3264533cc19145360ad748	4628748600	23143743	WGS	PAIRED	Illumina HiSeq 2000
9555	SRR1946153	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1946153/SRR1946153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1946153/SRR1946153_2.fastq.gz	f1cbbb63420fd7944651250a58c5649c;0cfa7f202533c18e48f88971c998bc8a	4215930200	21079651	WGS	PAIRED	Illumina HiSeq 2000
9557	SRR1946155	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1946155/SRR1946155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1946155/SRR1946155_2.fastq.gz	0cc1a098526f2c25e24bbfbb227dbe21;8c9ddb04b12d01d5937056d4f16e9655	3435687800	17178439	WGS	PAIRED	Illumina HiSeq 2000
9559	SRR1946157	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946157/SRR1946157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946157/SRR1946157_2.fastq.gz	e7971cb5a2a9373a61a0bd4fae6e3b1b;c6816b552dae4a9057a9a8be29e9774d	3282817400	16414087	WGS	PAIRED	Illumina HiSeq 2000
9564	SRR1946161	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946161/SRR1946161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946161/SRR1946161_2.fastq.gz	52cf794925abe1411693a31a1f731764;afe6d3e8e40310097b6ba3033cb67bc7	3344152200	16720761	WGS	PAIRED	Illumina HiSeq 2000
9565	SRR1946162	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946162/SRR1946162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946162/SRR1946162_2.fastq.gz	b0a9dbcf608407e8ca33a4b46ae78dcf;8b33279781ed01c6a1a83d92d7d61156	3192509000	15962545	WGS	PAIRED	Illumina HiSeq 2000
9594	SRR1946186	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946186/SRR1946186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1946186/SRR1946186_2.fastq.gz	a344fae652a9df08554c492eb266839b;17a4704fa37599f198be5efb6dd76a73	3937913600	19689568	WGS	PAIRED	Illumina HiSeq 2000
9600	SRR1946192	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946192/SRR1946192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946192/SRR1946192_2.fastq.gz	4c46bd8e4f9aec0df33fd4eb7c172e76;ec11d3eaa6df7bcd6a8eeb22a676b308	4656105800	23280529	WGS	PAIRED	Illumina HiSeq 2000
