blockdef,model,cls,target,fit,band,band_lo,band_hi,rmse
clq0.9 tile,kendall,snp,sd,isotonic,0.00-0.50,2,12,0.18181551876814359
clq0.9 tile,kendall,snp,sd,isotonic,0.50-0.90,12,70,0.36292837890570995
clq0.9 tile,kendall,snp,sd,isotonic,0.90-0.99,70,371,0.8066661944649642
clq0.9 tile,kendall,snp,sd,isotonic,0.99-1.00,371,3171,2.0319061028123704
clq0.9 tile,kendall,snp,mean,deg2_clamp,0.00-0.50,2,12,0.22959796153406803
clq0.9 tile,kendall,snp,mean,deg2_clamp,0.50-0.90,12,70,0.40824665683753175
clq0.9 tile,kendall,snp,mean,deg2_clamp,0.90-0.99,70,371,0.8492368403641631
clq0.9 tile,kendall,snp,mean,deg2_clamp,0.99-1.00,371,3171,1.194051515619684
clq0.9 tile,kendall,snp,mean,deg5_clamp,0.00-0.50,2,12,0.22947796184808156
clq0.9 tile,kendall,snp,mean,deg5_clamp,0.50-0.90,12,70,0.4060956531758405
clq0.9 tile,kendall,snp,mean,deg5_clamp,0.90-0.99,70,371,0.8545485416683618
clq0.9 tile,kendall,snp,mean,deg5_clamp,0.99-1.00,371,3171,1.322924351742159
clq0.9 tile,kendall,snp,mean,deg7_clamp,0.00-0.50,2,12,0.22877967475253863
clq0.9 tile,kendall,snp,mean,deg7_clamp,0.50-0.90,12,70,0.4043287509991263
clq0.9 tile,kendall,snp,mean,deg7_clamp,0.90-0.99,70,371,0.8515746305058947
clq0.9 tile,kendall,snp,mean,deg7_clamp,0.99-1.00,371,3171,1.3953033811163376
clq0.9 tile,kendall,snp,mean,deg10_clamp,0.00-0.50,2,12,0.2288760590936282
clq0.9 tile,kendall,snp,mean,deg10_clamp,0.50-0.90,12,70,0.404362701384016
clq0.9 tile,kendall,snp,mean,deg10_clamp,0.90-0.99,70,371,0.8547260400361789
clq0.9 tile,kendall,snp,mean,deg10_clamp,0.99-1.00,371,3171,1.413858583723096
clq0.9 tile,kendall,snp,mean,deg15_clamp,0.00-0.50,2,12,0.22947566313914575
clq0.9 tile,kendall,snp,mean,deg15_clamp,0.50-0.90,12,70,0.4055254876702906
clq0.9 tile,kendall,snp,mean,deg15_clamp,0.90-0.99,70,371,0.8753430992314
clq0.9 tile,kendall,snp,mean,deg15_clamp,0.99-1.00,371,3171,24.31197320708131
clq0.9 tile,kendall,snp,mean,deg20_clamp,0.00-0.50,2,12,0.22950580728522776
clq0.9 tile,kendall,snp,mean,deg20_clamp,0.50-0.90,12,70,0.4054895274355972
clq0.9 tile,kendall,snp,mean,deg20_clamp,0.90-0.99,70,371,0.882078719408247
clq0.9 tile,kendall,snp,mean,deg20_clamp,0.99-1.00,371,3171,106.75712625307327
clq0.9 tile,kendall,snp,mean,deg2,0.00-0.50,2,12,0.22959796153406803
clq0.9 tile,kendall,snp,mean,deg2,0.50-0.90,12,70,0.40824665683753175
clq0.9 tile,kendall,snp,mean,deg2,0.90-0.99,70,371,0.8492368403641631
clq0.9 tile,kendall,snp,mean,deg2,0.99-1.00,371,3171,1.1981249947682548
clq0.9 tile,kendall,snp,mean,deg7,0.00-0.50,2,12,0.22877967475253863
clq0.9 tile,kendall,snp,mean,deg7,0.50-0.90,12,70,0.4043287509991263
clq0.9 tile,kendall,snp,mean,deg7,0.90-0.99,70,371,0.8515746305058947
clq0.9 tile,kendall,snp,mean,deg7,0.99-1.00,371,3171,16.344069021435754
clq0.9 tile,kendall,snp,mean,isotonic_auto,0.00-0.50,2,12,0.2297102113526544
clq0.9 tile,kendall,snp,mean,isotonic_auto,0.50-0.90,12,70,0.4055023990730525
clq0.9 tile,kendall,snp,mean,isotonic_auto,0.90-0.99,70,371,0.8487907772615566
clq0.9 tile,kendall,snp,mean,isotonic_auto,0.99-1.00,371,3171,1.3468179549145847
clq0.9 tile,kendall,snp,mean,const,0.00-0.50,2,12,0.23234782039757923
clq0.9 tile,kendall,snp,mean,const,0.50-0.90,12,70,0.40828379658905795
clq0.9 tile,kendall,snp,mean,const,0.90-0.99,70,371,0.8355765028829516
clq0.9 tile,kendall,snp,mean,const,0.99-1.00,371,3171,1.3692082765650988
clq0.9 tile,kendall,snp,mean,interp,0.00-0.50,2,12,0.3247652135543636
clq0.9 tile,kendall,snp,mean,interp,0.50-0.90,12,70,0.576312537928171
clq0.9 tile,kendall,snp,mean,interp,0.90-0.99,70,371,1.1677060865692692
clq0.9 tile,kendall,snp,mean,interp,0.99-1.00,371,3171,1.6121515112560671
clq0.9 tile,kendall,sv,sd,deg2_clamp,0.00-0.50,2,4,0.10848456494678649
clq0.9 tile,kendall,sv,sd,deg2_clamp,0.50-0.90,4,11,0.12660068544706587
clq0.9 tile,kendall,sv,sd,deg2_clamp,0.90-0.99,11,26,0.1366042337807764
clq0.9 tile,kendall,sv,sd,deg2_clamp,0.99-1.00,26,62,0.16113733473625258
clq0.9 tile,kendall,sv,sd,deg5_clamp,0.00-0.50,2,4,0.10980942501036646
clq0.9 tile,kendall,sv,sd,deg5_clamp,0.50-0.90,4,11,0.1280219371112026
clq0.9 tile,kendall,sv,sd,deg5_clamp,0.90-0.99,11,26,0.14180895011069652
clq0.9 tile,kendall,sv,sd,deg5_clamp,0.99-1.00,26,62,0.16644052006117963
clq0.9 tile,kendall,sv,sd,deg7_clamp,0.00-0.50,2,4,0.11096788124344688
clq0.9 tile,kendall,sv,sd,deg7_clamp,0.50-0.90,4,11,0.13027979163901132
clq0.9 tile,kendall,sv,sd,deg7_clamp,0.90-0.99,11,26,0.14423029638139245
clq0.9 tile,kendall,sv,sd,deg7_clamp,0.99-1.00,26,62,0.18285824258465694
clq0.9 tile,kendall,sv,sd,deg10_clamp,0.00-0.50,2,4,0.11445438365914455
clq0.9 tile,kendall,sv,sd,deg10_clamp,0.50-0.90,4,11,0.1329926492253193
clq0.9 tile,kendall,sv,sd,deg10_clamp,0.90-0.99,11,26,0.14702214937539776
clq0.9 tile,kendall,sv,sd,deg10_clamp,0.99-1.00,26,62,0.2119379835357178
clq0.9 tile,kendall,sv,sd,deg15_clamp,0.00-0.50,2,4,0.1144600263328484
clq0.9 tile,kendall,sv,sd,deg15_clamp,0.50-0.90,4,11,0.13612211213298803
clq0.9 tile,kendall,sv,sd,deg15_clamp,0.90-0.99,11,26,0.15202004929272098
clq0.9 tile,kendall,sv,sd,deg15_clamp,0.99-1.00,26,62,9.00465244552291
clq0.9 tile,kendall,sv,sd,deg20_clamp,0.00-0.50,2,4,0.11426546338716588
clq0.9 tile,kendall,sv,sd,deg20_clamp,0.50-0.90,4,11,0.13769631031195395
clq0.9 tile,kendall,sv,sd,deg20_clamp,0.90-0.99,11,26,0.15638365942261323
clq0.9 tile,kendall,sv,sd,deg20_clamp,0.99-1.00,26,62,170.3801075090944
clq0.9 tile,kendall,sv,sd,deg2,0.00-0.50,2,4,0.10848456494678649
clq0.9 tile,kendall,sv,sd,deg2,0.50-0.90,4,11,0.12660068544706587
clq0.9 tile,kendall,sv,sd,deg2,0.90-0.99,11,26,0.1366042337807764
clq0.9 tile,kendall,sv,sd,deg2,0.99-1.00,26,62,0.18747420343960153
clq0.9 tile,kendall,sv,sd,deg7,0.00-0.50,2,4,0.11096788124344688
clq0.9 tile,kendall,sv,sd,deg7,0.50-0.90,4,11,0.13027979163901132
clq0.9 tile,kendall,sv,sd,deg7,0.90-0.99,11,26,0.14423029638139245
clq0.9 tile,kendall,sv,sd,deg7,0.99-1.00,26,62,13.150384331829812
clq0.9 tile,kendall,sv,sd,isotonic,0.00-0.50,2,4,0.11222274685126125
clq0.9 tile,kendall,sv,sd,isotonic,0.50-0.90,4,11,0.13207060068231716
clq0.9 tile,kendall,sv,sd,isotonic,0.90-0.99,11,26,0.1386590683327323
clq0.9 tile,kendall,sv,sd,isotonic,0.99-1.00,26,62,0.16107706396794802
clq0.9 tile,kendall,sv,mean,deg2_clamp,0.00-0.50,2,4,0.1507329677335231
clq0.9 tile,kendall,sv,mean,deg2_clamp,0.50-0.90,4,11,0.1676662684620826
clq0.9 tile,kendall,sv,mean,deg2_clamp,0.90-0.99,11,26,0.2197094003469619
clq0.9 tile,kendall,sv,mean,deg2_clamp,0.99-1.00,26,62,0.2990117008008143
clq0.9 tile,kendall,sv,mean,deg5_clamp,0.00-0.50,2,4,0.15445619932302318
clq0.9 tile,kendall,sv,mean,deg5_clamp,0.50-0.90,4,11,0.16858735952834775
clq0.9 tile,kendall,sv,mean,deg5_clamp,0.90-0.99,11,26,0.23156625720147783
clq0.9 tile,kendall,sv,mean,deg5_clamp,0.99-1.00,26,62,0.29550150258113383
clq0.9 tile,kendall,sv,mean,deg7_clamp,0.00-0.50,2,4,0.15483336041716828
clq0.9 tile,kendall,sv,mean,deg7_clamp,0.50-0.90,4,11,0.17016527863881883
clq0.9 tile,kendall,sv,mean,deg7_clamp,0.90-0.99,11,26,0.23652136663498932
clq0.9 tile,kendall,sv,mean,deg7_clamp,0.99-1.00,26,62,0.2767011837179934
clq0.9 tile,kendall,sv,mean,deg10_clamp,0.00-0.50,2,4,0.1550351281346249
clq0.9 tile,kendall,sv,mean,deg10_clamp,0.50-0.90,4,11,0.1722344199069194
clq0.9 tile,kendall,sv,mean,deg10_clamp,0.90-0.99,11,26,0.2499898797385011
clq0.9 tile,kendall,sv,mean,deg10_clamp,0.99-1.00,26,62,0.35312366026277686
clq0.9 tile,kendall,sv,mean,deg15_clamp,0.00-0.50,2,4,0.15835368028420277
clq0.9 tile,kendall,sv,mean,deg15_clamp,0.50-0.90,4,11,0.17901999433978644
clq0.9 tile,kendall,sv,mean,deg15_clamp,0.90-0.99,11,26,0.26726320234803996
clq0.9 tile,kendall,sv,mean,deg15_clamp,0.99-1.00,26,62,8.826790373386277
clq0.9 tile,kendall,sv,mean,deg20_clamp,0.00-0.50,2,4,0.1571087816992969
clq0.9 tile,kendall,sv,mean,deg20_clamp,0.50-0.90,4,11,0.1811826312035266
clq0.9 tile,kendall,sv,mean,deg20_clamp,0.90-0.99,11,26,0.27239058616080053
clq0.9 tile,kendall,sv,mean,deg20_clamp,0.99-1.00,26,62,263.9643060237612
clq0.9 tile,kendall,sv,mean,deg2,0.00-0.50,2,4,0.1507329677335231
clq0.9 tile,kendall,sv,mean,deg2,0.50-0.90,4,11,0.1676662684620826
clq0.9 tile,kendall,sv,mean,deg2,0.90-0.99,11,26,0.2197094003469619
clq0.9 tile,kendall,sv,mean,deg2,0.99-1.00,26,62,0.3265774169988481
clq0.9 tile,kendall,sv,mean,deg7,0.00-0.50,2,4,0.15483336041716828
clq0.9 tile,kendall,sv,mean,deg7,0.50-0.90,4,11,0.17016527863881883
clq0.9 tile,kendall,sv,mean,deg7,0.90-0.99,11,26,0.23652136663498932
clq0.9 tile,kendall,sv,mean,deg7,0.99-1.00,26,62,36.641727288992165
clq0.9 tile,kendall,sv,mean,isotonic_auto,0.00-0.50,2,4,0.15374733313494
clq0.9 tile,kendall,sv,mean,isotonic_auto,0.50-0.90,4,11,0.1676276974933441
clq0.9 tile,kendall,sv,mean,isotonic_auto,0.90-0.99,11,26,0.24444847453896604
clq0.9 tile,kendall,sv,mean,isotonic_auto,0.99-1.00,26,62,0.30234222801530597
clq0.9 tile,kendall,sv,mean,const,0.00-0.50,2,4,0.14858239034709825
clq0.9 tile,kendall,sv,mean,const,0.50-0.90,4,11,0.16587956806851348
clq0.9 tile,kendall,sv,mean,const,0.90-0.99,11,26,0.19117559081877308
clq0.9 tile,kendall,sv,mean,const,0.99-1.00,26,62,0.17195478553892002
clq0.9 tile,kendall,sv,mean,interp,0.00-0.50,2,4,0.19520014488679666
clq0.9 tile,kendall,sv,mean,interp,0.50-0.90,4,11,0.2229423666763887
clq0.9 tile,kendall,sv,mean,interp,0.90-0.99,11,26,0.29901074915514264
clq0.9 tile,kendall,sv,mean,interp,0.99-1.00,26,62,0.2634807795547802
clq0.9 tile,kendall,smallindel,sd,deg2_clamp,0.00-0.50,2,7,0.17022308112788123
clq0.9 tile,kendall,smallindel,sd,deg2_clamp,0.50-0.90,7,34,0.2608817616964374
clq0.9 tile,kendall,smallindel,sd,deg2_clamp,0.90-0.99,34,136,0.49669268484424345
clq0.9 tile,kendall,smallindel,sd,deg2_clamp,0.99-1.00,136,719,1.329080314779149
clq0.9 tile,kendall,smallindel,sd,deg5_clamp,0.00-0.50,2,7,0.14662835551499676
clq0.9 tile,kendall,smallindel,sd,deg5_clamp,0.50-0.90,7,34,0.24348397508435063
clq0.9 tile,kendall,smallindel,sd,deg5_clamp,0.90-0.99,34,136,0.47996703182354156
clq0.9 tile,kendall,smallindel,sd,deg5_clamp,0.99-1.00,136,719,1.3691731798885682
clq0.9 tile,kendall,smallindel,sd,deg7_clamp,0.00-0.50,2,7,0.14549605820708805
clq0.9 tile,kendall,smallindel,sd,deg7_clamp,0.50-0.90,7,34,0.24312738182557841
clq0.9 tile,kendall,smallindel,sd,deg7_clamp,0.90-0.99,34,136,0.479325492637367
clq0.9 tile,kendall,smallindel,sd,deg7_clamp,0.99-1.00,136,719,1.428200083302499
clq0.9 tile,kendall,smallindel,sd,deg10_clamp,0.00-0.50,2,7,0.14511095079048625
clq0.9 tile,kendall,smallindel,sd,deg10_clamp,0.50-0.90,7,34,0.24320301647205586
clq0.9 tile,kendall,smallindel,sd,deg10_clamp,0.90-0.99,34,136,0.4862803554333374
clq0.9 tile,kendall,smallindel,sd,deg10_clamp,0.99-1.00,136,719,1.4632383169471743
clq0.9 tile,kendall,smallindel,sd,deg15_clamp,0.00-0.50,2,7,0.14504859758570862
clq0.9 tile,kendall,smallindel,sd,deg15_clamp,0.50-0.90,7,34,0.2439959743422341
clq0.9 tile,kendall,smallindel,sd,deg15_clamp,0.90-0.99,34,136,0.48374489081156885
clq0.9 tile,kendall,smallindel,sd,deg15_clamp,0.99-1.00,136,719,1.7361887246456458
clq0.9 tile,kendall,smallindel,sd,deg20_clamp,0.00-0.50,2,7,0.144876910867912
clq0.9 tile,kendall,smallindel,sd,deg20_clamp,0.50-0.90,7,34,0.24405885824689982
clq0.9 tile,kendall,smallindel,sd,deg20_clamp,0.90-0.99,34,136,0.48505630135733335
clq0.9 tile,kendall,smallindel,sd,deg20_clamp,0.99-1.00,136,719,4.846188263031176
clq0.9 tile,kendall,smallindel,sd,deg2,0.00-0.50,2,7,0.17022308112788123
clq0.9 tile,kendall,smallindel,sd,deg2,0.50-0.90,7,34,0.2608817616964374
clq0.9 tile,kendall,smallindel,sd,deg2,0.90-0.99,34,136,0.49669268484424345
clq0.9 tile,kendall,smallindel,sd,deg2,0.99-1.00,136,719,1.4081859968317068
clq0.9 tile,kendall,smallindel,sd,deg7,0.00-0.50,2,7,0.14549605820708805
clq0.9 tile,kendall,smallindel,sd,deg7,0.50-0.90,7,34,0.24312738182557841
clq0.9 tile,kendall,smallindel,sd,deg7,0.90-0.99,34,136,0.479325492637367
clq0.9 tile,kendall,smallindel,sd,deg7,0.99-1.00,136,719,2.643397910288809
clq0.9 tile,kendall,smallindel,sd,isotonic,0.00-0.50,2,7,0.14717279843434067
clq0.9 tile,kendall,smallindel,sd,isotonic,0.50-0.90,7,34,0.25016040181413707
clq0.9 tile,kendall,smallindel,sd,isotonic,0.90-0.99,34,136,0.5110634931377182
clq0.9 tile,kendall,smallindel,sd,isotonic,0.99-1.00,136,719,1.3615398098620841
clq0.9 tile,kendall,smallindel,mean,deg2_clamp,0.00-0.50,2,7,0.18994944928671043
clq0.9 tile,kendall,smallindel,mean,deg2_clamp,0.50-0.90,7,34,0.28757643761356727
clq0.9 tile,kendall,smallindel,mean,deg2_clamp,0.90-0.99,34,136,0.5506008766193426
clq0.9 tile,kendall,smallindel,mean,deg2_clamp,0.99-1.00,136,719,1.0406750300788297
clq0.9 tile,kendall,smallindel,mean,deg5_clamp,0.00-0.50,2,7,0.1868640030890522
clq0.9 tile,kendall,smallindel,mean,deg5_clamp,0.50-0.90,7,34,0.2889689062720283
clq0.9 tile,kendall,smallindel,mean,deg5_clamp,0.90-0.99,34,136,0.5414437344091495
clq0.9 tile,kendall,smallindel,mean,deg5_clamp,0.99-1.00,136,719,1.1556567565272324
clq0.9 tile,kendall,smallindel,mean,deg7_clamp,0.00-0.50,2,7,0.18695385182374685
clq0.9 tile,kendall,smallindel,mean,deg7_clamp,0.50-0.90,7,34,0.28895773985709744
clq0.9 tile,kendall,smallindel,mean,deg7_clamp,0.90-0.99,34,136,0.5430447060993702
clq0.9 tile,kendall,smallindel,mean,deg7_clamp,0.99-1.00,136,719,1.2016514763155077
clq0.9 tile,kendall,smallindel,mean,deg10_clamp,0.00-0.50,2,7,0.18724278208807388
clq0.9 tile,kendall,smallindel,mean,deg10_clamp,0.50-0.90,7,34,0.28800659393441813
clq0.9 tile,kendall,smallindel,mean,deg10_clamp,0.90-0.99,34,136,0.5475646518130848
clq0.9 tile,kendall,smallindel,mean,deg10_clamp,0.99-1.00,136,719,1.2423192043250706
clq0.9 tile,kendall,smallindel,mean,deg15_clamp,0.00-0.50,2,7,0.1891070676208116
clq0.9 tile,kendall,smallindel,mean,deg15_clamp,0.50-0.90,7,34,0.2886511441135879
clq0.9 tile,kendall,smallindel,mean,deg15_clamp,0.90-0.99,34,136,0.5372039578658179
clq0.9 tile,kendall,smallindel,mean,deg15_clamp,0.99-1.00,136,719,1.9575073578912838
clq0.9 tile,kendall,smallindel,mean,deg20_clamp,0.00-0.50,2,7,0.18960683744816925
clq0.9 tile,kendall,smallindel,mean,deg20_clamp,0.50-0.90,7,34,0.2887830163191388
clq0.9 tile,kendall,smallindel,mean,deg20_clamp,0.90-0.99,34,136,0.5336142543406739
clq0.9 tile,kendall,smallindel,mean,deg20_clamp,0.99-1.00,136,719,7.585366765858767
clq0.9 tile,kendall,smallindel,mean,deg2,0.00-0.50,2,7,0.18994944928671043
clq0.9 tile,kendall,smallindel,mean,deg2,0.50-0.90,7,34,0.28757643761356727
clq0.9 tile,kendall,smallindel,mean,deg2,0.90-0.99,34,136,0.5506008766193426
clq0.9 tile,kendall,smallindel,mean,deg2,0.99-1.00,136,719,1.0519153706872353
clq0.9 tile,kendall,smallindel,mean,deg7,0.00-0.50,2,7,0.18695385182374685
clq0.9 tile,kendall,smallindel,mean,deg7,0.50-0.90,7,34,0.28895773985709744
clq0.9 tile,kendall,smallindel,mean,deg7,0.90-0.99,34,136,0.5430447060993702
clq0.9 tile,kendall,smallindel,mean,deg7,0.99-1.00,136,719,2.1525281582285456
clq0.9 tile,kendall,smallindel,mean,isotonic_auto,0.00-0.50,2,7,0.18834178731345913
clq0.9 tile,kendall,smallindel,mean,isotonic_auto,0.50-0.90,7,34,0.2871492601960265
clq0.9 tile,kendall,smallindel,mean,isotonic_auto,0.90-0.99,34,136,0.5462204649993541
clq0.9 tile,kendall,smallindel,mean,isotonic_auto,0.99-1.00,136,719,1.0306570979499545
clq0.9 tile,kendall,smallindel,mean,const,0.00-0.50,2,7,0.19209024715405154
clq0.9 tile,kendall,smallindel,mean,const,0.50-0.90,7,34,0.28787242731479157
clq0.9 tile,kendall,smallindel,mean,const,0.90-0.99,34,136,0.5473025677393044
clq0.9 tile,kendall,smallindel,mean,const,0.99-1.00,136,719,0.8548731873182016
clq0.9 tile,kendall,smallindel,mean,interp,0.00-0.50,2,7,0.2533601822507012
clq0.9 tile,kendall,smallindel,mean,interp,0.50-0.90,7,34,0.410309967531073
clq0.9 tile,kendall,smallindel,mean,interp,0.90-0.99,34,136,0.7317475140236164
clq0.9 tile,kendall,smallindel,mean,interp,0.99-1.00,136,719,1.394173409031187
clq0.9 tile,kendall,nonsnp,sd,deg2_clamp,0.00-0.50,2,7,0.17364090828691106
clq0.9 tile,kendall,nonsnp,sd,deg2_clamp,0.50-0.90,7,35,0.2595262375380063
clq0.9 tile,kendall,nonsnp,sd,deg2_clamp,0.90-0.99,35,144,0.49260481154406477
clq0.9 tile,kendall,nonsnp,sd,deg2_clamp,0.99-1.00,144,773,1.4146880732286418
clq0.9 tile,kendall,nonsnp,sd,deg5_clamp,0.00-0.50,2,7,0.1440757257097084
clq0.9 tile,kendall,nonsnp,sd,deg5_clamp,0.50-0.90,7,35,0.24315855032450848
clq0.9 tile,kendall,nonsnp,sd,deg5_clamp,0.90-0.99,35,144,0.448896472446349
clq0.9 tile,kendall,nonsnp,sd,deg5_clamp,0.99-1.00,144,773,1.3313977437326043
clq0.9 tile,kendall,nonsnp,sd,deg7_clamp,0.00-0.50,2,7,0.14193734115267867
clq0.9 tile,kendall,nonsnp,sd,deg7_clamp,0.50-0.90,7,35,0.2431487270553681
clq0.9 tile,kendall,nonsnp,sd,deg7_clamp,0.90-0.99,35,144,0.4516940765073569
clq0.9 tile,kendall,nonsnp,sd,deg7_clamp,0.99-1.00,144,773,1.3684531320145688
clq0.9 tile,kendall,nonsnp,sd,deg10_clamp,0.00-0.50,2,7,0.1413777701730718
clq0.9 tile,kendall,nonsnp,sd,deg10_clamp,0.50-0.90,7,35,0.24305981564618007
clq0.9 tile,kendall,nonsnp,sd,deg10_clamp,0.90-0.99,35,144,0.46118578370907437
clq0.9 tile,kendall,nonsnp,sd,deg10_clamp,0.99-1.00,144,773,1.4478172633736337
clq0.9 tile,kendall,nonsnp,sd,deg15_clamp,0.00-0.50,2,7,0.14172002077285606
clq0.9 tile,kendall,nonsnp,sd,deg15_clamp,0.50-0.90,7,35,0.2452951671100027
clq0.9 tile,kendall,nonsnp,sd,deg15_clamp,0.90-0.99,35,144,0.4716001467205328
clq0.9 tile,kendall,nonsnp,sd,deg15_clamp,0.99-1.00,144,773,5.231804253052911
clq0.9 tile,kendall,nonsnp,sd,deg20_clamp,0.00-0.50,2,7,0.1414623692488359
clq0.9 tile,kendall,nonsnp,sd,deg20_clamp,0.50-0.90,7,35,0.24511967877328314
clq0.9 tile,kendall,nonsnp,sd,deg20_clamp,0.90-0.99,35,144,0.4770766176225563
clq0.9 tile,kendall,nonsnp,sd,deg20_clamp,0.99-1.00,144,773,38.75295292374348
clq0.9 tile,kendall,nonsnp,sd,deg2,0.00-0.50,2,7,0.17364090828691106
clq0.9 tile,kendall,nonsnp,sd,deg2,0.50-0.90,7,35,0.2595262375380063
clq0.9 tile,kendall,nonsnp,sd,deg2,0.90-0.99,35,144,0.49260481154406477
clq0.9 tile,kendall,nonsnp,sd,deg2,0.99-1.00,144,773,1.4373675625367919
clq0.9 tile,kendall,nonsnp,sd,deg7,0.00-0.50,2,7,0.14193734115267867
clq0.9 tile,kendall,nonsnp,sd,deg7,0.50-0.90,7,35,0.2431487270553681
clq0.9 tile,kendall,nonsnp,sd,deg7,0.90-0.99,35,144,0.4516940765073569
clq0.9 tile,kendall,nonsnp,sd,deg7,0.99-1.00,144,773,1.430970350867406
clq0.9 tile,kendall,nonsnp,sd,isotonic,0.00-0.50,2,7,0.14284362028444092
clq0.9 tile,kendall,nonsnp,sd,isotonic,0.50-0.90,7,35,0.25228283920253636
clq0.9 tile,kendall,nonsnp,sd,isotonic,0.90-0.99,35,144,0.49323017605506647
clq0.9 tile,kendall,nonsnp,sd,isotonic,0.99-1.00,144,773,1.3800205608422622
clq0.9 tile,kendall,nonsnp,mean,deg2_clamp,0.00-0.50,2,7,0.19234638584742259
clq0.9 tile,kendall,nonsnp,mean,deg2_clamp,0.50-0.90,7,35,0.2952020339261106
clq0.9 tile,kendall,nonsnp,mean,deg2_clamp,0.90-0.99,35,144,0.5745859650120372
clq0.9 tile,kendall,nonsnp,mean,deg2_clamp,0.99-1.00,144,773,1.161668437187173
clq0.9 tile,kendall,nonsnp,mean,deg5_clamp,0.00-0.50,2,7,0.18910274682294187
clq0.9 tile,kendall,nonsnp,mean,deg5_clamp,0.50-0.90,7,35,0.2930626167965301
clq0.9 tile,kendall,nonsnp,mean,deg5_clamp,0.90-0.99,35,144,0.5672187634298878
clq0.9 tile,kendall,nonsnp,mean,deg5_clamp,0.99-1.00,144,773,1.131082311397118
clq0.9 tile,kendall,nonsnp,mean,deg7_clamp,0.00-0.50,2,7,0.18937222635902473
clq0.9 tile,kendall,nonsnp,mean,deg7_clamp,0.50-0.90,7,35,0.2935103366152133
clq0.9 tile,kendall,nonsnp,mean,deg7_clamp,0.90-0.99,35,144,0.5674428005463019
clq0.9 tile,kendall,nonsnp,mean,deg7_clamp,0.99-1.00,144,773,1.1510992278478507
clq0.9 tile,kendall,nonsnp,mean,deg10_clamp,0.00-0.50,2,7,0.1886622462382359
clq0.9 tile,kendall,nonsnp,mean,deg10_clamp,0.50-0.90,7,35,0.2929659485235214
clq0.9 tile,kendall,nonsnp,mean,deg10_clamp,0.90-0.99,35,144,0.5731143487944379
clq0.9 tile,kendall,nonsnp,mean,deg10_clamp,0.99-1.00,144,773,1.2511783099683762
