cls,level,regime,rep,blocks,support_to,p0,nan,bonf,fdr,bonf_past_support,n_past_support
smallindel,site,oldprod_cap,19,41731,545.2,0,0,17,78,0,23
smallindel,site,proposed_nocap,19,41731,719.06,0,0,17,62,0,14
smallindel,site,proposed_cap,19,41731,545.2,0,0,17,62,0,23
nonsnp,site,upstream_nocap,0,41908,773.38,0,16,13,92,0,14
nonsnp,site,oldprod_cap,0,41908,565.12,0,0,8,50,0,22
nonsnp,site,proposed_nocap,0,41908,773.38,0,0,8,45,0,14
nonsnp,site,proposed_cap,0,41908,565.12,0,0,8,45,0,22
nonsnp,site,upstream_nocap,1,41908,773.38,0,16,13,68,0,14
nonsnp,site,oldprod_cap,1,41908,565.12,0,0,8,37,0,22
nonsnp,site,proposed_nocap,1,41908,773.38,0,0,7,49,0,14
nonsnp,site,proposed_cap,1,41908,565.12,0,0,7,43,0,22
nonsnp,site,upstream_nocap,2,41908,773.38,0,15,20,82,0,14
nonsnp,site,oldprod_cap,2,41908,565.12,0,0,11,60,0,22
nonsnp,site,proposed_nocap,2,41908,773.38,0,0,11,57,0,14
nonsnp,site,proposed_cap,2,41908,565.12,0,0,11,57,0,22
nonsnp,site,upstream_nocap,3,41908,773.38,0,16,11,57,0,14
nonsnp,site,oldprod_cap,3,41908,565.12,0,0,10,36,0,22
nonsnp,site,proposed_nocap,3,41908,773.38,0,0,9,32,0,14
nonsnp,site,proposed_cap,3,41908,565.12,0,0,9,32,0,22
nonsnp,site,upstream_nocap,4,41908,773.38,0,15,10,72,0,14
nonsnp,site,oldprod_cap,4,41908,565.12,0,0,9,48,0,22
nonsnp,site,proposed_nocap,4,41908,773.38,0,0,7,46,0,14
nonsnp,site,proposed_cap,4,41908,565.12,0,0,7,46,0,22
nonsnp,site,upstream_nocap,5,41908,773.38,1,15,11,51,0,14
nonsnp,site,oldprod_cap,5,41908,565.12,0,0,5,36,0,22
nonsnp,site,proposed_nocap,5,41908,773.38,0,0,6,32,0,14
nonsnp,site,proposed_cap,5,41908,565.12,0,0,6,32,0,22
nonsnp,site,upstream_nocap,6,41908,773.38,1,16,18,102,0,14
nonsnp,site,oldprod_cap,6,41908,565.12,0,0,11,77,0,22
nonsnp,site,proposed_nocap,6,41908,773.38,0,0,9,72,0,14
nonsnp,site,proposed_cap,6,41908,565.12,0,0,9,72,0,22
nonsnp,site,upstream_nocap,7,41908,773.38,0,16,15,87,0,14
nonsnp,site,oldprod_cap,7,41908,565.12,0,0,9,46,0,22
nonsnp,site,proposed_nocap,7,41908,773.38,0,0,11,56,0,14
nonsnp,site,proposed_cap,7,41908,565.12,0,0,11,56,0,22
nonsnp,site,upstream_nocap,8,41908,773.38,0,15,21,103,0,14
nonsnp,site,oldprod_cap,8,41908,565.12,0,0,12,75,0,22
nonsnp,site,proposed_nocap,8,41908,773.38,0,0,13,69,0,14
nonsnp,site,proposed_cap,8,41908,565.12,0,0,13,69,0,22
nonsnp,site,upstream_nocap,9,41908,773.38,0,16,11,79,0,14
nonsnp,site,oldprod_cap,9,41908,565.12,0,0,6,42,0,22
nonsnp,site,proposed_nocap,9,41908,773.38,0,0,6,37,0,14
nonsnp,site,proposed_cap,9,41908,565.12,0,0,6,37,0,22
nonsnp,site,upstream_nocap,10,41908,773.38,0,17,15,66,0,14
nonsnp,site,oldprod_cap,10,41908,565.12,0,0,8,40,0,22
nonsnp,site,proposed_nocap,10,41908,773.38,0,0,4,48,0,14
nonsnp,site,proposed_cap,10,41908,565.12,0,0,4,48,0,22
nonsnp,site,upstream_nocap,11,41908,773.38,0,18,11,76,0,14
nonsnp,site,oldprod_cap,11,41908,565.12,0,0,3,41,0,22
nonsnp,site,proposed_nocap,11,41908,773.38,0,0,3,40,0,14
nonsnp,site,proposed_cap,11,41908,565.12,0,0,3,40,0,22
nonsnp,site,upstream_nocap,12,41908,773.38,0,16,7,54,0,14
nonsnp,site,oldprod_cap,12,41908,565.12,0,0,5,36,0,22
nonsnp,site,proposed_nocap,12,41908,773.38,0,0,5,31,0,14
nonsnp,site,proposed_cap,12,41908,565.12,0,0,5,31,0,22
nonsnp,site,upstream_nocap,13,41908,773.38,0,16,15,70,0,14
nonsnp,site,oldprod_cap,13,41908,565.12,0,0,13,39,0,22
nonsnp,site,proposed_nocap,13,41908,773.38,0,0,12,35,0,14
nonsnp,site,proposed_cap,13,41908,565.12,0,0,12,35,0,22
nonsnp,site,upstream_nocap,14,41908,773.38,0,15,17,50,0,14
nonsnp,site,oldprod_cap,14,41908,565.12,0,0,8,40,0,22
nonsnp,site,proposed_nocap,14,41908,773.38,0,0,7,41,0,14
nonsnp,site,proposed_cap,14,41908,565.12,0,0,7,41,0,22
nonsnp,site,upstream_nocap,15,41908,773.38,1,18,14,66,0,14
nonsnp,site,oldprod_cap,15,41908,565.12,0,0,10,38,0,22
nonsnp,site,proposed_nocap,15,41908,773.38,0,0,10,46,0,14
nonsnp,site,proposed_cap,15,41908,565.12,0,0,10,46,0,22
nonsnp,site,upstream_nocap,16,41908,773.38,0,15,14,105,0,14
nonsnp,site,oldprod_cap,16,41908,565.12,0,0,11,65,0,22
nonsnp,site,proposed_nocap,16,41908,773.38,0,0,12,76,0,14
nonsnp,site,proposed_cap,16,41908,565.12,0,0,12,76,0,22
nonsnp,site,upstream_nocap,17,41908,773.38,0,15,15,73,0,14
nonsnp,site,oldprod_cap,17,41908,565.12,0,0,9,54,0,22
nonsnp,site,proposed_nocap,17,41908,773.38,0,0,8,36,0,14
nonsnp,site,proposed_cap,17,41908,565.12,0,0,8,36,0,22
nonsnp,site,upstream_nocap,18,41908,773.38,0,16,13,79,0,14
nonsnp,site,oldprod_cap,18,41908,565.12,0,0,8,63,0,22
nonsnp,site,proposed_nocap,18,41908,773.38,0,0,7,41,0,14
nonsnp,site,proposed_cap,18,41908,565.12,0,0,7,41,0,22
nonsnp,site,upstream_nocap,19,41908,773.38,0,15,19,100,0,14
nonsnp,site,oldprod_cap,19,41908,565.12,0,0,14,68,0,22
nonsnp,site,proposed_nocap,19,41908,773.38,0,0,15,67,0,14
nonsnp,site,proposed_cap,19,41908,565.12,0,0,15,71,0,22
