cls,regime,rep,blocks,support_to,p0,nan,bonf,fdr,bonf_past_support,n_past_support
snp,upstream_nocap,14,56846,3170.58,1,18,19,121,0,10
snp,oldprod_cap,14,56846,1876.84,0,0,6,44,0,32
snp,proposed_nocap,14,56846,3170.58,0,0,6,39,0,10
snp,proposed_cap,14,56846,1876.84,0,0,6,39,0,32
snp,upstream_nocap,15,56846,3170.58,1,19,33,148,0,10
snp,oldprod_cap,15,56846,1876.84,0,0,4,45,0,32
snp,proposed_nocap,15,56846,3170.58,0,0,5,45,0,10
snp,proposed_cap,15,56846,1876.84,0,0,5,45,0,32
snp,upstream_nocap,16,56846,3170.58,0,14,40,207,0,10
snp,oldprod_cap,16,56846,1876.84,0,0,8,84,0,32
snp,proposed_nocap,16,56846,3170.58,0,0,12,98,0,10
snp,proposed_cap,16,56846,1876.84,0,0,12,98,0,32
snp,upstream_nocap,17,56846,3170.58,0,18,30,265,0,10
snp,oldprod_cap,17,56846,1876.84,0,0,9,89,0,32
snp,proposed_nocap,17,56846,3170.58,0,0,11,99,0,10
snp,proposed_cap,17,56846,1876.84,0,0,11,99,0,32
snp,upstream_nocap,18,56846,3170.58,2,20,25,114,0,10
snp,oldprod_cap,18,56846,1876.84,0,0,7,36,0,32
snp,proposed_nocap,18,56846,3170.58,0,0,7,39,0,10
snp,proposed_cap,18,56846,1876.84,0,0,7,39,0,32
snp,upstream_nocap,19,56846,3170.58,1,17,27,148,0,10
snp,oldprod_cap,19,56846,1876.84,0,0,6,41,0,32
snp,proposed_nocap,19,56846,3170.58,0,0,7,36,0,10
snp,proposed_cap,19,56846,1876.84,0,0,7,36,0,32
sv,upstream_nocap,0,4520,61.7,2,0,4,4,3,8
sv,oldprod_cap,0,4520,61.7,0,0,1,1,0,8
sv,proposed_nocap,0,4520,61.7,0,0,1,1,0,8
sv,proposed_cap,0,4520,61.7,0,0,1,1,0,8
sv,upstream_nocap,1,4520,61.7,0,4,2,3,0,8
sv,oldprod_cap,1,4520,61.7,0,0,2,3,0,8
sv,proposed_nocap,1,4520,61.7,0,0,2,4,0,8
sv,proposed_cap,1,4520,61.7,0,0,2,4,0,8
sv,upstream_nocap,2,4520,61.7,0,4,0,0,0,8
sv,oldprod_cap,2,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,2,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,2,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,3,4520,61.7,0,0,1,2,0,8
sv,oldprod_cap,3,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,3,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,3,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,4,4520,61.7,0,6,1,1,0,8
sv,oldprod_cap,4,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,4,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,4,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,5,4520,61.7,0,5,2,2,0,8
sv,oldprod_cap,5,4520,61.7,0,0,2,2,0,8
sv,proposed_nocap,5,4520,61.7,0,0,2,2,0,8
sv,proposed_cap,5,4520,61.7,0,0,2,2,0,8
sv,upstream_nocap,6,4520,61.7,0,5,1,2,0,8
sv,oldprod_cap,6,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,6,4520,61.7,0,0,1,1,0,8
sv,proposed_cap,6,4520,61.7,0,0,1,1,0,8
sv,upstream_nocap,7,4520,61.7,0,4,0,0,0,8
sv,oldprod_cap,7,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,7,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,7,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,8,4520,61.7,0,0,0,0,0,8
sv,oldprod_cap,8,4520,61.7,0,0,2,8,0,8
sv,proposed_nocap,8,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,8,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,9,4520,61.7,0,0,0,0,0,8
sv,oldprod_cap,9,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,9,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,9,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,10,4520,61.7,0,5,2,2,0,8
sv,oldprod_cap,10,4520,61.7,0,0,1,2,0,8
sv,proposed_nocap,10,4520,61.7,0,0,0,2,0,8
sv,proposed_cap,10,4520,61.7,0,0,0,2,0,8
sv,upstream_nocap,11,4520,61.7,1,2,3,8,1,8
sv,oldprod_cap,11,4520,61.7,0,0,2,2,0,8
sv,proposed_nocap,11,4520,61.7,0,0,2,2,0,8
sv,proposed_cap,11,4520,61.7,0,0,2,2,0,8
sv,upstream_nocap,12,4520,61.7,0,0,1,1,0,8
sv,oldprod_cap,12,4520,61.7,0,0,1,1,0,8
sv,proposed_nocap,12,4520,61.7,0,0,1,1,0,8
sv,proposed_cap,12,4520,61.7,0,0,1,1,0,8
sv,upstream_nocap,13,4520,61.7,0,2,3,6,1,8
sv,oldprod_cap,13,4520,61.7,0,0,1,5,0,8
sv,proposed_nocap,13,4520,61.7,0,0,1,5,0,8
sv,proposed_cap,13,4520,61.7,0,0,1,5,0,8
sv,upstream_nocap,14,4520,61.7,0,2,2,3,0,8
sv,oldprod_cap,14,4520,61.7,0,0,2,4,0,8
sv,proposed_nocap,14,4520,61.7,0,0,2,4,0,8
sv,proposed_cap,14,4520,61.7,0,0,2,4,0,8
sv,upstream_nocap,15,4520,61.7,0,6,0,0,0,8
sv,oldprod_cap,15,4520,61.7,0,0,0,0,0,8
sv,proposed_nocap,15,4520,61.7,0,0,0,0,0,8
sv,proposed_cap,15,4520,61.7,0,0,0,0,0,8
sv,upstream_nocap,16,4520,61.7,0,0,1,2,0,8
sv,oldprod_cap,16,4520,61.7,0,0,1,2,0,8
sv,proposed_nocap,16,4520,61.7,0,0,1,2,0,8
sv,proposed_cap,16,4520,61.7,0,0,1,2,0,8
sv,upstream_nocap,17,4520,61.7,0,5,1,1,0,8
sv,oldprod_cap,17,4520,61.7,0,0,1,1,0,8
sv,proposed_nocap,17,4520,61.7,0,0,1,1,0,8
sv,proposed_cap,17,4520,61.7,0,0,1,1,0,8
sv,upstream_nocap,18,4520,61.7,0,0,1,5,0,8
sv,oldprod_cap,18,4520,61.7,0,0,1,6,0,8
sv,proposed_nocap,18,4520,61.7,0,0,0,5,0,8
sv,proposed_cap,18,4520,61.7,0,0,0,5,0,8
sv,upstream_nocap,19,4520,61.7,0,2,1,3,0,8
sv,oldprod_cap,19,4520,61.7,0,0,1,2,0,8
sv,proposed_nocap,19,4520,61.7,0,0,1,3,0,8
sv,proposed_cap,19,4520,61.7,0,0,1,3,0,8
smallindel,upstream_nocap,0,41731,719.06,0,17,21,110,0,14
smallindel,oldprod_cap,0,41731,545.2,0,0,16,88,0,23
smallindel,proposed_nocap,0,41731,719.06,0,0,11,70,0,14
smallindel,proposed_cap,0,41731,545.2,0,0,11,70,0,23
smallindel,upstream_nocap,1,41731,719.06,0,17,11,86,0,14
smallindel,oldprod_cap,1,41731,545.2,0,0,4,66,0,23
smallindel,proposed_nocap,1,41731,719.06,0,0,2,54,0,14
smallindel,proposed_cap,1,41731,545.2,0,0,2,54,0,23
smallindel,upstream_nocap,2,41731,719.06,1,17,16,83,0,14
smallindel,oldprod_cap,2,41731,545.2,0,0,10,55,0,23
smallindel,proposed_nocap,2,41731,719.06,0,0,9,66,0,14
smallindel,proposed_cap,2,41731,545.2,0,0,9,66,0,23
smallindel,upstream_nocap,3,41731,719.06,0,17,13,55,0,14
smallindel,oldprod_cap,3,41731,545.2,0,0,8,37,0,23
smallindel,proposed_nocap,3,41731,719.06,0,0,8,32,0,14
smallindel,proposed_cap,3,41731,545.2,0,0,8,32,0,23
smallindel,upstream_nocap,4,41731,719.06,0,15,11,59,0,14
smallindel,oldprod_cap,4,41731,545.2,0,0,7,43,0,23
smallindel,proposed_nocap,4,41731,719.06,0,0,5,30,0,14
smallindel,proposed_cap,4,41731,545.2,0,0,5,30,0,23
smallindel,upstream_nocap,5,41731,719.06,1,16,8,93,0,14
smallindel,oldprod_cap,5,41731,545.2,0,0,7,60,0,23
smallindel,proposed_nocap,5,41731,719.06,0,0,7,54,0,14
smallindel,proposed_cap,5,41731,545.2,0,0,7,54,0,23
smallindel,upstream_nocap,6,41731,719.06,1,17,13,105,0,14
smallindel,oldprod_cap,6,41731,545.2,0,0,8,46,0,23
smallindel,proposed_nocap,6,41731,719.06,0,0,9,52,0,14
smallindel,proposed_cap,6,41731,545.2,0,0,9,52,0,23
smallindel,upstream_nocap,7,41731,719.06,0,15,22,100,0,14
smallindel,oldprod_cap,7,41731,545.2,0,0,11,80,0,23
smallindel,proposed_nocap,7,41731,719.06,0,0,12,74,0,14
smallindel,proposed_cap,7,41731,545.2,0,0,12,74,0,23
smallindel,upstream_nocap,8,41731,719.06,0,14,13,67,0,14
smallindel,oldprod_cap,8,41731,545.2,0,0,7,39,0,23
smallindel,proposed_nocap,8,41731,719.06,0,0,8,46,0,14
smallindel,proposed_cap,8,41731,545.2,0,0,8,46,0,23
smallindel,upstream_nocap,9,41731,719.06,0,15,10,59,0,14
smallindel,oldprod_cap,9,41731,545.2,0,0,6,27,0,23
smallindel,proposed_nocap,9,41731,719.06,0,0,4,31,0,14
smallindel,proposed_cap,9,41731,545.2,0,0,4,31,0,23
smallindel,upstream_nocap,10,41731,719.06,0,17,16,84,0,14
smallindel,oldprod_cap,10,41731,545.2,0,0,9,83,0,23
smallindel,proposed_nocap,10,41731,719.06,0,0,10,65,0,14
smallindel,proposed_cap,10,41731,545.2,0,0,10,65,0,23
smallindel,upstream_nocap,11,41731,719.06,1,17,16,78,0,14
smallindel,oldprod_cap,11,41731,545.2,0,0,7,39,0,23
smallindel,proposed_nocap,11,41731,719.06,0,0,6,42,0,14
smallindel,proposed_cap,11,41731,545.2,0,0,6,42,0,23
smallindel,upstream_nocap,12,41731,719.06,0,17,7,39,0,14
smallindel,oldprod_cap,12,41731,545.2,0,0,3,32,0,23
smallindel,proposed_nocap,12,41731,719.06,0,0,1,32,0,14
smallindel,proposed_cap,12,41731,545.2,0,0,1,32,0,23
smallindel,upstream_nocap,13,41731,719.06,0,17,20,93,0,14
smallindel,oldprod_cap,13,41731,545.2,0,0,13,71,0,23
smallindel,proposed_nocap,13,41731,719.06,0,0,15,60,0,14
smallindel,proposed_cap,13,41731,545.2,0,0,15,60,0,23
smallindel,upstream_nocap,14,41731,719.06,0,15,12,56,0,14
smallindel,oldprod_cap,14,41731,545.2,0,0,8,56,0,23
smallindel,proposed_nocap,14,41731,719.06,0,0,8,35,0,14
smallindel,proposed_cap,14,41731,545.2,0,0,8,35,0,23
smallindel,upstream_nocap,15,41731,719.06,1,18,17,90,0,14
smallindel,oldprod_cap,15,41731,545.2,0,0,9,55,0,23
smallindel,proposed_nocap,15,41731,719.06,0,0,8,60,0,14
smallindel,proposed_cap,15,41731,545.2,0,0,8,60,0,23
smallindel,upstream_nocap,16,41731,719.06,0,15,24,107,0,14
smallindel,oldprod_cap,16,41731,545.2,0,0,14,62,0,23
smallindel,proposed_nocap,16,41731,719.06,0,0,12,64,0,14
smallindel,proposed_cap,16,41731,545.2,0,0,12,64,0,23
smallindel,upstream_nocap,17,41731,719.06,0,17,14,109,0,14
smallindel,oldprod_cap,17,41731,545.2,0,0,6,51,0,23
smallindel,proposed_nocap,17,41731,719.06,0,0,8,57,0,14
smallindel,proposed_cap,17,41731,545.2,0,0,8,57,0,23
smallindel,upstream_nocap,18,41731,719.06,1,18,26,69,0,14
smallindel,oldprod_cap,18,41731,545.2,0,0,16,58,0,23
smallindel,proposed_nocap,18,41731,719.06,0,0,17,53,0,14
smallindel,proposed_cap,18,41731,545.2,0,0,17,53,0,23
smallindel,upstream_nocap,19,41731,719.06,0,15,20,113,0,14
smallindel,oldprod_cap,19,41731,545.2,0,0,13,74,0,23
smallindel,proposed_nocap,19,41731,719.06,0,0,12,76,0,14
smallindel,proposed_cap,19,41731,545.2,0,0,12,76,0,23
nonsnp,upstream_nocap,0,41908,773.38,0,17,20,109,0,14
nonsnp,oldprod_cap,0,41908,565.12,0,0,11,84,0,22
nonsnp,proposed_nocap,0,41908,773.38,0,0,12,73,0,14
nonsnp,proposed_cap,0,41908,565.12,0,0,12,73,0,22
nonsnp,upstream_nocap,1,41908,773.38,0,16,11,92,0,14
nonsnp,oldprod_cap,1,41908,565.12,0,0,2,61,0,22
nonsnp,proposed_nocap,1,41908,773.38,0,0,2,60,0,14
nonsnp,proposed_cap,1,41908,565.12,0,0,2,60,0,22
nonsnp,upstream_nocap,2,41908,773.38,1,16,18,86,0,14
nonsnp,oldprod_cap,2,41908,565.12,0,0,9,52,0,22
nonsnp,proposed_nocap,2,41908,773.38,0,0,9,73,0,14
nonsnp,proposed_cap,2,41908,565.12,0,0,9,73,0,22
nonsnp,upstream_nocap,3,41908,773.38,0,16,14,57,0,14
nonsnp,oldprod_cap,3,41908,565.12,0,0,10,33,0,22
nonsnp,proposed_nocap,3,41908,773.38,0,0,9,39,0,14
nonsnp,proposed_cap,3,41908,565.12,0,0,9,39,0,22
nonsnp,upstream_nocap,4,41908,773.38,0,15,12,61,0,14
nonsnp,oldprod_cap,4,41908,565.12,0,0,6,36,0,22
nonsnp,proposed_nocap,4,41908,773.38,0,0,5,29,0,14
nonsnp,proposed_cap,4,41908,565.12,0,0,5,29,0,22
nonsnp,upstream_nocap,5,41908,773.38,0,16,10,100,0,14
nonsnp,oldprod_cap,5,41908,565.12,0,0,7,53,0,22
nonsnp,proposed_nocap,5,41908,773.38,0,0,6,52,0,14
nonsnp,proposed_cap,5,41908,565.12,0,0,6,52,0,22
nonsnp,upstream_nocap,6,41908,773.38,0,18,14,106,0,14
nonsnp,oldprod_cap,6,41908,565.12,0,0,10,49,0,22
nonsnp,proposed_nocap,6,41908,773.38,0,0,9,47,0,14
nonsnp,proposed_cap,6,41908,565.12,0,0,9,47,0,22
nonsnp,upstream_nocap,7,41908,773.38,0,15,19,96,0,14
nonsnp,oldprod_cap,7,41908,565.12,0,0,10,67,0,22
nonsnp,proposed_nocap,7,41908,773.38,0,0,11,75,0,14
nonsnp,proposed_cap,7,41908,565.12,0,0,11,75,0,22
nonsnp,upstream_nocap,8,41908,773.38,0,14,14,75,0,14
nonsnp,oldprod_cap,8,41908,565.12,0,0,10,52,0,22
nonsnp,proposed_nocap,8,41908,773.38,0,0,8,44,0,14
nonsnp,proposed_cap,8,41908,565.12,0,0,8,44,0,22
nonsnp,upstream_nocap,9,41908,773.38,1,15,8,63,0,14
nonsnp,oldprod_cap,9,41908,565.12,0,0,8,33,0,22
nonsnp,proposed_nocap,9,41908,773.38,0,0,6,34,0,14
nonsnp,proposed_cap,9,41908,565.12,0,0,6,34,0,22
nonsnp,upstream_nocap,10,41908,773.38,0,16,16,85,0,14
nonsnp,oldprod_cap,10,41908,565.12,0,0,11,76,0,22
nonsnp,proposed_nocap,10,41908,773.38,0,0,11,70,0,14
nonsnp,proposed_cap,10,41908,565.12,0,0,11,70,0,22
nonsnp,upstream_nocap,11,41908,773.38,0,18,16,81,0,14
nonsnp,oldprod_cap,11,41908,565.12,0,0,6,60,0,22
nonsnp,proposed_nocap,11,41908,773.38,0,0,5,46,0,14
nonsnp,proposed_cap,11,41908,565.12,0,0,5,46,0,22
nonsnp,upstream_nocap,12,41908,773.38,0,17,10,39,0,14
nonsnp,oldprod_cap,12,41908,565.12,0,0,2,31,0,22
nonsnp,proposed_nocap,12,41908,773.38,0,0,2,30,0,14
nonsnp,proposed_cap,12,41908,565.12,0,0,2,30,0,22
nonsnp,upstream_nocap,13,41908,773.38,0,16,20,100,0,14
nonsnp,oldprod_cap,13,41908,565.12,0,0,13,56,0,22
nonsnp,proposed_nocap,13,41908,773.38,0,0,13,59,0,14
nonsnp,proposed_cap,13,41908,565.12,0,0,13,59,0,22
nonsnp,upstream_nocap,14,41908,773.38,0,15,12,54,0,14
nonsnp,oldprod_cap,14,41908,565.12,0,0,9,53,0,22
nonsnp,proposed_nocap,14,41908,773.38,0,0,9,32,0,14
nonsnp,proposed_cap,14,41908,565.12,0,0,9,32,0,22
nonsnp,upstream_nocap,15,41908,773.38,1,18,16,91,0,14
nonsnp,oldprod_cap,15,41908,565.12,0,0,8,65,0,22
nonsnp,proposed_nocap,15,41908,773.38,0,0,7,56,0,14
nonsnp,proposed_cap,15,41908,565.12,0,0,7,56,0,22
nonsnp,upstream_nocap,16,41908,773.38,0,15,24,101,0,14
nonsnp,oldprod_cap,16,41908,565.12,0,0,12,88,0,22
nonsnp,proposed_nocap,16,41908,773.38,0,0,13,69,0,14
nonsnp,proposed_cap,16,41908,565.12,0,0,13,69,0,22
nonsnp,upstream_nocap,17,41908,773.38,0,18,11,112,0,14
nonsnp,oldprod_cap,17,41908,565.12,0,0,10,91,0,22
nonsnp,proposed_nocap,17,41908,773.38,0,0,8,59,0,14
nonsnp,proposed_cap,17,41908,565.12,0,0,8,59,0,22
nonsnp,upstream_nocap,18,41908,773.38,0,19,26,65,0,14
nonsnp,oldprod_cap,18,41908,565.12,0,0,16,52,0,22
nonsnp,proposed_nocap,18,41908,773.38,0,0,17,55,0,14
nonsnp,proposed_cap,18,41908,565.12,0,0,17,55,0,22
nonsnp,upstream_nocap,19,41908,773.38,0,15,19,108,0,14
nonsnp,oldprod_cap,19,41908,565.12,0,0,8,77,0,22
nonsnp,proposed_nocap,19,41908,773.38,0,0,10,83,0,14
nonsnp,proposed_cap,19,41908,565.12,0,0,10,83,0,22
