regime	weight	miss_cond	cls	n	MAE	RMSE	R2	bias	outlier
n50_g1	inv_mb	full	indel	481068	0.014397132845628895	0.024020990587270277	0.9849778077368587	-0.0018098331412835613	0.0038996565974041093
n50_g1	inv_mb	full	SV	36872	0.00910978726147212	0.017863716641504896	0.9819012910722354	-0.0007721252738392281	0.0018170969841614234
n50_g1	inv_mb	miss_le_90	ALL	1946419	0.014224692013401024	0.023538712881816172	0.9872963739091928	-0.0018818108553502616	0.003466879433462168
n50_g1	inv_mb	miss_le_90	SNP	1429696	0.014328764826372882	0.023605712056838007	0.9879215631349377	-0.0019271942882207133	0.0034776623841711804
n50_g1	inv_mb	miss_le_90	indel	479958	0.014317337039701394	0.02374758722977096	0.9850388082354308	-0.0018291540548360493	0.0036023985432058637
n50_g1	inv_mb	miss_le_90	SV	36765	0.008968110864273085	0.017386756745402982	0.9818566433456914	-0.0008043877687202507	0.001278389772881817
n50_g1	inv_mb	miss_le_50	ALL	1904711	0.013981104513550875	0.02300573827885975	0.9872676941741715	-0.0018775804520790836	0.002826675542903884
n50_g1	inv_mb	miss_le_50	SNP	1396178	0.014070299068396724	0.023054253962005937	0.9878665030605093	-0.0019220115439435382	0.0028012187557746935
n50_g1	inv_mb	miss_le_50	indel	472594	0.01412607541995666	0.02330525091205933	0.9851365633556606	-0.0018306734087546609	0.0030660566998311446
n50_g1	inv_mb	miss_le_50	SV	35939	0.008609673596232504	0.016126165644813006	0.9825566225742601	-0.0007683196005175441	0.0006677982136397785
n231_g1	uniform	full	ALL	1955156	0.00896191839376177	0.017480584132032222	0.992513464871081	-0.0012536687074310693	0.001051578492969359
n231_g1	uniform	full	SNP	1436451	0.009048183144331555	0.017579782908260944	0.9928741754512093	-0.001277660283147284	0.0010665174099220927
n231_g1	uniform	full	indel	481741	0.00889839821779068	0.017160968147812587	0.99149092809731	-0.001243904179320216	0.0009735521784527371
n231_g1	uniform	full	SV	36964	0.006437440141186019	0.017740154940987914	0.9808769099660924	-0.00044859486822313593	0.0014879342062547344
n231_g1	uniform	miss_le_90	ALL	1946419	0.008569812329894896	0.012848504665676804	0.9957926027448166	-0.0012289565803930704	0.00010172527086922189
n231_g1	uniform	miss_le_90	SNP	1429696	0.00865409979262528	0.012962175221486374	0.9959658612730411	-0.001238098980968122	0.00010911410537624782
n231_g1	uniform	miss_le_90	indel	479958	0.008531066968038244	0.012752238881234538	0.9951472309256977	-0.001249444610046921	8.542414127902858e-05
n231_g1	uniform	miss_le_90	SV	36765	0.005797901492691418	0.009119475561758681	0.9941945107981852	-0.0006059660385964911	2.7199782401740785e-05
n231_g1	uniform	miss_le_50	ALL	1904711	0.008356327140186465	0.012399298228050186	0.9959043479184578	-0.0012008601972226234	8.400224495999655e-06
n231_g1	uniform	miss_le_50	SNP	1396178	0.008420665407614712	0.01247125925723029	0.9960825524049298	-0.001209263216359734	1.0027374733021148e-05
n231_g1	uniform	miss_le_50	indel	472594	0.00837770676184886	0.012431551635604393	0.9952577991340348	-0.0012229713903210788	4.231962318607515e-06
n231_g1	uniform	miss_le_50	SV	35939	0.005575739075372159	0.008583906143249888	0.9943712335083188	-0.0005836552765519352	0.0
n231_g1	inv_mb	full	ALL	1955156	0.010710598694958608	0.019855445873406596	0.9903410865863216	-0.0018167873946355688	0.0012786703465094346
n231_g1	inv_mb	full	SNP	1436451	0.010820187501702319	0.01998628493068386	0.9907897321853231	-0.0018420026171357053	0.0013025157140758717
n231_g1	inv_mb	full	indel	481741	0.010617023043987747	0.019490991287832386	0.989023434386347	-0.0018258665200800845	0.0011832084045161196
n231_g1	inv_mb	full	SV	36964	0.007671432929309598	0.019456409430668294	0.9769978386205984	-0.0007185778246131371	0.0015961476030732604
n231_g1	inv_mb	miss_le_90	ALL	1946419	0.010264474143270546	0.015313493906955154	0.9940233623504231	-0.001800899512516113	0.00021629464159566875
n231_g1	inv_mb	miss_le_90	SNP	1429696	0.010376265967841275	0.0154684076042862	0.9942550498045458	-0.0018080601825102684	0.0002406105913424952
n231_g1	inv_mb	miss_le_90	indel	479958	0.010188460012152515	0.015147819958095478	0.9931527369024139	-0.0018508655468788934	0.00015418015743044183
n231_g1	inv_mb	miss_le_90	SV	36765	0.006909524215939073	0.010721458308280044	0.9919757062987861	-0.0008701452851625186	8.159934720522235e-05
n231_g1	inv_mb	miss_le_50	ALL	1904711	0.01002644725045086	0.014798554167878475	0.9941659866521646	-0.0017776856106317968	1.7850477053999267e-05
n231_g1	inv_mb	miss_le_50	SNP	1396178	0.010116784983555314	0.014903487992148832	0.9944055367631718	-0.0017849364184872561	2.2203472623118255e-05
n231_g1	inv_mb	miss_le_50	indel	472594	0.010015402018339637	0.014785894283622711	0.9932915148522653	-0.0018264437365633078	6.347943477911273e-06
n231_g1	inv_mb	miss_le_50	SV	35939	0.006662201024736359	0.010141062006830098	0.992143842383986	-0.0008548381141378446	0.0
n50_g3	uniform	full	ALL	1946913	0.02753588487600422	0.05091969679948878	0.9455022714149481	-0.0020253355581692665	0.062304273483201354
n50_g3	uniform	full	SNP	1430054	0.02769001788980977	0.05096533023719701	0.9481493615216717	-0.002029025887944092	0.06247875954334592
n50_g3	uniform	full	indel	480111	0.027961825494745993	0.05174933527691672	0.9359652367247613	-0.002105920580120015	0.06458714755546113
n50_g3	uniform	full	SV	36748	0.015972879832752807	0.03604213721786668	0.9289456112511671	-0.0008288860553499515	0.025688472842059433
n50_g3	uniform	miss_le_90	ALL	1944446	0.02750720649912417	0.0508256962435459	0.9452644782223585	-0.0020164382506698587	0.06211949316154833
n50_g3	uniform	miss_le_90	SNP	1428126	0.027655379275703974	0.050856123837971244	0.9479446925130427	-0.0020187419226720903	0.06225921242243331
n50_g3	uniform	miss_le_90	indel	479597	0.027951648585808495	0.05170101498451626	0.9356191197204298	-0.0020992223657404037	0.06450415661482453
n50_g3	uniform	miss_le_90	SV	36723	0.015940545655148002	0.03592900429791078	0.9287352775277802	-0.0008457020058818729	0.025542575497644528
n50_g3	uniform	miss_le_50	ALL	1904711	0.027208280585206884	0.050060688108842316	0.9447117352278811	-0.002010438662223298	0.06054199298476252
n50_g3	uniform	miss_le_50	SNP	1396178	0.02734361984311886	0.0500618361154504	0.9472860218419775	-0.0020184995069783373	0.06059327678848972
n50_g3	uniform	miss_le_50	indel	472594	0.027695855177791093	0.051026949188297845	0.9357210534926493	-0.002079188993015148	0.06318954536028812
n50_g3	uniform	miss_le_50	SV	35939	0.015538993141461923	0.034887884040599025	0.9265712986133284	-0.0007932270553716025	0.02373466150978046
n50_g3	inv_mb	full	ALL	1946913	0.02821135242638884	0.05213416871048375	0.9428716488265139	-0.0025434369987575207	0.06494897306659311
n50_g3	inv_mb	full	SNP	1430054	0.028376769725604798	0.05220246801658109	0.9456015537679324	-0.002555525041122924	0.06512271564570289
n50_g3	inv_mb	full	indel	480111	0.02861482576770789	0.05291815582109184	0.9330399670582392	-0.0026206318656352397	0.0673469260233571
n50_g3	inv_mb	full	SV	36748	0.016502751692010452	0.03694092680281951	0.9253576316960841	-0.001064481461902689	0.02685860454990748
n50_g3	inv_mb	miss_le_90	ALL	1944446	0.02815628543724949	0.05196141380900046	0.9427909800846687	-0.0025313595393042544	0.06472743393233857
n50_g3	inv_mb	miss_le_90	SNP	1428126	0.02831249720492451	0.051997957382215444	0.9455809354984163	-0.0025400137222191884	0.06485912307457466
n50_g3	inv_mb	miss_le_90	indel	479597	0.02858748311782601	0.052838778733434635	0.9327543316253155	-0.00261569321522445	0.06725021215729039
n50_g3	inv_mb	miss_le_90	SV	36723	0.016449965122076086	0.03676165485479389	0.9253938994529615	-0.0010934203295482402	0.026659042017264385
n50_g3	inv_mb	miss_le_50	ALL	1904711	0.027826571944072363	0.051183206885492584	0.9422044612749799	-0.002530444542380447	0.06309461120348442
n50_g3	inv_mb	miss_le_50	SNP	1396178	0.02796752008971206	0.05118996042785926	0.944883474574824	-0.0025469018167124844	0.0631538385506719
n50_g3	inv_mb	miss_le_50	indel	472594	0.02830835812692713	0.05215441711490334	0.9328491157960539	-0.0025951582605047894	0.06582817386593989
n50_g3	inv_mb	miss_le_50	SV	35939	0.01601550431884582	0.035680591619549624	0.9231965584968284	-0.00104012485441999	0.024847658532513424
n50_g3_dom500	uniform	full	ALL	1946913	0.049869391261567426	0.09419570923473652	0.8135042133656776	-0.005448504847192454	0.17969678152028365
n50_g3_dom500	uniform	full	SNP	1430054	0.05036429357375319	0.09466981302819993	0.8210929469479804	-0.005433171521605477	0.18159454118515805
n50_g3_dom500	uniform	full	indel	480111	0.0500702328716526	0.09451898045354593	0.7863788179419835	-0.005734180086775767	0.18104355034564923
n50_g3_dom500	uniform	full	SV	36748	0.027986205852563402	0.0677588036716885	0.7488684394047505	-0.002312869129258736	0.08824970066398172
n50_g3_dom500	uniform	miss_le_90	ALL	1944446	0.04986584211957133	0.09418408800545064	0.8120433642844658	-0.00544129025993111	0.17963985628811496
n50_g3_dom500	uniform	miss_le_90	SNP	1428126	0.050356325143873865	0.09465266637578096	0.8196798709817918	-0.005424359606265834	0.1815105950035221
n50_g3_dom500	uniform	miss_le_90	indel	479597	0.05008279534889085	0.09452686274397179	0.7847866237141421	-0.005729868011980893	0.1810770292558127
n50_g3_dom500	uniform	miss_le_90	SV	36723	0.02795800023609182	0.06771087439984705	0.7468947933934175	-0.002330925707649158	0.08811916237780137
n50_g3_dom500	uniform	miss_le_50	ALL	1904711	0.04971627649257341	0.09386789466549601	0.8056101947803915	-0.005401963287218902	0.17967187673090562
n50_g3_dom500	uniform	miss_le_50	SNP	1396178	0.050202965893291526	0.0943162338295991	0.8128951069948721	-0.005402182941325536	0.1815871615223847
n50_g3_dom500	uniform	miss_le_50	indel	472594	0.04995956857420322	0.0942853251697403	0.7805387998243021	-0.0056456483852207195	0.1810518119146667
n50_g3_dom500	uniform	miss_le_50	SV	35939	0.027609834684465342	0.06708735356775096	0.7284824488784059	-0.002188997110186706	0.08711984195442277
n50_g3_dom500	inv_mb	full	ALL	1946913	0.050938760382039636	0.09599842680278621	0.806297593780085	-0.005732655818499336	0.18310011798164583
n50_g3_dom500	inv_mb	full	SNP	1430054	0.05144773067302216	0.09648773169194315	0.8141559689768465	-0.005721822097038294	0.18502238377012337
n50_g3_dom500	inv_mb	full	indel	480111	0.05112927248130535	0.09631002396245676	0.7782062831581691	-0.006017583174811661	0.18451566408601344
n50_g3_dom500	inv_mb	full	SV	36748	0.028643072045499075	0.06904787247701931	0.7392223068294572	-0.0024316883847284206	0.08980080548601284
n50_g3_dom500	inv_mb	miss_le_90	ALL	1944446	0.05091478192682027	0.09595425133001946	0.8049117864872887	-0.005725106951163471	0.18301408216016285
n50_g3_dom500	inv_mb	miss_le_90	SNP	1428126	0.051417085110121954	0.09643142462745212	0.8128388651168736	-0.005711363624118602	0.18490455323970015
n50_g3_dom500	inv_mb	miss_le_90	indel	479597	0.05112827796456608	0.0963057605556511	0.7766102187459167	-0.006015753119685904	0.184538268588002
n50_g3_dom500	inv_mb	miss_le_90	SV	36723	0.028592414604689163	0.06895320168208191	0.7375218795054448	-0.0024637767819077963	0.0895896304768129
n50_g3_dom500	inv_mb	miss_le_50	ALL	1904711	0.050756165580816213	0.09564544380884801	0.7981782798719435	-0.005686864067442252	0.1830020407295385
n50_g3_dom500	inv_mb	miss_le_50	SNP	1396178	0.051254757680438995	0.09610349297072707	0.805736777108039	-0.0056912448446072095	0.18494275085268497
n50_g3_dom500	inv_mb	miss_le_50	indel	472594	0.050996012284157205	0.096068685794531	0.7721582840214772	-0.005929768264017317	0.18444796167534924
n50_g3_dom500	inv_mb	miss_le_50	SV	35939	0.028232627547316286	0.06832981896864672	0.7183322481085759	-0.002322513067781519	0.08859456300954395
