filter,method,regime,var_class,n_records,MAE,RMSE,R2,slope,|err|>0.10 frac
all,star2,n231_g0,indel,509892.0,0.008613340794439804,0.014661991602882786,0.993935242000691,0.9933140023531091,0.0009178414252429926
all,star2,n231_g0,SV,56159.0,0.004884518487711676,0.010061796909583762,0.9914473902519633,0.9950896190302845,0.0008725226588792536
all,star2,n231_g1,SNP,1482600.0,0.009572004275961825,0.017670556846700148,0.9928503830723958,0.9933559752687574,0.0029016592472683126
all,star2,n231_g1,indel,509892.0,0.009342411668232487,0.016716003308420546,0.9920584640581073,0.9921539948693193,0.002033764012771332
all,star2,n231_g1,SV,56159.0,0.005752896876274507,0.013050919521884008,0.9859616703923562,0.9889761135931189,0.001851884827009028
all,star2,n50_g0,SNP,1480165.0,0.008650170141295061,0.01639771108601257,0.9941870700910126,0.9989960795049235,0.0016288724567869123
all,star2,n50_g0,indel,509301.0,0.008503655500796188,0.01581312772715392,0.9933938490531147,0.998923944301766,0.0011329253231389688
all,star2,n50_g0,SV,56075.0,0.0044866935310387875,0.010117626848979747,0.9919692947868001,1.0009159651311388,0.000838163174320107
all,star2,n50_g1,SNP,1479935.0,0.011404723084371278,0.020596174686865743,0.9909872411877051,0.9921336090912786,0.0027636348893701414
all,star2,n50_g1,indel,509204.0,0.011282177771386322,0.020195190532914516,0.9894298785851745,0.9907484571436643,0.002299667716671511
all,star2,n50_g1,SV,56062.0,0.006558421705254897,0.014519164903971605,0.984215487083532,0.9827376876930847,0.001284292390567586
all,star2,n50_g3,SNP,1476091.0,0.01855919247422077,0.03342906802583201,0.9773704185543032,0.9743400762946449,0.017941983251710092
all,star2,n50_g3,indel,508229.0,0.018458742486135184,0.033227246127059316,0.973467512461189,0.9676236438510135,0.01815126645665635
all,star2,n50_g3,SV,55914.0,0.010766933329058911,0.02400069431008241,0.9593873905715243,0.9593099154813256,0.0076188432235218375
all,star2,n50_g3_dom500,SNP,1472986.0,0.045238201981298534,0.08795441946006755,0.8658760020540124,1.0061172228680664,0.15981007287238302
all,star2,n50_g3_dom500,indel,507330.0,0.04527984117832183,0.08795050660896199,0.845301105067729,1.0084750982194062,0.16060552303234582
all,star2,n50_g3_dom500,SV,55613.0,0.023745396266322622,0.061030714406002766,0.7977444767008395,1.0151514780032804,0.07012748817722475
miss<=10%,global,n231_g0,SNP,1381350.0,0.00458936092280494,0.00713359428730459,0.9987725379602852,1.0018679093339915,0.0
miss<=10%,global,n231_g0,indel,485489.0,0.0046451333997775445,0.007054388255577782,0.9985613662531437,1.0002584509577794,0.0
miss<=10%,global,n231_g0,SV,52848.0,0.0024712644972770966,0.004050268826079912,0.9983379714922874,1.000900719395415,0.0
miss<=10%,global,n231_g1,SNP,1381350.0,0.006671861664173815,0.010077677351196242,0.9974606014411089,1.000284347695999,0.0
miss<=10%,global,n231_g1,indel,485489.0,0.006735174892572024,0.010134869619840349,0.9969103703556065,0.9986385238196981,0.0
miss<=10%,global,n231_g1,SV,52848.0,0.00415954956566379,0.006461403913494972,0.995710808431019,0.9987942542928715,0.0
miss<=10%,global,n50_g0,SNP,1381350.0,0.004783692043936727,0.007957195129531785,0.9985638039686899,1.003905782491734,0.0
miss<=10%,global,n50_g0,indel,485489.0,0.004737856344640143,0.00788163270934114,0.9983203981020139,1.003582311319914,0.0
miss<=10%,global,n50_g0,SV,52848.0,0.0024514504680404176,0.004673992908012575,0.9980276416677591,1.0046007477748413,0.0
miss<=10%,global,n50_g1,SNP,1381350.0,0.011355794302413577,0.018930150662736255,0.991691467746199,0.9944401341644801,0.0006674629891048612
miss<=10%,global,n50_g1,indel,485489.0,0.011502309979573171,0.019239930817544562,0.9898640329987552,0.9919671366180782,0.0007909550988796862
miss<=10%,global,n50_g1,SV,52848.0,0.00644474956259461,0.012601026105563145,0.9859115895705777,0.9884809465478145,0.00017029972752043596
miss<=10%,global,n50_g3,SNP,1381350.0,0.0269293510331726,0.04792993137665133,0.9508317707503346,0.9560190302759675,0.06964056900857857
miss<=10%,global,n50_g3,indel,485489.0,0.027344231204212664,0.04883773900615831,0.9409267572961538,0.9447643640151518,0.07268753771970117
miss<=10%,global,n50_g3,SV,52848.0,0.01430999826863836,0.03165844493311552,0.9221081433350186,0.9333480649082164,0.024031183772328185
miss<=10%,global,n50_g3_dom500,SNP,1378446.0,0.04641506005384542,0.08671813671021765,0.8589182467167565,0.9880043384302167,0.1712841852346773
miss<=10%,global,n50_g3_dom500,indel,484611.0,0.046585773490783314,0.0870266312626385,0.8385612512320314,0.9848445373579657,0.17288918328308683
miss<=10%,global,n50_g3_dom500,SV,52552.0,0.02443841492504567,0.05955407563010689,0.7809510149896298,0.9894251397428735,0.07691429441315269
miss<=10%,star2,n231_g0,SNP,1381350.0,0.008290741499286637,0.013620266845225196,0.995489290789123,0.9979048274622939,0.0001295833785789264
miss<=10%,star2,n231_g0,indel,485489.0,0.008324624402915,0.013432744201000752,0.9947216940359868,0.9950921433076635,0.00013800518652327858
miss<=10%,star2,n231_g0,SV,52848.0,0.004444269631757115,0.007939891682321289,0.9936025931001966,0.998768145883069,0.0
miss<=10%,star2,n231_g1,SNP,1381350.0,0.008836823127925657,0.014139089592669737,0.9950881711459367,0.9968770437647232,0.00028378035979295614
miss<=10%,star2,n231_g1,indel,485489.0,0.008829521521117678,0.013971275378159956,0.9942353045240547,0.9946085852987072,0.00015448341774993872
miss<=10%,star2,n231_g1,SV,52848.0,0.005084224725329246,0.008511556499746584,0.9926124909778865,0.9976986018189512,1.8922191946715107e-05
miss<=10%,star2,n50_g0,SNP,1381350.0,0.008366682218958263,0.015015813890635285,0.9948442805104705,1.0017080255670137,0.0005378796105259348
miss<=10%,star2,n50_g0,indel,485489.0,0.008369944372405963,0.014988544460245539,0.9938812410771424,1.000754613028388,0.000562319640609777
miss<=10%,star2,n50_g0,SV,52848.0,0.0042174074580495005,0.00894777557913936,0.9927617977143981,1.004832489505593,0.00017029972752043596
miss<=10%,star2,n50_g1,SNP,1381350.0,0.010872822336960943,0.01846110106507828,0.9922383989923931,0.9960856549117758,0.0010098816375285048
miss<=10%,star2,n50_g1,indel,485489.0,0.010903048942692834,0.018466533224980902,0.9908132149582501,0.994066277902255,0.000825971340236339
miss<=10%,star2,n50_g1,SV,52848.0,0.0060703564660914335,0.01199720826377982,0.9873103683947462,0.993617317129798,0.00013245534362700575
miss<=10%,star2,n50_g3,SNP,1381350.0,0.01795800763593225,0.0315309067715965,0.9787931996132064,0.9760426025125657,0.014842726318456583
miss<=10%,star2,n50_g3,indel,485489.0,0.01799458360062123,0.031684922887532746,0.9752351035028376,0.9692443677283822,0.015672857675457116
miss<=10%,star2,n50_g3,SV,52848.0,0.010229107000662277,0.022084576013871742,0.9620543991254289,0.9630492863114509,0.005733424159854677
miss<=10%,star2,n50_g3_dom500,SNP,1378510.0,0.04515278181389832,0.08742872684467728,0.8621704629326908,1.010519110962738,0.16061907421781488
miss<=10%,star2,n50_g3_dom500,indel,484634.0,0.04515961814778575,0.08741961467424533,0.844596199939951,1.0129077137241451,0.1610906374707511
miss<=10%,star2,n50_g3_dom500,SV,52557.0,0.023325996833095497,0.06010367003494207,0.7896227646025707,1.0239045163573033,0.06908689613181879
