chrom,pos,ref_len,alt_len,size,vclass,sig_classes,best_axis,best_nlp,n_axes,MAF,tier,region,gene,symbol,protein_name,categories,strand,te_overlap,nearest_gene,dist_to_gene,block,block_span_genes,block_gene_mismatch,snp_cosig_2kb,snp_cosig_dist,snp_cosig_axes
Chr4,7319259,1,4567,4566,sv,"nonsnp,sv",bio10,7.930239190113226,2,0.0554990605874495,1_CDS,CDS,AT4G12330,CYP706A7,"Flavonoid 3, 5-hydroxylase like protein",temperature,-,False,AT4G12330,0,Chr4_3017,AT4G12330;AT4G12334;AT4G12340,False,False,,
Chr5,15340573,11,1,10,smallindel,"nonsnp,smallindel",bio15,7.903681050955545,1,0.0927125540646639,1_CDS,CDS,AT5G38370,,,,-,False,AT5G38370,0,Chr5_6594,AT5G38360;AT5G38370,False,True,13.0,bio15
Chr1,21782640,1,4,3,smallindel,"nonsnp,smallindel",bio15,7.868881305161,1,0.2686064026572488,1_CDS,CDS,AT1G58807,RF45,Probable disease resistance protein RF45,defense,+,False,AT1G58807,0,Chr1_10153,AT1G58602;AT1G58643;AT1G58684;AT1G58725;AT1G58766;AT1G58807;AT1G58808;AT1G58848;AT1G58936;AT1G58983;AT1G59030;AT1G59077;AT1G59124;AT1G59171;AT1G59218;AT1G59312;AT1G59359;AT1G59406;AT1G59453,False,True,784.0,bio15
Chr2,9892799,2,2,0,snp,"nonsnp,smallindel",bio10,7.754182234464631,1,0.3893087993968617,1_CDS,CDS,AT2G23230,TPS05,Putative terpenoid synthase 5 (AtTPS05) (EC 4.2.3.-),,+,False,AT2G23230,0,Chr2_3419,AT2G23230,False,True,5.0,"bio1,bio10,bio5"
Chr3,2780819,2,2,0,snp,"nonsnp,smallindel",bio17,7.69623891713529,3,0.1092233441092751,1_CDS,CDS,AT3G09080,AT3G09080,Transducin/WD40 repeat-like superfamily protein,defense,-,False,AT3G09080,0,Chr3_1361,AT3G09080,False,True,6.0,bio17
Chr4,16481283,4,1,3,smallindel,"nonsnp,smallindel",bio15,7.601515003591658,1,0.0535248463804071,1_CDS,CDS,AT4G34480,AT4G34480,"Glucan endo-1,3-beta-glucosidase 7 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 7) ((1->3)-beta-glucanase 7) (Beta-1,3-endoglucanase 7) (Beta-1,3-glucanase 7)",,-,False,AT4G34480,0,Chr4_8126,AT4G34450;AT4G34460;AT4G34470;AT4G34480;AT4G34490;AT4G34500,False,False,,
Chr4,7414767,1,16,15,smallindel,"nonsnp,smallindel",bio15,7.529246296652231,1,0.3294431079517711,1_CDS,CDS,AT4G12500,AT4G12500,pEARLI1-like lipid transfer protein 3,"temperature,defense",-,False,AT4G12500,0,Chr4_3092,AT4G12500;AT4G12510,False,False,,
Chr5,16209668,1,4,3,smallindel,"nonsnp,smallindel",bio15,7.476487818332058,1,0.1874415440992875,1_CDS,CDS,AT5G40470,AT5G40470,RNI-like superfamily protein,,-,False,AT5G40470,0,Chr5_7125,AT5G40470,False,False,,
Chr4,16717614,2,5,3,smallindel,"nonsnp,smallindel",bio1,7.459217358412832,1,0.0925143740393898,1_CDS,CDS,AT4G35120,AT4G35120,Putative F-box/kelch-repeat protein At4g35120,,+,False,AT4G35120,0,Chr4_8243,AT4G35120,False,False,,
Chr1,6459656,1,3,2,smallindel,"nonsnp,smallindel",bio1,7.449768355103098,1,0.2390715859153054,1_CDS,CDS,AT1G18720,AT1G18720,"ER membrane protein, putative (DUF962)",water,-,False,AT1G18720,0,Chr1_3264,AT1G18720,False,False,,
Chr3,23414925,4,1,3,smallindel,"nonsnp,smallindel",bio15,7.44132938706786,1,0.1437965414740822,1_CDS,CDS,AT3G63400,CYP63,Peptidyl-prolyl cis-trans isomerase CYP63 (AtCYP63) (PPIase CYP63) (EC 5.2.1.8) (Cyclophilin-63) (Cyclophilin-like protein CypRS64),,+,False,AT3G63400,0,Chr3_10671,AT3G63400;AT3G63410;AT3G63420,False,False,,
Chr1,19096520,2,2,0,snp,"nonsnp,smallindel",bio15,7.431618559284556,1,0.0582585714080116,1_CDS,CDS,AT1G51490,TGG6,Putative myrosinase 6 (EC 3.2.1.147) (Beta-glucosidase 36) (AtBGLU36) (Sinigrinase 6) (Thioglucosidase 6),,+,False,AT1G51490,0,Chr1_8619,AT1G51490,False,False,,
Chr1,21693330,2,2,0,snp,"nonsnp,smallindel",bio15,7.331939234585917,1,0.0596850460225885,1_CDS,CDS,AT1G58390,AT1G58390,Probable disease resistance protein At1g58390,defense,-,False,AT1G58390,0,Chr1_10112,AT1G58390,False,False,,
Chr3,6596318,1,4,3,smallindel,"nonsnp,smallindel",bio10,7.322508495791116,1,0.1130962480198253,1_CDS,CDS,AT3G19080,AT3G19080,SWIB complex BAF60b domain-containing protein,,+,False,AT3G19080,0,Chr3_3206,AT3G19080,False,False,,
Chr5,10283539,1,2,1,smallindel,"nonsnp,smallindel",bio10,7.311681350501601,1,0.0793487321246754,1_CDS,CDS,AT5G28295,AT5G28295,Uncharacterized protein,,-,False,AT5G28295,0,Chr5_5408,AT5G28290;AT5G28295,False,False,,
Chr1,24723665,2,2,0,snp,"nonsnp,smallindel",bio3,7.309433335885337,1,0.1293422308835116,1_CDS,CDS,AT1G66310,AT1G66310,FBD-associated F-box protein At1g66310,,-,False,AT1G66310,0,Chr1_12506,AT1G66310,False,True,379.0,"bio1,bio15,bio3"
Chr3,1228136,19,1,18,smallindel,"nonsnp,smallindel",bio15,7.296779001084993,1,0.0584633350372314,1_CDS,CDS,AT3G04560,AT3G04560,Nucleolar/coiled-body phosphoprotein,,-,False,AT3G04560,0,Chr3_665,AT3G04560,False,False,,
Chr2,12934729,1,4,3,smallindel,"nonsnp,smallindel",bio1,7.28507759736106,1,0.2096688747406005,1_CDS,CDS,AT2G30350,HIGLE,"Excinuclease ABC, C subunit, N-terminal",,-,False,AT2G30350,0,Chr2_5195,AT2G30350;AT2G30360;AT2G30362,False,False,,
Chr3,7649444,7,1,6,smallindel,"nonsnp,smallindel",bio8,7.260431116781043,1,0.306895602833141,1_CDS,CDS,AT3G21710,VUP1,Vascular-related unknown protein 1,,+,False,AT3G21710,0,Chr3_3739,AT3G21710,False,False,,
Chr4,11920052,1,25,24,smallindel,"nonsnp,smallindel",bio15,7.256009640049895,1,0.0720123323527249,1_CDS,CDS,AT4G22670,HIP1,FAM10 family protein At4g22670,,+,False,AT4G22670,0,Chr4_6161,AT4G22666;AT4G22670,False,True,855.0,bio15
Chr4,8066138,1,2,1,smallindel,"nonsnp,smallindel",pc1,7.202822847379186,1,0.263756817037409,1_CDS,CDS,AT4G13965,AT4G13965,Putative F-box/FBD/LRR-repeat protein At4g13965,defense,-,True,AT4G13965,0,Chr4_3594,AT4G13965,False,True,839.0,pc1
Chr2,15326395,2354,1,2353,sv,"nonsnp,sv",bio15,7.178663564748616,1,0.084943029013547,1_CDS,CDS,AT2G36540,AT2G36540,Mitochondrial import inner membrane translocase subunit TIM50,,+,False,AT2G36540,0,Chr2_6298,AT2G36540;AT2G36550;AT2G36560,False,False,,
Chr3,6912163,1,2,1,smallindel,"nonsnp,smallindel",bio15,7.16069347717194,1,0.07809410311959,1_CDS,CDS,AT3G19880,AT3G19880,F-box protein At3g19880,,-,False,AT3G19880,0,Chr3_3362,AT3G19870;AT3G19880,False,False,,
Chr3,8976520,1,295,294,sv,sv,bio10,6.812682119686103,2,0.0508444255048578,1_CDS,CDS,AT3G24610,AT3G24610,Putative F-box/kelch-repeat protein At3g24610,,-,False,AT3G24610,0,Chr3_4545,AT3G24600;AT3G24610;AT3G24612;AT3G24614;AT3G24615,False,False,,
Chr4,963452,3656,1422,2234,sv,sv,bio4,6.689221892635564,3,0.0565910718657753,1_CDS,CDS,AT4G02180,AT4G02180,DC1 domain-containing protein,,+,True,AT4G02180,0,Chr4_737,AT4G02180;AT4G02190,False,False,,
Chr2,11523547,2780,1,2779,sv,sv,bio3,6.638964968388243,1,0.2901591170917857,1_CDS,CDS,AT2G27000,CYP705A8,Putative cytochrome P450,temperature,-,False,AT2G27000,0,Chr2_4320,AT2G27000;AT2G27010,False,True,1441.0,bio3
Chr2,7923833,905,1,904,sv,sv,bio1,6.635646700959248,1,0.1482713981108232,1_CDS,CDS,AT2G18200,AT2G18200,Transmembrane protein,,-,True,AT2G18200,0,Chr2_2507,AT2G18200;AT2G18210,False,False,,
Chr5,23844286,486,1,485,sv,sv,bio15,6.625251353347149,2,0.1079137108542702,1_CDS,CDS,AT5G59060,AT5G59060,Reverse transcriptase family protein,,-,False,AT5G59060,0,Chr5_12291,AT5G59055,True,True,918.0,bio10
Chr5,8036567,7,285,278,sv,sv,bio6,6.6045126814750885,2,0.1033646952022205,1_CDS,CDS,AT5G23840,MRO11.12,MD-2-related lipid recognition domain-containing protein,,+,False,AT5G23840,0,Chr5_4137,AT5G23820;AT5G23830;AT5G23840,False,True,1065.0,"bio11,bio4,bio6"
Chr2,11436045,6811,1,6810,sv,sv,bio3,6.515840701514346,1,0.36317439512773,1_CDS,CDS,AT2G26810,AT2G26810,Methyltransferase family protein,,-,True,AT2G26810,0,Chr2_4279,AT2G26810;AT2G26820,False,False,,
Chr5,17262646,5939,1,5938,sv,sv,bio6,6.227703587859425,1,0.0594688979062167,1_CDS,CDS,AT5G43040,MMG4.5,Cysteine/Histidine-rich C1 domain family protein,,-,True,AT5G43040,0,Chr5_7948,AT5G43030;AT5G43040;AT5G43050,False,False,,
Chr5,9560222,10864,9300,1564,sv,sv,bio15,6.171160990657318,1,0.0514355247670953,1_CDS,CDS,AT5G27170,AT5G27170,Uncharacterized protein,,+,True,AT5G27170,0,Chr5_5173,AT5G27170;AT5G27200;AT5G27210,False,False,,
Chr1,9433103,63,1,62,sv,sv,bio15,6.017235901746254,1,0.0665468140081925,1_CDS,CDS,AT1G27160,AT1G27160,valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase),defense,+,False,AT1G27160,0,Chr1_5053,AT1G27160;AT1G27170,False,False,,
Chr4,9558305,8729,617,8112,sv,sv,bio3,5.925024457826127,1,0.0501555854623968,1_CDS,CDS,AT4G16990,RLM3,Disease resistance protein RLM3 (EC 3.2.2.6) (Protein RESISTANCE TO LEPTOSPHAERIA MACULANS 3),defense,+,True,AT4G16990,0,Chr4_4560,AT4G16990;AT4G17000,False,False,,
Chr3,11965676,600,1,599,sv,sv,bio15,5.825105917770622,1,0.0955432328310879,1_CDS,CDS,AT3G30370,AT3G30370,MuDR family transposase,,-,True,AT3G30370,0,Chr3_6151,AT3G30370,False,False,,
Chr5,17811147,1,433,432,sv,sv,bio3,5.809616156470708,1,0.1493089307438243,1_CDS,CDS,AT5G44220,AT5G44220,Putative F-box protein At5g44220,,+,False,AT5G44220,0,Chr5_8535,AT5G44220,False,False,,
Chr5,17506296,487,2,485,sv,sv,bio1,5.8028995446917335,1,0.066032127900557,1_CDS,CDS,AT5G43570,AT5G43570,"Serine protease inhibitor, potato inhibitor I-type family protein","oxidative,defense",+,True,AT5G43570,0,Chr5_8226,AT5G43570;AT5G43580,False,False,,
Chr5,5656471,2,1,1,smallindel,"nonsnp,smallindel",bio15,12.742852024255694,1,0.0776576995849609,2_UTR,5'UTR,AT5G17210,MKP11.6,"Transmembrane protein, putative (DUF1218)",,+,False,AT5G17210,0,Chr5_2736,AT5G17200;AT5G17210;AT5G17220,False,False,,
Chr5,5839507,1,3,2,smallindel,"nonsnp,smallindel",bio15,11.93269005682059,7,0.0841364427046342,2_UTR,3'UTR,AT5G17710,EMB1241,Co-chaperone GrpE family protein,temperature,-,False,AT5G17710,0,Chr5_2856,AT5G17710,False,False,,
Chr1,23689884,2,2,0,snp,"nonsnp,smallindel",bio15,10.811293169235174,1,0.0703793438998135,2_UTR,3'UTR,AT1G63840,AT1G63840,RING/U-box superfamily protein,water,-,False,AT1G63840,0,Chr1_11617,AT1G63840,False,False,,
Chr1,10949304,1,3,2,smallindel,"nonsnp,smallindel",bio15,10.588525507607407,1,0.15299100225622,2_UTR,5'UTR,AT1G30820,AT1G30820,CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase),,-,False,AT1G30820,0,Chr1_5820,AT1G30820,False,False,,
Chr1,23162649,8,1,7,smallindel,"nonsnp,smallindel",bio15,10.56209065260359,1,0.0593881552869623,2_UTR,3'UTR,AT1G62560,FMOGS-OX3,Flavin-containing monooxygenase FMO GS-OX3 (EC 1.14.13.237) (Flavin-monooxygenase glucosinolate S-oxygenase 3),,+,False,AT1G62560,0,Chr1_11162,AT1G62560,False,False,,
Chr1,4766469,2,2,0,snp,"nonsnp,smallindel",bio15,10.540145572930966,1,0.0559277480298822,2_UTR,5'UTR,AT1G13940,AT1G13940,"T-box transcription factor, putative (DUF863)",,-,False,AT1G13940,0,Chr1_2391,AT1G13940,False,True,233.0,bio15
Chr5,26212040,1,2,1,smallindel,"nonsnp,smallindel",bio15,10.329980343862356,1,0.069115860895677,2_UTR,3'UTR,AT5G65590,DOF5.7,Dof zinc finger protein DOF5.7 (AtDOF5.7),"temperature,water,defense",-,False,AT5G65590,0,Chr5_13584,AT5G65580;AT5G65590,False,True,476.0,bio15
Chr5,14273258,11,1,10,smallindel,"nonsnp,smallindel",bio15,10.182891578456044,1,0.3297387253154408,2_UTR,3'UTR,AT5G36228,AT5G36228,Nucleic acid binding / zinc ion binding protein,,+,False,AT5G36228,0,Chr5_6093,AT5G36228;AT5G36230,False,True,1.0,bio15
Chr3,7957717,2,1,1,smallindel,"nonsnp,smallindel",bio15,9.763892844669154,2,0.0734407359903508,2_UTR,3'UTR,AT3G22430,MCB17.18,RNA recognition motif XS domain protein,,+,False,AT3G22430,0,Chr3_3897,AT3G22430;AT3G22436;AT3G22440,False,True,216.0,bio15
Chr1,11412699,2,1,1,smallindel,"nonsnp,smallindel",bio15,9.525271993145042,1,0.0501844720406965,2_UTR,3'UTR,AT1G31814,FRL2,Inactive FRIGIDA-like protein 2 (AtFRL2),flowering,-,False,AT1G31814,0,Chr1_6155,AT1G31814,False,False,,
Chr4,7386683,2,1,1,smallindel,"nonsnp,smallindel",bio15,9.422310660955189,1,0.0622092973102222,2_UTR,5'UTR,AT4G12450,AT4G12450,Zinc finger (C2H2 type) family protein,,-,False,AT4G12450,0,Chr4_3078,AT4G12450,False,True,86.0,bio15
Chr4,12103235,1,2,1,smallindel,"nonsnp,smallindel",pc1,9.350884008585505,3,0.0564901828765869,2_UTR,3'UTR,AT4G23100,GSH1,"Glutamate--cysteine ligase, chloroplastic (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase) (Protein ROOT MERISTEMLESS 1) (AtGCL) (Protein cadmium-sensitive 2) (Protein phytoalexin-deficient 2)","flowering,temperature,defense",-,False,AT4G23100,0,Chr4_6271,AT4G23100,False,True,322.0,"bio1,bio10,bio11,bio15"
Chr4,10813670,1,2,1,smallindel,"nonsnp,smallindel",bio15,9.340854405382718,1,0.0854491266337308,2_UTR,5'UTR,AT4G19960,POT9,Potassium transporter 9 (AtPOT9),,+,False,AT4G19960,0,Chr4_5504,AT4G19960,False,True,84.0,bio15
Chr1,11719883,1,3,2,smallindel,"nonsnp,smallindel",bio15,9.278963716500778,1,0.0602031458507884,2_UTR,5'UTR,AT1G32450,NPF7.3,Protein NRT1/ PTR FAMILY 7.3 (AtNPF7.3) (Nitrate transporter 1.5),,-,False,AT1G32450,0,Chr1_6382,AT1G32450,False,True,6.0,bio15
Chr2,8575995,2,2,0,snp,"nonsnp,smallindel",bio15,9.195487220917286,1,0.0574920014901594,2_UTR,5'UTR,AT2G19870,AT2G19870,tRNA/rRNA methyltransferase (SpoU) family protein,,+,False,AT2G19870,0,Chr2_2810,AT2G19870,False,True,1065.0,bio1
Chr2,17252948,1,11,10,smallindel,"nonsnp,smallindel",pc1,9.12135101729166,6,0.3338622613386675,2_UTR,3'UTR,AT2G41380,AT2G41380,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,,+,False,AT2G41380,0,Chr2_7310,AT2G41380;AT2G41390;AT2G41400,False,True,220.0,"bio1,bio11,bio15,bio3,bio6,pc1"
Chr5,7491392,1,2,1,smallindel,"nonsnp,smallindel",bio15,9.098354634195337,1,0.3517962802540172,2_UTR,3'UTR,AT5G22560,MQJ16.10,"Transmembrane protein, putative (DUF247)",,-,False,AT5G22560,0,Chr5_3802,AT5G22555;AT5G22560,False,False,,
Chr3,2897877,2,1,1,smallindel,"nonsnp,smallindel",bio15,9.05968308917024,1,0.1163764866915616,2_UTR,3'UTR,AT3G09410,PAE5,Pectin acetylesterase 5 (EC 3.1.1.-),,-,False,AT3G09410,0,Chr3_1411,AT3G09405;AT3G09410,False,True,229.0,bio15
Chr3,18766791,1,2,1,smallindel,"nonsnp,smallindel",bio15,8.961485618823682,1,0.0783503543246876,2_UTR,3'UTR,AT3G50570,AT3G50570,Hydroxyproline-rich glycoprotein family protein,,-,True,AT3G50570,0,Chr3_8313,AT3G50560;AT3G50570,False,True,118.0,bio15
Chr5,6703242,1,2,1,smallindel,"nonsnp,smallindel",bio15,8.958559886208569,4,0.1379248012195933,2_UTR,5'UTR,AT5G19830,AT5G19830,"Peptidyl-tRNA hydrolase, mitochondrial (EC 3.1.1.29) (M-PTH) (Mitochondrial CRS2-like protein) (Mitochondrial RNA splicing factor)",,+,False,AT5G19830,0,Chr5_3308,AT5G19820;AT5G19830;AT5G19840;AT5G19850,False,True,9.0,"bio10,bio15"
Chr5,6448715,2,2,0,snp,"nonsnp,smallindel",bio15,8.949847586757787,1,0.077313634482297,2_UTR,5'UTR,AT5G19172,AT5G19172,Defensin-like protein 49,,-,True,AT5G19172,0,Chr5_3171,AT5G19170;AT5G19172;AT5G19175;AT5G19180,False,False,,
Chr5,8096319,3,1,2,smallindel,"nonsnp,smallindel",bio15,8.907144140771171,1,0.1757841110229492,2_UTR,5'UTR,AT5G23970,MZF18.15,HXXXD-type acyl-transferase family protein,,+,False,AT5G23970,0,Chr5_4191,AT5G23970,False,True,35.0,bio15
Chr3,9540418,2,1,1,smallindel,"nonsnp,smallindel",bio15,8.787356749942811,1,0.0781431143934076,2_UTR,3'UTR,AT3G26100,AT3G26100,Regulator of chromosome condensation (RCC1) family protein,,+,True,AT3G26100,0,Chr3_5040,AT3G26100;AT3G26110,False,False,,
Chr3,21299575,3,1,2,smallindel,"nonsnp,smallindel",bio15,8.784696309380468,1,0.1922390027479692,2_UTR,5'UTR,AT3G57530,CPK32,Calcium-dependent protein kinase 32 (EC 2.7.11.1),"water,calcium",-,False,AT3G57530,0,Chr3_9674,AT3G57530,False,False,,
Chr1,28439561,2,1,1,smallindel,"nonsnp,smallindel",bio1,8.662679930342113,1,0.2049231529235839,2_UTR,5'UTR,AT1G75730,AT1G75730,Uncharacterized protein,,-,False,AT1G75730,0,Chr1_14900,AT1G75730,False,False,,
Chr2,11533967,2,1,1,smallindel,"nonsnp,smallindel",bio3,8.529979817365689,2,0.1435864621942693,2_UTR,3'UTR,AT2G27030,CAM5,Calmodulin-5 (CaM-5),"defense,calcium",+,False,AT2G27030,0,Chr2_4332,AT2G27030,False,True,96.0,"bio1,bio3"
Chr3,15802688,1,12,11,smallindel,"nonsnp,smallindel",bio15,8.513568855372828,1,0.1682024652307683,2_UTR,3'UTR,AT3G44020,AT3G44020,Thylakoid lumenal P17.1 protein,,+,False,AT3G44020,0,Chr3_6526,AT3G44020,False,True,68.0,bio15
Chr2,15490306,15,1,14,smallindel,"nonsnp,smallindel",bio15,8.496396549039341,3,0.1049577106129039,2_UTR,5'UTR,AT2G36895,AT2G36895,"D-tagatose-1,6-bisphosphate aldolase subunit",,-,False,AT2G36895,0,Chr2_6382,AT2G36895,False,True,200.0,"bio1,bio10,bio15"
Chr5,4002967,5,1,4,smallindel,"nonsnp,smallindel",bio17,8.480890557694147,3,0.1015233451669866,2_UTR,3'UTR,AT5G12370,SEC10a,Exocyst complex component SEC10a (AtSec10a) (Exocyst complex component 5),,-,False,AT5G12370,0,Chr5_2012,AT5G12370,False,False,,
Chr1,21663009,4,4,0,snp,"nonsnp,smallindel",bio5,8.431240094905736,4,0.3654097643765536,2_UTR,3'UTR,AT1G58350,ZW18,Serine esterase family protein,,-,False,AT1G58350,0,Chr1_10066,AT1G58350,False,True,5.0,"bio1,bio10,bio5,pc1"
