site,generation,af,bio1,n,cov
13,2,0.07803420722484589,20.4127104883333,70.0,7.5848471
24,2,0.07852554321289062,6.00886075833333,4.0,6.3278305
25,2,0.02398437075316906,11.3935151425,46.0,7.988832413043478
27,2,0.014736524783074856,7.42514504583333,14.0,3.450312642857143
28,2,0.03912998363375664,16.8683085291667,38.0,7.111800763157895
32,2,0.246149942278862,17.8151688958333,13.0,7.569848461538461
33,2,0.0016665458679199219,12.1987028595833,6.0,5.861036666666667
42,2,0.0795477107167244,10.927050325,7.0,5.696034571428571
43,2,0.007701873779296875,18.0009508,1.0,1.230595
45,2,0.0496295690536499,15.65428636375,8.0,2.731584875
46,2,0.01441518496721983,11.2770271166667,48.0,7.946384041666668
49,2,0.02046925202012062,11.7212804541667,64.0,7.869987453125
52,2,0.009523972868919373,12.0052842,40.0,5.6889760250000005
53,2,0.01622202806174755,12.3622173525,34.0,7.568011647058823
54,2,0.014401490800082684,12.4401688625,35.0,7.947014257142857
55,2,0.061445094645023346,11.5645014791667,25.0,5.44309068
57,2,0.010677983053028584,12.27648105125,155.0,6.592280580645161
1,3,0.012258834205567837,10.7439056875,47.0,6.674405106382979
4,3,0.026484446600079536,17.5134744333333,11.0,4.721468181818182
5,3,0.04035064950585365,14.99635534775,36.0,7.081636694444445
9,3,0.01222178153693676,12.4816687833333,30.0,7.676399666666667
10,3,0.002880096435546875,20.5509234475,5.0,2.6224494
11,3,0.024527931585907936,13.8013959575,10.0,8.0255115
13,3,0.111591637134552,20.4127104883333,24.0,6.923268375
27,3,0.009299993515014648,7.42514504583333,17.0,4.196047294117647
28,3,0.04365771636366844,16.8683085291667,22.0,7.0317105
32,3,0.23604734241962433,17.8151688958333,14.0,6.0823532857142855
42,3,0.023013433441519737,10.927050325,9.0,2.985590888888889
43,3,0.057349905371665955,18.0009508,15.0,4.3551894
45,3,0.03487921878695488,15.65428636375,32.0,4.29931578125
46,3,0.011998128145933151,11.2770271166667,59.0,7.57053293220339
48,3,0.010375866666436195,8.50676815416667,13.0,3.2855273846153845
52,3,0.014284546487033367,12.0052842,35.0,7.638940371428571
53,3,0.012421400286257267,12.3622173525,23.0,8.829959391304348
54,3,0.014582991600036621,12.4401688625,24.0,7.305018833333333
55,3,0.021717309951782227,11.5645014791667,12.0,5.7244166666666665
57,3,0.06645027548074722,12.27648105125,64.0,6.747920640625
