source_type	ecotype_id	run_accession	sample_alias	study_accession	fastq_ftp	fastq_md5	base_count	read_count	library_strategy	library_layout	instrument_model
ENA	6177	SRR1945695	6177	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945695/SRR1945695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945695/SRR1945695_2.fastq.gz	69f659798e58bc2a736c2c542aab3730;9f43594536712d73d466153eb9f2841f	4949817832	32564591	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6180	SRR1945696	6180	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945696/SRR1945696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945696/SRR1945696_2.fastq.gz	0c17841ceb0c892b650b3ee5a0ad010d;66ab99f66fd4be1c006d503569276282	4471554544	29418122	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6188	SRR1945698	6188	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945698/SRR1945698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945698/SRR1945698_2.fastq.gz	e4ec81baf396dd322824205e1fd89389;53312fe072f309aad452051b7b15fb78	3895037696	25625248	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6195	SRR1945704	6195	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945704/SRR1945704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945704/SRR1945704_2.fastq.gz	3e9804efec90da2257e892b71000ae46;9afdf7893b81c533c49b39a720749c79	5008683480	32951865	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6209	SRR1945709	6209	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945709/SRR1945709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945709/SRR1945709_2.fastq.gz	eed2fe6c227ded2b4cba86802aa609b1;4bb989238972f2374b58aa010eac2910	6141504064	40404632	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6216	SRR1945712	6216	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945712/SRR1945712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945712/SRR1945712_2.fastq.gz	482a0fea3b8d9d349d19f1cd2ee4f8ec;1e2bff457a7833c3b00027776b5f312e	11290072232	74276791	WGS	PAIRED	Illumina HiSeq 2000
ENA	6243	SRR1945724	6243	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945724/SRR1945724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945724/SRR1945724_2.fastq.gz	ec33770d96b8c210110b28bdafc3e550;1950a4259e6f3a9600ed3f3477934845	3389684664	22300557	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6940	SRR1945775	6940	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945775/SRR1945775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945775/SRR1945775_2.fastq.gz	38309e3f7977ad94da7c7cae51457858;1f4be7bd53fc793c55cec8a5e102366e	2059494636	10195518	WGS	PAIRED	Illumina HiSeq 2000
ENA	6961	SRR1945785	6961	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945785/SRR1945785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945785/SRR1945785_2.fastq.gz	07962f1be69dd9fd4ac8da0e6c1d89ea;39b5644cbae7480f17060c208d4af5bc	2672231538	13228869	WGS	PAIRED	Illumina HiSeq 2000
ENA	6987	SRR1945802	6987	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945802/SRR1945802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945802/SRR1945802_2.fastq.gz	56de86cd2612acaa4dac2d9ebff6dbbf;deebee194e4c88e283248b3fe953c932	1721908398	8524299	WGS	PAIRED	Illumina HiSeq 2000
ENA	7008	SRR1945810	7008	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945810/SRR1945810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945810/SRR1945810_2.fastq.gz	a12506cef474366a74fc8a732dee0d99;cddf83042766c37240ee496bf1a35d59	1970170640	9753320	WGS	PAIRED	Illumina HiSeq 2000
ENA	7013	SRR1945811	7013	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945811/SRR1945811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945811/SRR1945811_2.fastq.gz	137a20d67be0091a616ce14e1993c509;bab16eecb27900241905f45b9db25491	2135779128	10573164	WGS	PAIRED	Illumina HiSeq 2000
ENA	7028	SRR1945815	7028	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945815/SRR1945815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945815/SRR1945815_2.fastq.gz	79227e89002ded91b2884d542cfa29ed;0269e409ba21df5aac7a9760b4768dcd	2298080876	11376638	WGS	PAIRED	Illumina HiSeq 2000
ENA	7031	SRR1945816	7031	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945816/SRR1945816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945816/SRR1945816_2.fastq.gz	22edc40e90913b45ed2d17cd2ebf4bc9;c230ad51d650d3c020ebc1a7ba58ea93	1713821126	8484263	WGS	PAIRED	Illumina HiSeq 2000
ENA	7036	SRR1945818	7036	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945818/SRR1945818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945818/SRR1945818_2.fastq.gz	559aa1a097e98232772a3bbfdc57b435;cc4594645c86085099ac5bb429028e77	3216259756	15922078	WGS	PAIRED	Illumina HiSeq 2000
ENA	7062	SRR1945821	7062	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945821/SRR1945821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945821/SRR1945821_2.fastq.gz	cb2bc12f7622ee24eb83b7a40a2875d2;a84035421da0dc8084d18b44f06213dd	3533958690	17494845	WGS	PAIRED	Illumina HiSeq 2000
ENA	7067	SRR1945824	7067	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945824/SRR1945824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945824/SRR1945824_2.fastq.gz	0e2d0b92a7ab6493415691a67de1a428;6e318558ffd294ca615f553281bc390d	2589210942	25384421	WGS	PAIRED	Illumina Genome Analyzer II
ENA	7071	SRR1945826	7071	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945826/SRR1945826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945826/SRR1945826_2.fastq.gz	8933278ec0c7af644f42776017ace148;149fba9f2514e2b64d61d5e7d22ec5dd	2460981352	12183076	WGS	PAIRED	Illumina HiSeq 2000
ENA	7077	SRR1945828	7077	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945828/SRR1945828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945828/SRR1945828_2.fastq.gz	022fe57f063f02c3a8035220a8329453;4bdd80b6b29cd2cda5178e9eae98c07e	2001768692	9909746	WGS	PAIRED	Illumina HiSeq 2000
ENA	7103	SRR1945834	7103	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945834/SRR1945834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945834/SRR1945834_2.fastq.gz	6ca036199e548d027315165eaf4370d8;b079976c30db0a9371b3fdaf6af8cb93	1801311366	8917383	WGS	PAIRED	Illumina HiSeq 2000
ENA	7106	SRR1945835	7106	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945835/SRR1945835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945835/SRR1945835_2.fastq.gz	11a2f8f6c3ff907d28e376fedca45ac8;9acd85eacbf208172423cb77a119fcd1	1940641270	9607135	WGS	PAIRED	Illumina HiSeq 2000
ENA	7125	SRR1945842	7125	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945842/SRR1945842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945842/SRR1945842_2.fastq.gz	6a79d917c3ceb4844d97c6303102fdcb;f99445a294c7e331b8102e18043c08db	3158588554	15636577	WGS	PAIRED	Illumina HiSeq 2000
ENA	7126	SRR1945843	7126	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945843/SRR1945843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945843/SRR1945843_2.fastq.gz	022b4742fcbc506cda996831a4116679;735e43574c1b3870ab317c88e7909db3	2461231024	12184312	WGS	PAIRED	Illumina HiSeq 2000
ENA	7165	SRR1945856	7165	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945856/SRR1945856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945856/SRR1945856_2.fastq.gz	160d5c89885ee757fd7dd291b6c21320;5761aba9e28cb9a0c5c2046954ccb8e6	2256534728	11170964	WGS	PAIRED	Illumina HiSeq 2000
ENA	7203	SRR1945865	7203	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945865/SRR1945865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945865/SRR1945865_2.fastq.gz	eac6000d495d8e720896bf397c49fe97;bb6fa7b43aae05edb5b736e6e1ffb330	3559948212	17623506	WGS	PAIRED	Illumina HiSeq 2000
ENA	7209	SRR1945868	7209	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945868/SRR1945868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945868/SRR1945868_2.fastq.gz	1e115df7d8a09b3638d232a513574ae4;a39dd0c10750f40ca2957f7d7b1b17b0	4056847810	20083405	WGS	PAIRED	Illumina HiSeq 2000
ENA	7218	SRR1945871	7218	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945871/SRR1945871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945871/SRR1945871_2.fastq.gz	cbe6f414996b9255611cc1c531051157;816536d6476445bb036e34ca507c7a82	1819952532	9009666	WGS	PAIRED	Illumina HiSeq 2000
ENA	7244	SRR1945875	7244	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945875/SRR1945875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945875/SRR1945875_2.fastq.gz	9f5679a9abf6256cf961029875fbf19e;d6933a37cf1996d58663bebdde884705	1698841210	8410105	WGS	PAIRED	Illumina HiSeq 2000
ENA	7268	SRR1945880	7268	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945880/SRR1945880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945880/SRR1945880_2.fastq.gz	c1795e959e5cf605b031b711678c6525;3a5e42b23cf8a48b956fbe5940f4769d	1797440844	8898222	WGS	PAIRED	Illumina HiSeq 2000
ENA	7273	SRR1945881	7273	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945881/SRR1945881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945881/SRR1945881_2.fastq.gz	63de905e8c0e3833cf88af222a08947a;e13d716c0eedb655c74ad4795ea3a217	3167354388	31052494	WGS	PAIRED	Illumina Genome Analyzer II
ENA	7276	SRR1945882	7276	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945882/SRR1945882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1945882/SRR1945882_2.fastq.gz	6b555ef4172254cbe3728440f863252e;63d823405b8df9b6f058ebb6800e7a21	2136221912	10575356	WGS	PAIRED	Illumina HiSeq 2000
ENA	7282	SRR1945884	7282	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945884/SRR1945884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945884/SRR1945884_2.fastq.gz	a9575e012274d710594bc9943fffde1d;19c34444d151881e805c9625fb95aba4	3970543714	19656157	WGS	PAIRED	Illumina HiSeq 2000
ENA	7287	SRR1945885	7287	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945885/SRR1945885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945885/SRR1945885_2.fastq.gz	0963912d2597788f3f7f45069cba2f89;bed09ace24012803f0899b2a52d35d3b	11115408348	55026774	WGS	PAIRED	Illumina HiSeq 2000
ENA	7296	SRR1945887	7296	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945887/SRR1945887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945887/SRR1945887_2.fastq.gz	95eee5aad3c5eb6d1c4abacfa919e300;738b6296af0da591154cf927a5067e72	2314935600	11574678	WGS	PAIRED	Illumina HiSeq 2000
ENA	7333	SRR1945901	7333	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945901/SRR1945901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945901/SRR1945901_2.fastq.gz	c1106d7b44c9d3a4e9e5c24e6886b580;2bb5b5dc3bcb78a4370fcc2b6f9ce11a	1596165620	7901810	WGS	PAIRED	Illumina HiSeq 2000
ENA	7353	SRR1945910	7353	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945910/SRR1945910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945910/SRR1945910_2.fastq.gz	ccabb0dbd1a3ea8cf5905dd8ba09d005;ddca2f22fad57a3d8ae2f39e17f584b4	1906192796	9436598	WGS	PAIRED	Illumina HiSeq 2000
ENA	7384	SRR1945921	7384	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945921/SRR1945921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945921/SRR1945921_2.fastq.gz	22ae09c8965b3ffa5ca1d38e14e3f3cc;272edad70b405f5652c9591250d16dce	2082133786	10307593	WGS	PAIRED	Illumina HiSeq 2000
ENA	7394	SRR1945923	7394	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945923/SRR1945923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945923/SRR1945923_2.fastq.gz	c76cabdc8cbed357358be5a0202aebcd;01bef8d9fc59ce1fb591da055830d799	2330633580	11537790	WGS	PAIRED	Illumina HiSeq 2000
ENA	7404	SRR1945925	7404	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945925/SRR1945925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945925/SRR1945925_2.fastq.gz	9bf718964f2992159387d71e9b4ddbaa;f5166adaedbdf96a81c5025658344b7b	1888090768	9346984	WGS	PAIRED	Illumina HiSeq 2000
ENA	7521	SRR1945946	7521	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945946/SRR1945946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945946/SRR1945946_2.fastq.gz	a66f0a60667d9d501dcbca14857a3837;db01fe95407a8b2cf2432ff8b2cb9ffc	8886316128	43991664	WGS	PAIRED	Illumina HiSeq 2000
ENA	8240	SRR1945975	8240	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945975/SRR1945975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945975/SRR1945975_2.fastq.gz	5d01cb5bfc93729f72ba4ed38d2e5de0;cf47d2122f7d8540fe02b15395363b3f	3867922568	25446859	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	8311	SRR1945994	8311	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945994/SRR1945994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945994/SRR1945994_2.fastq.gz	f2ca5a1291e5dc1e1b37e205c53bd841;d1919079b3aab26e4f84f0536a349685	1750669966	8666683	WGS	PAIRED	Illumina HiSeq 2000
ENA	8312	SRR1945995	8312	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945995/SRR1945995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945995/SRR1945995_2.fastq.gz	f88e7f9e8023c83509af886fc8791de8;a91520d8d257a9a3595bf729fa2ed740	2140275042	10595421	WGS	PAIRED	Illumina HiSeq 2000
ENA	8357	SRR1946003	8357	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1946003/SRR1946003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1946003/SRR1946003_2.fastq.gz	09ea5b92cfcc7eb12e7ba35de4e2e017;5910dff361555597f37010d539457932	14311034814	70846707	WGS	PAIRED	Illumina HiSeq 2000
ENA	8376	SRR1946007	8376	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946007/SRR1946007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946007/SRR1946007_2.fastq.gz	0eee6e5c8f3f24e93f578d5ed32c8f60;13dbf81827bc8b3b56daca39c04f0433	4830234420	21955611	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9057	SRR1946021	9057	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946021/SRR1946021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1946021/SRR1946021_2.fastq.gz	3d500f74d9a889615aa4e0c4fcd54fd3;a61d5e87d1b0acd1def38be4b15a1236	5557067408	36559654	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9058	SRR1946022	9058	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946022/SRR1946022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946022/SRR1946022_2.fastq.gz	7448ba9de31fe5cf3d1b540412397db2;09c7d25755c7857708e9adfd851cbd13	9506335300	43210615	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9323	SRR1946057	9323	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946057/SRR1946057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946057/SRR1946057_2.fastq.gz	3f76e750bcf2dd8e0b7a48149fe82f65;8180f06947f7677bae2a08f874b9c150	5631290376	37047963	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9371	SRR1946067	9371	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946067/SRR1946067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946067/SRR1946067_2.fastq.gz	e463c217628061d494a0ac59e4112ad5;6fbd5380f2af5e34b8ccf47c34fd075d	6517040736	42875268	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9394	SRR1946077	9394	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946077/SRR1946077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946077/SRR1946077_2.fastq.gz	40ec5ffa87a323ce65349d42fb2b8dd5;9235b7973daea5cf30067dd3868075e2	5716508568	37608609	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9427	SRR1946090	9427	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946090/SRR1946090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946090/SRR1946090_2.fastq.gz	f97290599aee6003c716922a0e32da4d;f452126d3c9364ee11175d4f2bb03fda	6257165880	41165565	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9481	SRR1946104	9481	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1946104/SRR1946104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1946104/SRR1946104_2.fastq.gz	0bb1ab01bbba665f15e2a549a77f4115;3682e03aed882dcead3577742609b51d	4080554760	26845755	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	9507	SRR1946107	9507	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946107/SRR1946107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946107/SRR1946107_2.fastq.gz	6f508355f6fabfce80e344d638ca69f5;264597d04e0a7d09aceb1ff9b79bfee0	3176619000	15883095	WGS	PAIRED	Illumina HiSeq 2000
ENA	9510	SRR1946110	9510	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946110/SRR1946110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946110/SRR1946110_2.fastq.gz	82fa6c92df4849e08d61337746f765c8;1d69211c4b816f31b5be3fafc43e9e6e	3571262800	17856314	WGS	PAIRED	Illumina HiSeq 2000
ENA	9512	SRR1946112	9512	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946112/SRR1946112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/002/SRR1946112/SRR1946112_2.fastq.gz	2bdd4f5cd9c03ecb52be96a2c84c4bba;d88b06cbb1063c8b67ab58c8a62b46ce	4362600200	21813001	WGS	PAIRED	Illumina HiSeq 2000
