chrom	sv_pos	sv_class	sv_size	sv_ac	max_r2_within	best_within	best_dist_within	sv_ac_cross	max_r2_cross	best_cross	best_dist_cross
Chr1	28212727	small_sv	55	12	0.05927	28212381	-346	12	0.05927	28212381	-346
Chr1	28680140	small_sv	55	12	0.134124	28671460	-8680	12	0.134124	28671460	-8680
Chr1	29065743	small_sv	86	31	0.190821	29048324	-17419	31	0.190821	29048324	-17419
Chr1	30113649	small_sv	191	13	0.198483	30076260	-37389	13	0.198483	30076260	-37389
Chr1	30250776	medium_sv	4955	16	0.185676	30276223	25447	16	0.185676	30276223	25447
Chr2	208299	small_sv	61	85	0.195409	212269	3970	85	0.195409	212269	3970
Chr2	594560	small_sv	91	18	0.120167	598580	4020	18	0.120167	598580	4020
Chr2	1180689	small_sv	164	12	0.059508	1147371	-33318	12	0.059508	1147371	-33318
Chr2	1434577	small_sv	138	24	0.130812	1443092	8515	24	0.130812	1443092	8515
Chr2	1438900	small_sv	69	12	0.131886	1445361	6461	12	0.131886	1445361	6461
Chr2	1682178	small_sv	77	14	0.12628	1730546	48368	14	0.12628	1730546	48368
Chr2	1682178	small_sv	79	106	0.108847	1687731	5553	106	0.108847	1687731	5553
Chr2	2050387	small_sv	176	21	0.18875	2036311	-14076	21	0.18875	2036311	-14076
Chr2	2056205	small_sv	55	23	0.196557	2058046	1841	23	0.196557	2058046	1841
Chr2	2056205	small_sv	55	23	0.196557	2058046	1841	15	0.123922	2060989	4784
Chr2	2056205	small_sv	55	15	0.123922	2060989	4784	23	0.196557	2058046	1841
Chr2	2056205	small_sv	55	15	0.123922	2060989	4784	15	0.123922	2060989	4784
Chr2	2179266	small_sv	406	20	0.170974	2158769	-20497	20	0.170974	2158769	-20497
Chr2	2781362	medium_sv	1067	17	0.18364	2814500	33138	17	0.18364	2814500	33138
Chr2	5400581	small_sv	75	12	0.157698	5420376	19795	12	0.157698	5420376	19795
Chr2	5631554	medium_sv	3897	70	0.185091	5615021	-16533	70	0.185091	5615021	-16533
Chr2	5653662	small_sv	52	19	0.13062	5650655	-3007	19	0.13062	5650655	-3007
Chr2	5653662	small_sv	54	13	0.16837	5629610	-24052	13	0.16837	5629610	-24052
Chr2	5656878	medium_sv	3203	74	0.126519	5625577	-31301	74	0.126519	5625577	-31301
Chr2	6286322	small_sv	153	13	0.113647	6244361	-41961	13	0.113647	6244361	-41961
Chr2	6394117	small_sv	104	52	0.146125	6393834	-283	52	0.146125	6393834	-283
Chr2	6487270	small_sv	493	13	0.121047	6456489	-30781	13	0.121047	6456489	-30781
Chr2	6841760	small_sv	53	175	0.121	6865042	23282	175	0.121	6865042	23282
Chr2	7268214	small_sv	60	46	0.160655	7245696	-22518	46	0.160655	7245696	-22518
Chr2	8854355	medium_sv	897	12	0.198905	8869104	14749	12	0.198905	8869104	14749
Chr2	9131953	small_sv	297	15	0.194034	9129441	-2512	15	0.194034	9129441	-2512
Chr2	9331452	small_sv	140	12	0.146133	9340094	8642	12	0.146133	9340094	8642
Chr2	10119445	small_sv	83	17	0.146133	10113439	-6006	17	0.146133	10113439	-6006
Chr2	10272683	medium_sv	709	17	0.139994	10275969	3286	17	0.138357	10275969	3286
Chr2	10273950	small_sv	175	18	0.170472	10269350	-4600	18	0.170472	10269350	-4600
Chr2	11512196	small_sv	65	14	0.140502	11543244	31048	14	0.140502	11543244	31048
Chr2	11699231	medium_sv	947	12	0.193392	11702534	3303	12	0.193392	11702534	3303
Chr2	12435053	small_sv	142	12	0.18862	12415093	-19960	12	0.18862	12415093	-19960
Chr2	12435222	small_sv	134	21	0.177381	12483007	47785	21	0.177381	12483007	47785
Chr2	12557623	medium_sv	689	12	0.113112	12606642	49019	12	0.113112	12606642	49019
Chr2	12651902	small_sv	141	12	0.15635	12647851	-4051	12	0.15635	12647851	-4051
Chr2	12657379	small_sv	344	16	0.157698	12666090	8711	16	0.157698	12666090	8711
Chr2	13906051	medium_sv	2751	19	0.121869	13940129	34078	19	0.121869	13940129	34078
Chr2	14132932	small_sv	281	12	0.139937	14125516	-7416	12	0.139937	14125516	-7416
Chr2	14481844	small_sv	53	16	0.157698	14523555	41711	16	0.157698	14523555	41711
Chr2	15332316	small_sv	85	18	0.161161	15346658	14342	18	0.161161	15346658	14342
Chr2	16125668	medium_sv	856	16	0.088958	16107363	-18305	16	0.088958	16107363	-18305
Chr2	16125668	medium_sv	856	16	0.088958	16107363	-18305	49	0.143335	16122159	-3509
Chr2	16125668	medium_sv	856	16	0.088958	16107363	-18305	22	0.074998	16083526	-42142
Chr2	16125668	medium_sv	856	49	0.143335	16122159	-3509	16	0.088958	16107363	-18305
Chr2	16125668	medium_sv	856	49	0.143335	16122159	-3509	49	0.143335	16122159	-3509
Chr2	16125668	medium_sv	856	49	0.143335	16122159	-3509	22	0.074998	16083526	-42142
Chr2	16125668	medium_sv	856	22	0.074998	16083526	-42142	16	0.088958	16107363	-18305
Chr2	16125668	medium_sv	856	22	0.074998	16083526	-42142	49	0.143335	16122159	-3509
Chr2	16125668	medium_sv	856	22	0.074998	16083526	-42142	22	0.074998	16083526	-42142
Chr2	16442283	small_sv	56	13	0.190826	16436320	-5963	13	0.190826	16436320	-5963
Chr2	16960948	small_sv	185	12	0.125985	16950951	-9997	12	0.112654	16950951	-9997
Chr2	17095519	small_sv	126	17	0.071267	17068512	-27007	17	0.071267	17068512	-27007
Chr2	17106986	small_sv	69	19	0.121869	17109378	2392	19	0.121869	17109378	2392
Chr2	17106986	small_sv	71	16	0.108461	17117443	10457	16	0.108461	17117443	10457
Chr2	17138274	small_sv	368	19	0.121954	17140515	2241	19	0.121954	17140515	2241
Chr2	17203824	medium_sv	674	118	0.191353	17198595	-5229	118	0.191353	17198595	-5229
Chr2	18089620	small_sv	244	14	0.185815	18111831	22211	14	0.185815	18111831	22211
Chr2	18439331	medium_sv	845	13	0.060676	18423457	-15874	13	0.060676	18423457	-15874
Chr2	18899236	medium_sv	3685	16	0.184518	18941864	42628	16	0.184518	18941864	42628
Chr2	19075466	medium_sv	754	12	0.160769	19083309	7843	12	0.160769	19083309	7843
Chr2	19235117	small_sv	106	70	0.197621	19227376	-7741	70	0.197621	19227376	-7741
Chr2	19317192	small_sv	131	215	0.187933	19362198	45006	215	0.187933	19362198	45006
Chr2	19624830	small_sv	438	41	0.182638	19588431	-36399	41	0.182638	19588431	-36399
Chr3	206514	small_sv	226	12	0.160769	204511	-2003	12	0.160769	204511	-2003
Chr3	1250493	medium_sv	2575	24	0.186398	1229565	-20928	24	0.186398	1229565	-20928
Chr3	1358833	small_sv	76	15	0.157026	1372654	13821	15	0.157026	1372654	13821
Chr3	1855918	small_sv	70	12	0.170974	1842854	-13064	12	0.170974	1842854	-13064
Chr3	2205630	medium_sv	3158	25	0.171999	2202004	-3626	25	0.171999	2202004	-3626
Chr3	2209413	small_sv	100	16	0.102805	2211460	2047	16	0.102805	2211460	2047
Chr3	3537979	medium_sv	1135	203	0.097465	3570256	32277	203	0.097465	3570256	32277
Chr3	3657457	small_sv	256	14	0.097346	3685936	28479	14	0.097346	3685936	28479
Chr3	4726885	medium_sv	2445	19	0.164419	4720212	-6673	19	0.164419	4720212	-6673
Chr3	4726885	medium_sv	2444	208	0.196256	4737260	10375	208	0.196256	4737260	10375
Chr3	5390033	medium_sv	3107	16	0.185145	5381615	-8418	16	0.185145	5381615	-8418
Chr3	5576002	medium_sv	540	12	0.123481	5577559	1557	12	0.123481	5577559	1557
Chr3	5584785	small_sv	467	18	0.127804	5601918	17133	18	0.127804	5601918	17133
Chr3	6158574	small_sv	93	17	0.112219	6123864	-34710	17	0.112219	6123864	-34710
Chr3	6373649	medium_sv	4970	25	0.107091	6404637	30988	25	0.107091	6404637	30988
Chr3	6540955	small_sv	79	137	0.158974	6558283	17328	137	0.157271	6558283	17328
Chr3	7011400	small_sv	477	23	0.161093	7037752	26352	23	0.161093	7037752	26352
Chr3	7289672	small_sv	76	31	0.129679	7288467	-1205	31	0.129679	7288467	-1205
Chr3	7936547	small_sv	73	12	0.092342	7908204	-28343	12	0.092342	7908204	-28343
Chr3	7936547	small_sv	72	43	0.198919	7934058	-2489	43	0.198919	7934058	-2489
Chr3	8140597	small_sv	160	113	0.192595	8140019	-578	113	0.192595	8140019	-578
Chr3	8228604	small_sv	73	15	0.128396	8227667	-937	15	0.128396	8227667	-937
Chr3	8925741	small_sv	99	90	0.197867	8925685	-56	90	0.197867	8925685	-56
Chr3	9304467	small_sv	69	86	0.160154	9320984	16517	86	0.160154	9320984	16517
Chr3	9588775	small_sv	220	14	0.113885	9637975	49200	14	0.113885	9637975	49200
Chr3	10253804	medium_sv	797	17	0.188035	10288391	34587	17	0.188035	10288391	34587
Chr3	10732999	large_sv	7883	16	0.09199	10739413	6414	16	0.09199	10739413	6414
Chr3	10750826	medium_sv	1538	49	0.181814	10750900	74	49	0.181814	10750900	74
Chr3	11215339	small_sv	98	19	0.19537	11217287	1948	19	0.19537	11217287	1948
Chr3	11244169	small_sv	131	50	0.190298	11246616	2447	50	0.190298	11246616	2447
Chr3	11288660	small_sv	60	12	0.184027	11294646	5986	12	0.184027	11294646	5986
Chr3	11289367	medium_sv	1056	12	0.184027	11294646	5279	12	0.184027	11294646	5279
Chr3	11290040	medium_sv	507	12	0.184027	11294646	4606	12	0.184027	11294646	4606
Chr3	11294713	medium_sv	2349	12	0.184027	11294646	-67	12	0.184027	11294646	-67
Chr3	11300842	medium_sv	501	12	0.157698	11292112	-8730	12	0.157698	11292112	-8730
Chr3	11300885	small_sv	394	12	0.157698	11292112	-8773	12	0.157698	11292112	-8773
Chr3	11835528	small_sv	179	16	0.141493	11836081	553	16	0.141493	11836081	553
Chr3	11925811	small_sv	55	128	0.161493	11903507	-22304	128	0.161493	11903507	-22304
Chr3	16266184	medium_sv	2502	12	0.194804	16272268	6084	12	0.194804	16272268	6084
Chr3	16291645	small_sv	215	94	0.123165	16321932	30287	94	0.123165	16321932	30287
Chr3	16295650	medium_sv	805	64	0.181396	16294713	-937	64	0.181396	16294713	-937
Chr3	16300032	medium_sv	977	17	0.170472	16281115	-18917	17	0.170472	16281115	-18917
Chr3	16508070	small_sv	311	183	0.083514	16487473	-20597	183	0.083514	16487473	-20597
Chr3	16561582	medium_sv	2002	66	0.178286	16561618	36	66	0.178286	16561618	36
Chr3	16561582	medium_sv	2002	66	0.178286	16561618	36	16	0.11588	16527802	-33780
Chr3	16561582	medium_sv	2002	16	0.11588	16527802	-33780	66	0.178286	16561618	36
Chr3	16561582	medium_sv	2002	16	0.11588	16527802	-33780	16	0.11588	16527802	-33780
Chr3	16799050	medium_sv	1887	18	0.194804	16836465	37415	18	0.194804	16836465	37415
Chr3	16799050	medium_sv	1887	18	0.194804	16836465	37415	41	0.163487	16780703	-18347
Chr3	16799050	medium_sv	1887	41	0.163487	16780703	-18347	18	0.194804	16836465	37415
Chr3	16799050	medium_sv	1887	41	0.163487	16780703	-18347	41	0.163487	16780703	-18347
Chr3	16828406	small_sv	143	12	0.168434	16828686	280	12	0.166139	16828686	280
Chr3	16910316	small_sv	61	139	0.170036	16910230	-86	139	0.170036	16910230	-86
Chr3	17088816	small_sv	231	21	0.160769	17122156	33340	21	0.160769	17122156	33340
Chr3	17105779	large_sv	9712	13	0.136468	17105711	-68	13	0.138897	17105644	-135
Chr3	17273633	medium_sv	898	15	0.135948	17279896	6263	15	0.135948	17279896	6263
Chr3	17275742	medium_sv	2071	205	0.150834	17301813	26071	205	0.150834	17301813	26071
Chr3	17507030	medium_sv	2256	12	0.147997	17457460	-49570	12	0.147997	17457460	-49570
Chr3	17508508	small_sv	125	99	0.140805	17507808	-700	99	0.140805	17507808	-700
Chr3	17508508	small_sv	126	43	0.114992	17516942	8434	43	0.114992	17516942	8434
Chr3	17508746	medium_sv	505	35	0.086493	17481116	-27630	35	0.086493	17481116	-27630
Chr3	17508746	medium_sv	504	42	0.176901	17549679	40933	42	0.176901	17549679	40933
Chr3	17508746	medium_sv	504	42	0.176901	17549679	40933	12	0.147997	17484456	-24290
Chr3	17508746	medium_sv	504	12	0.147997	17484456	-24290	42	0.176901	17549679	40933
Chr3	17508746	medium_sv	504	12	0.147997	17484456	-24290	12	0.147997	17484456	-24290
Chr3	17510179	small_sv	193	14	0.109961	17507288	-2891	14	0.109961	17507288	-2891
Chr3	17541297	small_sv	59	18	0.074841	17558210	16913	18	0.074841	17558210	16913
Chr3	17637049	medium_sv	4693	12	0.135861	17638463	1414	12	0.135861	17638463	1414
Chr3	17644081	small_sv	231	12	0.166795	17657132	13051	12	0.166795	17657132	13051
Chr3	18585097	small_sv	127	12	0.196557	18560985	-24112	12	0.196557	18560985	-24112
Chr3	18720993	small_sv	185	13	0.100369	18730206	9213	13	0.100369	18730206	9213
Chr3	18873590	small_sv	300	18	0.078902	18888818	15228	18	0.078902	18888818	15228
Chr3	19013175	small_sv	296	27	0.17584	19013596	421	27	0.17584	19013596	421
Chr3	19823463	small_sv	111	12	0.153047	19818002	-5461	12	0.153047	19818002	-5461
Chr3	19886301	small_sv	262	13	0.154239	19917617	31316	13	0.154239	19917617	31316
Chr3	20049844	small_sv	306	14	0.13172	20050038	194	14	0.13172	20050038	194
Chr3	20763034	small_sv	79	25	0.147985	20747565	-15469	25	0.147985	20747565	-15469
Chr3	21766918	medium_sv	1336	13	0.092857	21796040	29122	13	0.092857	21796040	29122
Chr3	21802566	small_sv	364	15	0.166462	21796881	-5685	15	0.166462	21796881	-5685
Chr3	21869698	small_sv	125	16	0.062302	21881184	11486	16	0.062302	21881184	11486
Chr3	22058818	small_sv	279	24	0.199711	22077133	18315	24	0.199711	22077133	18315
Chr3	22216163	small_sv	293	21	0.191943	22221638	5475	21	0.191943	22221638	5475
Chr3	22216163	small_sv	292	15	0.140502	22213847	-2316	15	0.140502	22213847	-2316
Chr3	22383674	large_sv	7400	86	0.147474	22368249	-15425	86	0.147474	22368249	-15425
Chr3	23377761	small_sv	183	35	0.08954	23350764	-26997	35	0.08954	23350764	-26997
Chr3	23377761	small_sv	185	18	0.112113	23345552	-32209	18	0.112113	23345552	-32209
Chr4	14447	medium_sv	2729	12	0.163439	18632	4185	12	0.163439	18632	4185
Chr4	77499	small_sv	245	12	0.104604	78496	997	12	0.104604	78496	997
Chr4	469188	small_sv	150	25	0.177055	467453	-1735	25	0.177055	467453	-1735
Chr4	671970	small_sv	186	14	0.183028	672553	583	14	0.183028	672553	583
Chr4	850601	small_sv	89	17	0.18965	855371	4770	17	0.18965	855371	4770
Chr4	853451	small_sv	73	21	0.190288	855637	2186	21	0.190288	855637	2186
Chr4	993339	medium_sv	985	12	0.18203	967736	-25603	12	0.18203	967736	-25603
Chr4	5299021	small_sv	56	115	0.186553	5249660	-49361	115	0.186553	5249660	-49361
Chr4	5311433	small_sv	73	22	0.157712	5352565	41132	22	0.157712	5352565	41132
Chr4	5311552	small_sv	73	49	0.195132	5314840	3288	49	0.195132	5314840	3288
Chr4	5311552	small_sv	88	12	0.08058	5270904	-40648	12	0.08058	5270904	-40648
Chr4	5617965	medium_sv	1153	50	0.194254	5608001	-9964	50	0.194254	5608001	-9964
Chr4	5779795	small_sv	72	15	0.126857	5743861	-35934	15	0.126857	5743861	-35934
Chr4	5782334	small_sv	437	12	0.071586	5830976	48642	12	0.071586	5830976	48642
Chr4	5846629	small_sv	81	160	0.167704	5844544	-2085	160	0.167704	5844544	-2085
Chr4	6020206	small_sv	123	101	0.191965	6019036	-1170	101	0.191965	6019036	-1170
Chr4	6308217	small_sv	90	13	0.154482	6331437	23220	13	0.154482	6331437	23220
Chr4	6523111	small_sv	195	12	0.185815	6520292	-2819	12	0.185815	6520292	-2819
Chr4	6866692	small_sv	60	20	0.11588	6868128	1436	20	0.11588	6868128	1436
Chr4	6905021	small_sv	66	13	0.134	6936369	31348	13	0.134	6936369	31348
Chr4	6978537	small_sv	124	24	0.109524	6980732	2195	24	0.109524	6980732	2195
Chr4	7101220	medium_sv	1431	25	0.191675	7104426	3206	25	0.191675	7104426	3206
Chr4	7101220	medium_sv	1431	25	0.191675	7104426	3206	35	0.155909	7101147	-73
Chr4	7101220	medium_sv	1431	35	0.155909	7101147	-73	25	0.191675	7104426	3206
Chr4	7101220	medium_sv	1431	35	0.155909	7101147	-73	35	0.155909	7101147	-73
Chr4	7141559	small_sv	117	20	0.169527	7104992	-36567	20	0.169527	7104992	-36567
Chr4	7141559	small_sv	117	20	0.169527	7104992	-36567	43	0.114992	7183154	41595
Chr4	7141559	small_sv	117	20	0.169527	7104992	-36567	121	0.191416	7141722	163
Chr4	7141559	small_sv	117	43	0.114992	7183154	41595	20	0.169527	7104992	-36567
Chr4	7141559	small_sv	117	43	0.114992	7183154	41595	43	0.114992	7183154	41595
